name,owner,createdAt,updatedAt,primaryLanguage,pullRequests,releases,issues,closedIssues,stargazers
freeCodeCamp,freeCodeCamp,2014-12-24T17:49:19Z,2025-02-24T10:02:30Z,TypeScript,24375,0,18936,18761,410410
free-programming-books,EbookFoundation,2013-10-11T06:50:37Z,2025-02-24T10:09:40Z,HTML,6787,0,1160,1131,351034
awesome,sindresorhus,2014-07-11T13:42:37Z,2025-02-24T10:09:27Z,,661,0,347,335,348479
build-your-own-x,codecrafters-io,2018-05-09T12:03:18Z,2025-02-24T10:15:43Z,Markdown,140,0,732,542,340173
public-apis,public-apis,2016-03-20T23:49:42Z,2025-02-24T09:58:06Z,Python,1872,0,653,603,328280
coding-interview-university,jwasham,2016-06-06T02:34:12Z,2025-02-24T10:14:05Z,,415,0,511,458,312258
developer-roadmap,kamranahmedse,2017-03-15T13:45:52Z,2025-02-24T10:13:26Z,TypeScript,3339,1,2671,2530,308978
system-design-primer,donnemartin,2017-02-26T16:15:28Z,2025-02-24T10:13:26Z,Python,199,0,320,87,290021
996.ICU,996icu,2019-03-26T07:31:14Z,2025-02-24T08:13:25Z,,1068,0,0,0,270301
awesome-python,vinta,2014-06-27T21:00:06Z,2025-02-24T10:03:10Z,Python,543,0,0,0,235026
react,facebook,2013-05-24T16:15:54Z,2025-02-24T10:13:06Z,JavaScript,11363,103,13536,12760,232543
project-based-learning,practical-tutorials,2017-04-12T05:07:46Z,2025-02-24T10:02:25Z,,182,0,191,78,218689
awesome-selfhosted,awesome-selfhosted,2015-06-01T02:33:17Z,2025-02-24T10:03:10Z,,2393,1,803,803,217839
vue,vuejs,2013-07-29T03:24:51Z,2025-02-24T08:00:04Z,TypeScript,1136,249,10018,9664,208398
Python,TheAlgorithms,2016-07-16T09:44:01Z,2025-02-24T10:15:27Z,Python,2913,0,1556,1492,197588
javascript-algorithms,trekhleb,2018-03-24T07:47:04Z,2025-02-24T09:04:37Z,JavaScript,302,0,356,227,190200
linux,torvalds,2011-09-04T22:48:12Z,2025-02-24T09:38:18Z,C,10,0,0,0,188338
tensorflow,tensorflow,2015-11-07T01:19:20Z,2025-02-24T10:02:22Z,C++,29287,213,40259,39465,188227
You-Dont-Know-JS,getify,2013-11-16T02:37:24Z,2025-02-24T09:42:36Z,,367,0,936,855,181110
CS-Notes,CyC2018,2018-02-13T14:56:24Z,2025-02-24T10:15:49Z,,374,0,596,448,179010
ohmyzsh,ohmyzsh,2009-08-28T18:15:37Z,2025-02-24T10:04:12Z,Shell,3289,0,4894,4761,176288
computer-science,ossu,2014-05-04T00:18:39Z,2025-02-24T09:46:07Z,,283,0,642,628,175860
AutoGPT,Significant-Gravitas,2023-03-16T09:21:07Z,2025-02-24T09:59:48Z,Python,2591,42,3143,2976,171861
bootstrap,twbs,2011-07-29T21:19:00Z,2025-02-24T09:40:41Z,JavaScript,8845,89,22621,22125,171608
flutter,flutter,2015-03-06T22:54:58Z,2025-02-24T08:48:17Z,Dart,40935,7,103579,90583,168800
vscode,microsoft,2015-09-03T20:23:38Z,2025-02-24T10:03:47Z,TypeScript,31368,156,190804,182112,167728
gitignore,github,2010-11-08T20:17:14Z,2025-02-24T10:00:46Z,,1575,0,0,0,164597
Python-100-Days,jackfrued,2018-03-01T16:05:52Z,2025-02-24T10:01:42Z,Jupyter Notebook,13,0,662,114,161139
the-book-of-secret-knowledge,trimstray,2018-06-23T10:43:14Z,2025-02-24T10:03:25Z,,122,0,0,0,158950
the-art-of-command-line,jlevy,2015-05-20T15:11:03Z,2025-02-24T10:10:07Z,,317,0,254,136,154812
stable-diffusion-webui,AUTOMATIC1111,2022-08-22T14:05:26Z,2025-02-24T09:34:32Z,Python,1871,27,7750,5447,148329
JavaGuide,Snailclimb,2018-05-07T13:27:00Z,2025-02-24T10:06:23Z,Java,1141,0,1073,1008,148276
javascript,airbnb,2012-11-01T23:13:50Z,2025-02-24T08:05:14Z,JavaScript,811,0,1347,1252,146164
transformers,huggingface,2018-10-29T13:56:00Z,2025-02-24T10:13:16Z,Python,14617,180,16717,15722,140052
awesome-go,avelino,2014-07-06T13:42:15Z,2025-02-24T09:50:12Z,Go,3396,0,669,664,138668
youtube-dl,ytdl-org,2010-10-31T14:35:07Z,2025-02-24T09:53:23Z,Python,1639,341,26688,22998,134353
