file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_arjenw.java,dev.morling.onebrc.CalculateAverage_arjenw,class,3,4,1,3,15,1,0,25,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,3,3,0,3,0,0,3,0,11,149,2,3,5,1,6,3,25,30,25,26,4,0,2,2,58,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_thanhtrinity.java,dev.morling.onebrc.City,class,2,4,2,2,11,1,0,4,18,0.6851852,0.32142857,0.32142857,9,2,8,1,0,0,8,0,0,0,6,0,0,6,0,0,0,0,8,47,5,1,1,0,0,2,7,16,6,8,1,0,0,0,25,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_artpar.java,dev.morling.onebrc.CalculateAverage_artpar$MeasurementAggregator,innerclass,2,2,0,2,4,1,0,0,0,0.0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,4,0,0,4,0,0,0,0,0,23,2,0,0,0,21,0,16,10,25,5,0,0,0,0,13,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_filiphr.java,dev.morling.onebrc.CalculateAverage_filiphr$SearchKey,innerclass,4,4,0,4,7,1,0,1,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,0,0,3,0,0,3,0,2,28,6,0,2,0,0,0,4,3,0,3,1,0,0,0,31,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_Kidlike.java,dev.morling.onebrc.CalculateAverage_Kidlike,class,8,9,1,8,22,1,0,30,3,0.0,0.0,0.0,3,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,134,4,4,10,2,11,2,15,38,16,28,6,0,3,3,141,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_unbounded.java,dev.morling.onebrc.CalculateAverage_unbounded$ProcessorThread,innerclass,16,16,0,16,33,2,0,38,1,0.64102566,0.0,0.0,6,4,1,4,0,1,2,0,0,0,13,3,0,10,0,3,13,0,19,151,8,12,17,0,11,0,79,75,85,51,4,0,0,0,83,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_davery22.java,dev.morling.onebrc.CalculateAverage_davery22,class,4,6,2,4,27,1,0,22,4,0.8125,0.0,0.0,4,4,1,0,0,3,4,0,0,0,4,4,0,0,0,4,4,0,13,240,7,12,6,0,25,1,72,74,49,50,3,0,1,1,78,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_PawelAdamski.java,dev.morling.onebrc.CalculateAverage_PawelAdamski$MeasurementAggregator,innerclass,1,1,0,1,3,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,2,26,1,0,0,0,0,0,3,13,2,5,0,0,0,0,10,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_faridtmammadov.java,dev.morling.onebrc.CalculateAverage_faridtmammadov,class,4,5,1,4,20,1,0,37,15,0.8333333,0.0,0.0,6,6,2,4,0,0,2,0,0,0,1,1,0,1,0,0,1,0,8,144,8,6,5,1,0,4,9,36,15,36,4,0,2,2,62,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\1brc\src\main\java\dev\morling\onebrc\CalculateAverage_imrafaelmerino.java,dev.morling.onebrc.CalculateAverage_imrafaelmerino$Stat,innerclass,1,1,0,1,4,1,0,4,0,0.25,1.0,1.0,4,1,2,2,0,0,2,0,0,0,4,0,0,4,0,0,0,0,5,26,3,0,0,0,1,2,7,12,9,5,0,0,0,0,16,26,0
