file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\exception\ConflictException.java,apijson.orm.exception.ConflictException,class,0,4,4,0,3,3,0,0,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\model\SysColumn.java,apijson.orm.model.SysColumn,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\exception\UnsupportedDataTypeException.java,apijson.orm.exception.UnsupportedDataTypeException,class,0,6,6,0,2,4,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\model\TestRecord.java,apijson.orm.model.TestRecord,class,2,5,3,2,16,1,0,1,102,0.8828125,0.075,0.075,16,0,16,0,0,0,16,0,0,0,8,1,0,8,0,0,1,0,0,66,14,0,0,0,0,0,1,8,0,8,0,0,0,0,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\SQLConfig.java,apijson.orm.SQLConfig,interface,10,25,15,10,178,1,0,12,14878,1.0,0.0,0.0,173,1,2,0,0,171,173,0,0,0,40,0,0,0,0,40,0,0,6,237,5,1,0,0,1,42,8,48,3,46,1,0,0,0,207,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\OnParseCallback.java,apijson.orm.OnParseCallback,class,2,4,2,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\StringUtil.java,apijson.StringUtil,class,2,21,19,2,191,1,0,68,4490,0.98135525,0.011992426,0.022932885,97,96,97,0,0,0,98,0,0,0,47,47,45,2,0,0,46,0,134,563,134,6,37,0,3,85,39,92,18,61,3,0,0,0,145,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\script\JavaScriptExecutor.java,apijson.orm.script.JavaScriptExecutor,class,3,3,0,3,3,2,0,0,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\JSONRequest.java,apijson.JSONRequest,class,5,7,2,5,29,1,1,19,235,0.9282611,0.0,0.0,23,6,23,0,0,0,24,0,0,0,20,20,19,1,0,0,20,0,7,117,20,1,1,0,0,20,7,26,2,25,2,0,0,0,117,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\APIJSON\APIJSONORM\src\main\java\apijson\orm\AbstractObjectParser.java,apijson.orm.AbstractObjectParser,class,30,31,1,30,301,1,0,158,445,0.8741766,0.2589372,0.95652175,46,0,46,0,0,0,46,0,0,0,33,1,0,6,27,0,8,0,44,853,44,9,139,6,26,167,55,215,52,155,8,0,0,0,208,1025,0
