file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,class,47,55,8,47,141,4,0,186,219,0.90487987,0.23809524,0.33333334,31,1,4,24,3,0,7,0,0,0,39,12,8,31,0,0,14,0,25,1070,35,9,67,9,5,42,19,127,9,129,6,11,5,13,279,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\dex\DexUtils.java,io.github.muntashirakon.AppManager.dex.DexUtils,class,24,27,3,24,36,1,0,39,91,0.0,0.0,0.0,14,14,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,153,15,4,4,10,1,6,16,33,4,32,2,0,0,0,100,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\editor\CodeEditorViewModel.java,io.github.muntashirakon.AppManager.editor.CodeEditorViewModel,class,26,28,2,26,62,2,0,64,114,0.8812499,0.27941176,0.77205884,20,4,16,3,1,0,17,0,0,0,16,5,4,12,0,0,9,0,3,265,20,3,20,8,0,10,7,50,3,47,4,1,0,4,125,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\backup\dialog\BackupRestoreDialogFragment.java,io.github.muntashirakon.AppManager.backup.dialog.BackupRestoreDialogFragment$BackupDialogFragmentPagerAdapter,innerclass,3,3,0,3,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\backup\BackupUtils.java,io.github.muntashirakon.AppManager.backup.BackupUtils,class,18,32,14,18,71,1,0,69,153,0.9444444,0.0,0.0,18,18,12,2,0,4,16,0,0,0,2,2,1,1,0,0,2,0,35,250,29,9,9,2,0,29,10,47,3,48,4,0,0,3,127,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\editor\CodeEditorFragment.java,io.github.muntashirakon.AppManager.editor.CodeEditorFragment$Options$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\compat\ApplicationInfoCompat.java,io.github.muntashirakon.AppManager.compat.ApplicationInfoCompat,class,7,17,10,7,30,1,0,5,105,0.9907408,0.0,0.0,15,15,15,0,0,0,15,0,0,0,36,36,36,0,0,0,36,0,4,102,21,0,10,0,9,1,76,36,31,36,1,0,0,0,291,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\ipc\RemoteShellImpl.java,io.github.muntashirakon.AppManager.ipc.RemoteShellImpl$Anonymous1,anonymous,1,1,0,1,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\hiddenapi\src\main\java\android\net\NetworkStats.java,android.net.NetworkStats$Entry,innerclass,1,1,0,1,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,0,9,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\AppManager\app\src\main\java\io\github\muntashirakon\AppManager\logcat\LogViewerActivity.java,io.github.muntashirakon.AppManager.logcat.LogViewerActivity,class,58,63,5,58,100,4,0,183,549,0.93181825,0.06719368,0.31225297,38,1,12,15,2,9,23,0,0,0,22,6,5,17,0,0,11,0,21,455,19,3,34,2,2,16,8,72,5,89,4,0,1,21,200,1,0
