file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\lib\yorozuya\AssertUtils.java,com.hippo.lib.yorozuya.AssertUtils,class,3,39,36,3,31,1,0,12,210,0.0,0.0,0.0,21,20,20,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,84,0,0,6,0,0,12,0,0,4,0,1,0,0,0,32,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\parser\MyTagLitParser.java,com.hippo.ehviewer.client.parser.MyTagLitParser,class,7,9,2,7,11,1,0,17,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,5,63,3,1,5,1,0,14,5,29,5,19,3,0,0,0,46,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\topList\TopListItemArray.java,com.hippo.ehviewer.client.data.topList.TopListItemArray,class,5,10,5,5,6,1,0,3,3,0.5833333,0.2,0.2,6,0,5,0,1,0,6,0,0,0,2,1,2,0,0,0,1,0,0,29,3,0,0,0,0,0,1,2,0,2,0,1,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\lib\glgallery\PagerLayoutManager.java,com.hippo.lib.glgallery.PagerLayoutManager$PageFling,innerclass,10,10,0,10,30,3,0,21,2,0.53571427,0.33333334,0.5,4,0,2,0,2,0,4,0,0,0,7,0,0,7,0,0,1,0,3,78,2,0,12,0,5,0,19,25,6,15,2,0,0,0,41,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\widget\RadioGridGroup.java,com.hippo.widget.RadioGridGroup$CheckedStateTracker,innerclass,3,3,0,3,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,1,3,0,1,1,0,0,0,19,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\widget\DialogWebChromeClient.java,com.hippo.ehviewer.widget.DialogWebChromeClient,class,10,12,2,10,4,2,0,15,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,24,3,0,0,0,0,0,0,5,0,16,0,0,0,7,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\ui\scene\GalleryPreviewsScene.java,com.hippo.ehviewer.ui.scene.GalleryPreviewsScene,class,37,41,4,37,34,6,0,56,34,0.798077,0.16666667,0.16666667,13,0,9,4,0,0,9,0,0,0,8,2,1,7,0,0,2,0,5,288,8,1,13,1,0,2,5,35,0,29,3,0,5,0,157,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\text\Html.java,com.hippo.text.Html$ImageGetter,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\widget\DirExplorer.java,com.hippo.widget.DirExplorer$DirHolder,innerclass,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Ehviewer_CN_SXJ\app\src\main\java\com\hippo\widget\SearchBarMover.java,com.hippo.widget.SearchBarMover$Anonymous4,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,3,1,3,0,0,0,0,11,-1,0
