file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterMessage.java,eu.faircode.email.AdapterMessage$Anonymous86,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterMessage.java,eu.faircode.email.AdapterMessage$Anonymous87,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,2,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\DaoIdentity.java,eu.faircode.email.DaoIdentity,interface,8,64,56,8,35,1,0,0,595,0.0,0.0,0.0,35,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,85,0,0,15,0,0,0,0,0,96,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\Core.java,eu.faircode.email.Core$OperationCanceledExceptionEx,innerclass,2,2,0,2,2,2,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterVirusTotal.java,eu.faircode.email.AdapterVirusTotal$ViewHolder,innerclass,4,4,0,4,6,2,0,5,4,0.5833333,NaN,NaN,4,0,0,3,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0,22,0,0,0,0,0,1,0,4,0,4,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterContact.java,eu.faircode.email.AdapterContact$DiffCallback,innerclass,2,2,0,2,5,2,0,4,0,0.2,0.9,1.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,0,0,0,24,4,0,0,0,0,0,0,6,0,6,0,0,0,0,23,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentPop.java,eu.faircode.email.FragmentPop,class,42,47,5,42,49,3,0,89,15,0.87167066,0.2777778,0.5833333,14,0,9,5,0,0,9,0,0,0,59,5,0,59,0,0,5,0,26,851,5,0,13,3,2,62,13,108,1,81,4,19,0,0,195,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterMessage.java,eu.faircode.email.AdapterMessage$Anonymous80,anonymous,3,3,0,3,102,1,0,9,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,381,2,0,10,0,0,104,0,88,12,1,2,1,0,0,22,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentEula.java,eu.faircode.email.FragmentEula$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterMessage.java,eu.faircode.email.AdapterMessage$Anonymous82,anonymous,9,9,0,9,14,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,7,0,0,3,8,9,1,4,3,1,0,0,23,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentEula.java,eu.faircode.email.FragmentEula$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentEula.java,eu.faircode.email.FragmentEula$Anonymous2,anonymous,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterMessage.java,eu.faircode.email.AdapterMessage$Anonymous84,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentDialogFoldersApply.java,eu.faircode.email.FragmentDialogFoldersApply,class,12,13,1,12,1,3,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,7,0,7,0,2,0,0,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\ServiceTTS.java,eu.faircode.email.ServiceTTS,class,17,24,7,17,18,3,0,49,34,0.87179494,0.0,0.0,9,2,5,2,0,2,7,0,0,0,13,9,0,4,0,9,11,0,17,166,7,0,5,2,1,22,7,31,7,28,4,3,0,0,82,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentDialogBlockSender.java,eu.faircode.email.FragmentDialogBlockSender$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\com\sun\mail\imap\IMAPInputStream.java,com.sun.mail.imap.IMAPInputStream,class,9,12,3,9,40,2,0,24,4,0.6979167,0.3,0.3,8,0,5,3,0,0,5,0,0,3,12,1,0,12,0,0,1,0,1,128,8,0,13,3,4,1,17,35,7,22,3,0,0,0,157,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentDialogAccount.java,eu.faircode.email.FragmentDialogAccount,class,20,23,3,20,2,3,0,30,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,141,1,0,1,0,1,3,4,23,0,23,0,7,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\TupleContactEx.java,eu.faircode.email.TupleContactEx,class,2,10,8,2,2,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,11,2,0,0,0,1,0,0,1,0,3,1,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\com\sun\mail\imap\protocol\Item.java,com.sun.mail.imap.protocol.Item,interface,0,12,12,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\com\sun\mail\imap\IMAPFolder.java,com.sun.mail.imap.IMAPFolder$ProtocolCommand,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentDialogBlockSender.java,eu.faircode.email.FragmentDialogBlockSender$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\javax\mail\internet\MimePart.java,javax.mail.internet.MimePart,interface,0,0,0,0,14,1,0,0,91,0.0,0.0,0.0,14,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\javax\mail\EventQueue.java,javax.mail.EventQueue$TerminatorEvent,innerclass,0,0,0,0,2,2,0,2,1,1.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,1,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,23,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\ViewModelSelected.java,eu.faircode.email.ViewModelSelected,class,3,5,2,3,3,2,0,4,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\AdapterKeyword.java,eu.faircode.email.AdapterKeyword$DiffCallback,innerclass,2,2,0,2,5,2,0,4,0,0.2,0.9,1.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,0,0,0,24,4,0,0,0,0,0,0,6,0,6,0,0,0,0,22,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentGmail.java,eu.faircode.email.FragmentGmail$Anonymous6,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentGmail.java,eu.faircode.email.FragmentGmail$Anonymous7,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentGmail.java,eu.faircode.email.FragmentGmail$Anonymous8,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\FairEmail\app\src\main\java\eu\faircode\email\FragmentGmail.java,eu.faircode.email.FragmentGmail$Anonymous9,anonymous,0,0,0,0,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,-1,0
