file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-api\src\main\java\com\google\android\gms\googlehelp\SupportRequestHelp.java,com.google.android.gms.googlehelp.SupportRequestHelp,class,5,6,1,5,0,3,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,1,0,1,5,0,0,0,0,0,0,2,1,0,3,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-location\src\main\java\com\google\android\gms\location\ActivityTransitionRequest.java,com.google.android.gms.location.ActivityTransitionRequest$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,1,0,0,0,1,2,0,1,1,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-wearable\src\main\java\com\google\android\gms\wearable\internal\StorageInfoResponse.java,com.google.android.gms.wearable.internal.StorageInfoResponse,class,4,6,2,4,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-core\src\main\java\org\microg\gms\places\PlaceDetectionServiceImpl.java,org.microg.gms.places.PlaceDetectionServiceImpl,class,2,3,1,2,2,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,8,2,0,0,0,0,4,0,1,1,1,1,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-maps\core\vtm\src\main\java\org\microg\gms\maps\vtm\camera\MapPositionCameraUpdate.java,org.microg.gms.maps.vtm.camera.MapPositionCameraUpdate,class,5,8,3,5,4,1,0,4,6,0.0,0.0,0.0,4,1,3,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-api\src\main\java\com\google\android\gms\credential\manager\invocationparams\CredentialManagerAccount.java,com.google.android.gms.credential.manager.invocationparams.CredentialManagerAccount,class,6,8,2,6,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,2,3,0,0,0,2,0,0,8,1,0,0,0,0,1,1,2,0,3,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-location\core\system-api\src\main\java\android\location\GeocoderParams.java,android.location.GeocoderParams$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-base\src\main\java\com\google\android\gms\common\api\Api.java,com.google.android.gms.common.api.Api$ApiOptions$NoOptions,innerclass,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-vision\src\main\java\com\google\android\gms\vision\barcode\Barcode.java,com.google.android.gms.vision.barcode.Barcode$ContactInfo,innerclass,9,9,0,9,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,1,8,1,0,0,0,0,0,11,0,0,0,0,0,0,9,2,0,9,0,0,0,0,25,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-core\src\main\java\org\microg\gms\games\GamesStubService.java,org.microg.gms.games.GamesStubService,class,6,6,0,6,4,2,0,7,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,19,0,0,2,0,0,3,0,6,0,4,1,0,0,0,37,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-auth\src\main\java\com\google\android\gms\auth\api\identity\SavePasswordRequest.java,com.google.android.gms.auth.api.identity.SavePasswordRequest$Builder,innerclass,6,6,0,6,4,1,0,0,0,0.5,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,20,4,0,0,0,0,0,0,3,0,3,0,0,0,0,22,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-location\src\main\java\org\microg\gms\location\LocationClientImpl.java,org.microg.gms.location.LocationClientImpl$Anonymous1,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GmsCore\play-services-games\src\main\java\com\google\android\gms\games\snapshot\SnapshotColumns.java,com.google.android.gms.games.snapshot.SnapshotColumns,class,1,1,0,1,0,1,0,2,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,14,0,2,16,0,0,0,0,0,13,0,14,0,14,0,0,0,0,24,1,0
