file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\gogogo\FragmentSettings.java,com.zcshou.gogogo.FragmentSettings,class,9,11,2,9,9,2,0,25,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,67,4,0,6,0,1,12,1,11,3,20,4,0,0,6,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\joystick\ButtonView.java,com.zcshou.joystick.ButtonView,class,6,8,2,6,55,2,0,11,0,0.7600001,0.5,0.5,5,0,4,1,0,0,4,0,0,0,20,0,0,20,0,0,1,0,0,419,0,0,25,0,0,0,50,105,0,29,4,0,1,9,34,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\gogogo\GoApplication.java,com.zcshou.gogogo.GoApplication,class,11,12,1,11,4,2,0,19,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,3,2,1,0,0,3,0,4,27,0,0,1,1,0,4,6,7,2,7,1,0,0,0,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\joystick\JoyStick.java,com.zcshou.joystick.JoyStick$JoyStickClickListener,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\utils\MapUtils.java,com.zcshou.utils.MapUtils,class,2,5,3,2,6,1,0,9,1,0.5833333,0.33333334,0.5,6,6,4,2,0,0,4,0,0,0,4,4,4,0,0,0,4,0,40,63,6,0,0,0,20,0,81,43,142,31,0,0,0,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\utils\ShareUtils.java,com.zcshou.utils.ShareUtils,class,4,6,2,4,3,1,0,9,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,3,0,3,0,3,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\service\ServiceGo.java,com.zcshou.service.ServiceGo$ServiceGoBinder,innerclass,2,2,0,2,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\service\ServiceGo.java,com.zcshou.service.ServiceGo$Anonymous1,anonymous,0,0,0,0,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,1,0,3,7,5,0,0,0,0,0,17,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\utils\GoUtils.java,com.zcshou.utils.GoUtils$TimeCount$TimeCountListener,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\GoGoGo\app\src\main\java\com\zcshou\service\ServiceGo.java,com.zcshou.service.ServiceGo$Anonymous2,anonymous,4,4,0,4,3,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,1,0,1,1,0,0,0,2,0,0,0,27,-1,0
