file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\iris\gl\uniform\Vector3IntegerUniform.java,net.irisshaders.iris.gl.uniform.Vector3IntegerUniform,class,5,7,2,5,6,2,0,9,0,0.25,0.33333334,0.33333334,4,0,1,1,0,2,3,0,0,0,2,0,0,2,0,0,2,0,1,27,0,0,1,0,0,0,0,5,0,3,1,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\iris\mixin\gui\MixinVideoSettingsScreen.java,net.irisshaders.iris.mixin.gui.MixinVideoSettingsScreen,class,8,8,0,8,2,2,0,4,1,0.0,NaN,NaN,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,4,6,3,3,4,0,0,0,2,22,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\kroppeb\stareval\function\FFF2FFunction.java,kroppeb.stareval.function.FFF2FFunction,interface,8,9,1,8,4,1,0,2,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,3,4,0,3,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\iris\targets\ClearPassCreator.java,net.irisshaders.iris.targets.ClearPassCreator,class,15,16,1,15,16,1,0,27,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,72,4,5,5,0,0,0,15,23,2,30,3,0,0,7,34,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\iris\mixin\vertices\MixinVertexFormatElement.java,net.irisshaders.iris.mixin.vertices.MixinVertexFormatElement,class,6,6,0,6,2,1,0,1,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,1,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\iris\gl\sampler\SamplerLimits.java,net.irisshaders.iris.gl.sampler.SamplerLimits,class,2,5,3,2,7,1,0,2,4,0.65,0.0,0.0,5,1,4,1,0,0,4,0,0,0,4,1,0,4,0,0,3,0,1,26,4,0,1,0,0,0,1,4,0,4,1,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\iris\compat\sodium\mixin\MixinRenderSectionManagerShadow.java,net.irisshaders.iris.compat.sodium.mixin.MixinRenderSectionManagerShadow,class,16,16,0,16,18,1,0,5,24,0.6944445,-1.0,-1.0,9,0,0,9,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,47,2,1,0,0,0,27,1,10,0,6,1,0,0,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\batchedentityrendering\mixin\BufferSourceAccessor.java,net.irisshaders.batchedentityrendering.mixin.BufferSourceAccessor,interface,6,7,1,6,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\main\java\net\irisshaders\iris\pipeline\programs\GlUniformMatrix3f.java,net.irisshaders.iris.pipeline.programs.GlUniformMatrix3f,class,2,3,1,2,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,2,0,2,1,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Iris\common\src\api\java\net\irisshaders\iris\api\v0\IrisApiInternal.java,net.irisshaders.iris.api.v0.IrisApiInternal,class,2,2,0,2,2,1,0,3,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,11,0,0,0,1,0,2,0,1,0,1,1,0,0,0,22,1,0
