file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\api\audio\CombinedAudio.java,net.dv8tion.jda.api.audio.CombinedAudio,class,5,7,2,5,3,1,0,2,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,76,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\api\events\guild\voice\GuildVoiceSuppressEvent.java,net.dv8tion.jda.api.events.guild.voice.GuildVoiceSuppressEvent,class,5,5,0,5,2,4,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,77,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\internal\handle\GuildSyncHandler.java,net.dv8tion.jda.internal.handle.GuildSyncHandler,class,4,5,1,4,2,2,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\api\utils\AttachmentProxy.java,net.dv8tion.jda.api.utils.AttachmentProxy,class,6,7,1,6,10,2,0,12,36,0.0,0.0,0.0,9,0,8,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,43,9,0,0,1,0,6,0,3,0,4,2,0,0,1,137,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\internal\handle\GuildRoleCreateHandler.java,net.dv8tion.jda.internal.handle.GuildRoleCreateHandler,class,8,9,1,8,4,2,0,13,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,1,0,0,3,0,3,0,3,1,0,0,0,29,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\api\events\stage\StageInstanceCreateEvent.java,net.dv8tion.jda.api.events.stage.StageInstanceCreateEvent,class,4,4,0,4,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\api\managers\AudioManager.java,net.dv8tion.jda.api.managers.AudioManager,interface,14,17,3,14,24,1,0,4,276,1.0,0.0,0.0,24,0,0,0,0,24,24,0,0,0,2,0,0,0,0,2,0,0,1,31,0,0,0,0,0,1,1,2,0,2,0,0,0,0,247,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\internal\utils\JDALogger.java,net.dv8tion.jda.internal.utils.JDALogger$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,1,0,1,0,1,1,1,1,0,0,0,9,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\internal\interactions\component\ComponentInteractionImpl.java,net.dv8tion.jda.internal.interactions.component.ComponentInteractionImpl,class,21,24,3,21,10,3,2,12,30,0.77777785,0.083333336,0.16666667,9,0,9,0,0,0,9,0,0,0,3,0,0,0,3,0,3,0,1,45,8,0,0,0,1,7,0,7,0,6,1,0,0,0,36,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\JDA\src\main\java\net\dv8tion\jda\internal\entities\MessageMentionsImpl.java,net.dv8tion.jda.internal.entities.MessageMentionsImpl,class,18,19,1,18,25,2,0,42,0,0.5,0.5714286,0.75,8,0,3,0,5,0,8,0,0,2,2,0,0,2,0,0,2,0,7,80,19,2,7,0,0,13,9,22,0,23,2,0,0,3,52,1,0
