file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\bytestorage\OverflowToDiskByteStorageFactory.java,com.android.tools.build.apkzlib.bytestorage.OverflowToDiskByteStorageFactory,class,5,6,1,5,4,1,0,0,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,19,2,0,1,0,0,0,0,2,0,2,1,0,0,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\zip\ExtraField.java,com.android.tools.build.apkzlib.zip.ExtraField$Segment,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\zip\Zip64Eocd.java,com.android.tools.build.apkzlib.zip.Zip64Eocd,class,11,13,2,11,20,1,0,15,0,0.78996867,0.44444445,1.0,11,0,7,2,0,2,9,0,0,0,29,22,2,27,0,0,29,0,1,142,9,0,2,1,1,23,12,52,6,43,2,0,0,0,227,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\bytestorage\TemporaryFileCloseableByteSource.java,com.android.tools.build.apkzlib.bytestorage.TemporaryFileCloseableByteSource,class,2,4,2,2,2,4,0,5,0,0.0,1.0,1.0,2,0,0,0,1,1,2,0,0,1,2,0,0,2,0,0,2,0,0,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,46,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\utils\CachedFileContents.java,com.android.tools.build.apkzlib.utils.CachedFileContents,class,4,6,2,4,15,1,0,8,0,0.5,0.8,1.0,6,0,5,1,0,0,5,0,0,0,5,0,0,5,0,0,1,0,0,49,5,0,2,1,0,0,0,11,0,6,1,0,0,0,118,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\zfile\ZFiles.java,com.android.tools.build.apkzlib.zfile.ZFiles,class,10,12,2,10,11,1,0,13,6,0.75,0.0,0.0,4,3,3,1,0,0,3,0,0,0,3,3,0,3,0,0,3,0,5,37,3,0,2,1,1,3,1,8,0,6,2,0,0,0,109,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\bytestorage\InMemoryByteStorageFactory.java,com.android.tools.build.apkzlib.bytestorage.InMemoryByteStorageFactory,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\zip\InflaterByteSource.java,com.android.tools.build.apkzlib.zip.InflaterByteSource,class,2,4,2,2,3,3,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,1,2,0,2,0,0,0,0,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\bytestorage\TemporaryDirectoryStorage.java,com.android.tools.build.apkzlib.bytestorage.TemporaryDirectoryStorage$Anonymous1,anonymous,4,4,0,4,2,1,0,4,0,0.0,1.0,1.0,2,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,2,0,2,0,0,0,1,20,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\sign\ManifestGenerationExtension.java,com.android.tools.build.apkzlib.sign.ManifestGenerationExtension,class,9,11,2,9,13,1,0,20,0,0.6296297,0.0,0.0,6,0,2,4,0,0,2,0,0,0,9,2,0,8,0,1,6,0,0,82,2,0,3,1,0,7,0,18,2,16,2,1,0,1,191,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\bytestorage\InMemoryByteStorage.java,com.android.tools.build.apkzlib.bytestorage.InMemoryByteStorage$Anonymous2$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\utils\ApkZLibPair.java,com.android.tools.build.apkzlib.utils.ApkZLibPair,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\bytestorage\SwitchableDelegateCloseableByteSource.java,com.android.tools.build.apkzlib.bytestorage.SwitchableDelegateCloseableByteSource$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LSPatch\apkzlib\src\main\java\com\android\tools\build\apkzlib\zip\CompressionResult.java,com.android.tools.build.apkzlib.zip.CompressionResult,class,2,7,5,2,4,1,0,0,0,0.5,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,34,1,0
