file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_31_validate_stack_sequences_s1\sfo_31_validate_stack_sequences_s1.java,sfo_31_validate_stack_sequences_s1.sfo_31_validate_stack_sequences_s1,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,4,0,4,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_06_print_a_linked_list_in_reverse_order_s1\sfo_06_print_a_linked_list_in_reverse_order_s1.java,sfo_06_print_a_linked_list_in_reverse_order_s1.sfo_06_print_a_linked_list_in_reverse_order_s1,class,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,3,3,0,3,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_38_all_permutations_of_a_string_s1\sfo_38_all_permutations_of_a_string_s1.java,sfo_38_all_permutations_of_a_string_s1.Solution,class,2,4,2,2,6,1,0,9,0,0.16666667,1.0,1.0,3,0,1,0,0,2,3,0,0,0,2,0,0,0,0,2,0,0,1,28,2,1,1,0,0,0,3,7,2,5,2,0,0,0,12,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_61_straight_in_poker_s2\sfo_61_straight_in_poker_s2.java,sfo_61_straight_in_poker_s2.sfo_61_straight_in_poker_s2,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,3,0,3,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_13_range_of_motion_of_a_robot_s2\sfo_13_range_of_motion_of_a_robot_s2.java,sfo_13_range_of_motion_of_a_robot_s2.Solution,class,2,3,1,2,8,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,2,0,2,0,22,9,11,8,2,0,0,0,15,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_27_mirror_of_a_binary_tree_s1\sfo_27_mirror_of_a_binary_tree_s1.java,sfo_27_mirror_of_a_binary_tree_s1.sfo_27_mirror_of_a_binary_tree_s1,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,7,3,0,3,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_60_probabilities_for_rolling_n_dices_s1\sfo_60_probabilities_for_rolling_n_dices_s1.java,sfo_60_probabilities_for_rolling_n_dices_s1.Solution,class,1,2,1,1,4,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,1,3,0,0,0,0,10,7,5,5,3,0,0,0,9,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_14i_cut_the_rope_i_s1\sfo_14i_cut_the_rope_i_s1.java,sfo_14i_cut_the_rope_i_s1.Solution,class,0,1,1,0,4,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,2,0,0,0,12,2,6,2,1,0,0,0,6,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_58i_reverse_order_of_words_s1\sfo_58i_reverse_order_of_words_s1.java,sfo_58i_reverse_order_of_words_s1.Solution,class,0,1,1,0,6,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,3,2,0,0,1,6,5,4,3,2,0,0,0,9,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\LeetCode-Book\sword_for_offer\codes\java\sfo_03_find_duplicate_numbers_in_an_array_s2\sfo_03_find_duplicate_numbers_in_an_array_s2.java,sfo_03_find_duplicate_numbers_in_an_array_s2.Solution,class,1,2,1,1,4,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,2,0,0,0,2,4,0,2,2,0,0,0,7,0,0
