file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\test_old\java\net\minecraftforge\debug\client\rendering\CustomItemDecorationsTest.java,net.minecraftforge.debug.client.rendering.CustomItemDecorationsTest,class,2,2,0,2,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,0,28,0,0,0,0,0,1,0,2,0,2,0,0,2,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\network\filters\CommandTreeCleaner.java,net.minecraftforge.network.filters.CommandTreeCleaner,class,7,9,2,7,7,1,0,19,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,35,5,0,2,0,2,0,0,4,0,6,3,0,0,2,44,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\common\util\NonNullSupplier.java,net.minecraftforge.common.util.NonNullSupplier,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,class,19,21,2,19,22,1,0,59,0,0.4,1.0,1.0,3,1,2,1,0,0,2,0,0,0,5,1,0,5,0,0,5,0,17,136,1,6,0,4,2,27,0,32,0,37,5,0,0,16,112,1,19
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\event\level\BlockEvent.java,net.minecraftforge.event.level.BlockEvent$CropGrowEvent$Post,innerclass,4,4,0,4,2,4,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,36,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,class,16,24,8,16,11,1,0,16,29,0.83838385,0.2888889,0.4888889,11,0,5,1,0,5,10,0,0,0,9,0,0,4,0,5,9,0,2,53,5,0,0,0,0,0,1,10,0,10,0,0,0,0,86,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\common\data\ForgeSpriteSourceProvider.java,net.minecraftforge.common.data.ForgeSpriteSourceProvider,class,4,4,0,4,2,3,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\common\util\Lazy.java,net.minecraftforge.common.util.Lazy$Concurrent,innerclass,3,3,0,3,4,1,0,1,0,0.33333334,NaN,NaN,2,0,1,1,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,21,1,0,2,0,0,0,0,6,0,4,3,0,0,0,12,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\common\crafting\ingredients\PartialNBTIngredient.java,net.minecraftforge.common.crafting.ingredients.PartialNBTIngredient$Anonymous1,anonymous,6,6,0,6,3,1,0,6,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,3,0,3,0,0,0,0,26,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MinecraftForge\src\main\java\net\minecraftforge\event\PlayLevelSoundEvent.java,net.minecraftforge.event.PlayLevelSoundEvent$AtPosition,innerclass,5,5,0,5,2,3,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,32,9,0
