file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\gui\TextAreaOutputStream.java,com.jagrosh.jmusicbot.gui.TextAreaOutputStream,class,3,5,2,3,13,2,0,4,22,0.6666667,0.25,0.35714287,9,1,8,1,0,0,8,0,0,6,2,0,0,2,0,0,0,0,1,107,2,0,2,1,0,3,7,4,1,2,1,0,1,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\commands\dj\PlaynextCmd.java,com.jagrosh.jmusicbot.commands.dj.PlaynextCmd$ResultHandler,innerclass,14,14,0,14,14,1,0,28,3,0.44444445,0.16666667,0.16666667,6,0,4,2,0,0,4,0,0,0,3,0,0,3,0,0,3,0,7,38,1,0,5,0,1,14,6,9,9,7,2,0,0,0,47,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\settings\Settings.java,com.jagrosh.jmusicbot.settings.Settings,class,8,24,16,8,31,1,0,8,38,0.77142847,0.40952381,1.0,21,0,21,0,0,0,21,0,0,0,10,0,0,7,3,0,1,0,5,117,10,0,7,3,0,0,6,32,0,10,1,0,0,0,45,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\settings\SettingsManager.java,com.jagrosh.jmusicbot.settings.SettingsManager,class,9,16,7,9,30,1,0,36,4,0.53333336,0.5,0.5,5,0,3,1,1,0,4,0,0,0,3,2,0,3,0,0,3,0,12,64,4,0,9,3,0,41,14,8,5,11,3,0,0,3,53,1,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\commands\music\SearchCmd.java,com.jagrosh.jmusicbot.commands.music.SearchCmd,class,9,11,2,9,3,3,1,16,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,2,1,0,2,0,0,68,1,0,0,0,0,7,1,10,2,4,1,0,1,1,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\JMusicBot.java,com.jagrosh.jmusicbot.JMusicBot,class,54,57,3,54,21,1,0,64,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,3,3,3,0,0,0,3,0,14,81,3,0,5,3,1,33,8,14,11,14,2,0,0,0,154,1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\commands\admin\SettcCmd.java,com.jagrosh.jmusicbot.commands.admin.SettcCmd,class,7,8,1,7,6,3,0,18,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,0,10,3,6,5,2,4,0,0,0,40,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\Bot.java,com.jagrosh.jmusicbot.Bot,class,12,67,55,12,23,1,0,27,55,0.83636373,0.23809524,1.0,15,0,15,0,0,0,15,0,0,0,11,0,0,11,0,0,8,0,3,86,10,0,5,0,0,1,1,15,0,15,3,0,0,2,56,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\settings\QueueType.java,com.jagrosh.jmusicbot.settings.QueueType,enum,4,10,6,4,5,1,0,8,4,0.6,0.3,0.6,5,1,4,0,0,1,5,0,0,0,3,0,0,3,0,0,3,0,3,21,4,0,0,0,0,4,0,3,0,4,0,0,0,1,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MusicBot\src\main\java\com\jagrosh\jmusicbot\utils\TimeUtil.java,com.jagrosh.jmusicbot.utils.TimeUtil,class,3,14,11,3,25,1,0,14,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,73,11,2,7,2,4,19,45,31,23,16,6,0,1,0,60,1,0
