file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\exporter\log\influxdb\InfluxLogJvmBufferPoolMetricsExporter.java,cn.myperf4j.base.metric.exporter.log.influxdb.InfluxLogJvmBufferPoolMetricsExporter,class,6,7,1,6,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\influxdb\InfluxDbV2Client.java,cn.myperf4j.base.influxdb.InfluxDbV2Client$Builder,innerclass,2,2,0,2,10,1,0,0,41,0.88,0.044444446,0.06666667,10,0,10,0,0,0,10,0,0,0,10,2,0,10,0,0,2,0,0,51,9,0,0,0,0,0,2,12,0,10,0,0,0,0,31,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-ASM\src\test\java\MyPerf4J\test1\Test.java,MyPerf4J.test1.Test,class,6,7,1,6,5,1,0,8,10,0.0,NaN,NaN,5,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,2,0,6,1,6,0,0,0,0,44,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\formatter\JvmGcMetricsFormatter.java,cn.myperf4j.base.metric.formatter.JvmGcMetricsFormatter,interface,2,7,5,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\test\java\cn\myperf4j\base\test\ProfilingFilterTest.java,cn.myperf4j.base.test.ProfilingFilterTest,class,3,3,0,3,3,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31,39,0,0,0,0,0,31,0,0,0,0,0,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\test\java\cn\myperf4j\base\util\concurrent\AtomicIntHashCounterTest.java,cn.myperf4j.base.util.concurrent.AtomicIntHashCounterTest,class,5,7,2,5,34,1,0,34,66,0.0,0.0,0.0,12,2,9,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,17,205,2,18,2,0,5,17,122,53,33,53,2,1,0,0,75,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-ASM\src\test\java\MyPerf4J\TypeDestUtilsTest.java,MyPerf4J.TypeDestUtilsTest,class,3,4,1,3,3,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,0,26,0,2,0,2,0,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\constant\PropertyKeys.java,cn.myperf4j.base.constant.PropertyKeys$InfluxDB,interface,1,1,0,1,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,9,11,0,0,0,0,0,18,0,9,0,9,0,0,0,0,22,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\exporter\log\standard\StdLogJvmGcMetricsExporter.java,cn.myperf4j.base.metric.exporter.log.standard.StdLogJvmGcMetricsExporter,class,7,8,1,7,5,2,0,7,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,2,25,0,0,2,0,0,8,2,4,2,4,1,0,0,0,37,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\config\ProfilingFilter.java,cn.myperf4j.base.config.ProfilingFilter,class,4,8,4,4,31,1,0,13,70,0.8461538,0.11111111,0.11111111,13,12,8,5,0,0,9,0,0,0,6,6,0,6,0,0,6,0,10,117,15,3,4,0,0,24,4,10,0,9,2,0,0,0,65,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\file\DailyRollingFileWriter.java,cn.myperf4j.base.file.DailyRollingFileWriter,class,2,4,2,2,4,2,0,7,6,0.75,0.0,0.0,4,0,1,0,0,3,4,0,0,0,1,1,0,1,0,0,1,0,2,27,3,0,0,0,0,0,4,2,1,2,0,1,0,0,39,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\exporter\discard\DiscardJvmGcMetricsExporter.java,cn.myperf4j.base.metric.exporter.discard.DiscardJvmGcMetricsExporter,class,2,3,1,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\exporter\log\influxdb\InfluxLogJvmGcMetricsExporter.java,cn.myperf4j.base.metric.exporter.log.influxdb.InfluxLogJvmGcMetricsExporter,class,6,7,1,6,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\JvmGcMetrics.java,cn.myperf4j.base.metric.JvmGcMetrics,class,2,13,11,2,18,2,0,1,78,0.835294,0.24166666,1.0,17,0,16,1,0,0,16,0,0,0,15,1,0,15,0,0,15,0,0,81,16,0,0,0,1,15,3,15,3,15,0,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Core\src\main\java\cn\myperf4j\core\MethodMetricsCalculator.java,cn.myperf4j.core.MethodMetricsCalculator,class,11,17,6,11,14,1,0,29,15,0.8333333,NaN,NaN,6,5,1,5,0,0,1,0,0,0,2,2,0,2,0,0,2,0,19,72,7,4,0,1,3,5,14,35,11,29,2,0,0,1,62,17,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\influxdb\InfluxDbV2Client.java,cn.myperf4j.base.influxdb.InfluxDbV2Client,class,16,20,4,16,25,1,0,33,8,0.7083333,0.1,0.1,8,0,4,4,0,0,5,0,0,0,9,4,0,9,0,0,8,0,18,159,15,0,5,4,0,30,4,19,13,17,3,0,1,1,85,17,10
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\test\java\cn\myperf4j\base\test\ILoggerTest.java,cn.myperf4j.base.test.ILoggerTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\test\java\cn\myperf4j\base\test\LoggerTest.java,cn.myperf4j.base.test.LoggerTest,class,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\collector\JvmGcV3Collector.java,cn.myperf4j.base.metric.collector.JvmGcV3Collector,class,3,5,2,3,5,1,0,7,3,0.6666667,NaN,NaN,3,2,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,35,2,1,1,0,0,0,2,9,2,9,2,0,1,0,41,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\MyPerf4J\MyPerf4J-Base\src\main\java\cn\myperf4j\base\metric\collector\JvmThreadCollector.java,cn.myperf4j.base.metric.collector.JvmThreadCollector,class,4,6,2,4,15,1,0,14,6,0.75,NaN,NaN,4,3,1,3,0,0,1,0,0,0,3,3,0,3,0,0,3,0,6,59,5,1,8,2,0,2,7,16,0,16,2,0,0,0,63,17,1
