file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,class,11,14,3,11,6,2,0,5,1,0.5,0.46666667,0.6666667,6,0,4,0,2,0,6,0,0,0,2,1,1,0,1,0,2,0,2,81,5,0,0,0,0,3,0,4,0,4,0,0,1,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\modules\core\src\main\java\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,class,5,8,3,5,12,1,0,21,4,0.5,0.16666667,0.16666667,4,4,2,0,2,0,4,0,0,1,4,4,3,0,0,1,4,0,3,88,3,1,1,7,1,12,0,15,0,15,3,0,0,0,47,1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,class,4,16,12,4,7,1,0,10,0,0.46666667,0.6,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,35,3,0,0,0,0,3,1,8,0,7,1,0,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,class,20,23,3,20,50,1,0,75,61,0.83928573,0.0,0.0,14,5,3,11,0,0,3,0,0,0,4,3,2,1,1,0,1,0,18,251,8,1,13,6,1,69,14,44,5,37,3,1,0,0,113,1,11
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\main\tests\server\src\com\google\refine\importing\EncodingGuesserTests.java,com.google.refine.importing.EncodingGuesserTests$ImportingJobStub,innerclass,2,2,0,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\schema\WbNameDescExpr.java,org.openrefine.wikibase.schema.WbNameDescExpr$NameDescType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\modules\grel\src\test\java\com\google\refine\expr\functions\html\ParseHtmlTests.java,com.google.refine.expr.functions.html.ParseHtmlTests,class,5,5,0,5,2,3,0,9,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,14,23,0,0,0,0,0,56,0,2,1,2,0,0,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\qa\scrutinizers\NewEntityScrutinizer.java,org.openrefine.wikibase.qa.scrutinizers.NewEntityScrutinizer,class,15,18,3,15,35,2,0,43,6,0.7733335,0.2,0.2,5,1,4,0,1,0,5,0,0,0,15,13,13,0,0,2,13,0,1,153,3,4,6,1,0,29,11,36,0,35,4,0,1,0,123,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\modules\grel\src\test\java\com\google\refine\grel\controls\ForEachIndexTests.java,com.google.refine.grel.controls.ForEachIndexTests,class,5,6,1,5,9,3,0,7,21,0.0,0.0,0.0,7,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,1,1,0,68,0,9,6,5,2,0,0,0,61,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\OpenRefine\modules\core\src\main\java\com\google\refine\model\changes\CellAtRowCellIndex.java,com.google.refine.model.changes.CellAtRowCellIndex,class,3,5,2,3,5,1,0,13,0,0.16666667,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,4,1,3,1,0,0,4,0,6,31,1,0,1,0,0,1,4,10,3,10,1,0,0,0,24,1,0
