file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\event\PeerBanEvent.java,com.ghostchu.peerbanhelper.event.PeerBanEvent,class,7,8,1,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,class,2,3,1,2,11,1,0,0,35,0.8181819,0.18181819,1.0,11,0,11,0,0,0,11,0,0,0,10,0,0,10,0,0,0,0,0,54,10,0,0,0,0,0,0,10,0,10,0,0,0,0,27,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\bitcomet\resp\BCTaskPeersResponse.java,com.ghostchu.peerbanhelper.downloader.impl.bitcomet.resp.BCTaskPeersResponse$PeerCountDTO,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,class,18,19,1,18,17,1,0,52,0,0.65999997,0.7777778,0.7777778,10,0,9,1,0,0,9,0,0,0,5,0,0,5,0,0,5,0,5,72,5,0,1,3,0,5,3,10,0,10,3,0,0,0,50,17,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\database\dao\impl\TrafficJournalDao.java,com.ghostchu.peerbanhelper.database.dao.impl.TrafficJournalDao$TrafficData,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\raccoonfink\deluge\responses\PBHActiveTorrentsResponse.java,raccoonfink.deluge.responses.PBHActiveTorrentsResponse$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\ipdb\IPGeoData.java,com.ghostchu.peerbanhelper.ipdb.IPGeoData$NetworkData,innerclass,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\config\MainConfigUpdateScript.java,com.ghostchu.peerbanhelper.config.MainConfigUpdateScript,class,5,7,2,5,57,1,0,18,0,0.0,1.0,1.0,29,0,28,1,0,0,28,0,0,0,1,0,0,1,0,0,1,0,3,189,5,5,13,0,0,97,31,17,0,17,4,0,0,0,113,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\ExternalSwitch.java,com.ghostchu.peerbanhelper.ExternalSwitch,class,2,22,20,2,31,1,0,25,153,0.0,0.0,0.0,18,18,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,26,83,27,1,11,0,0,5,8,11,2,9,3,0,0,0,17,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\module\impl\webapi\PBHGeneralController.java,com.ghostchu.peerbanhelper.module.impl.webapi.PBHGeneralController$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
