file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\helper\StaggeredManager.java,ceui.lisa.helper.StaggeredManager,class,6,8,2,6,3,2,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,1,0,1,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\Emoji.java,ceui.lisa.utils.Emoji$CharDicWithArr$Node,innerclass,1,1,0,1,1,1,0,0,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,4,0,0,0,0,8,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\model\ListIllust.java,ceui.lisa.model.ListIllust,class,2,26,24,2,6,1,2,0,3,0.5,0.4,0.4,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,4,0,0,0,0,0,0,2,0,2,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\fragments\FragmentDownloading.java,ceui.lisa.fragments.FragmentDownloading,class,15,18,3,15,11,6,0,20,8,0.6,0.1,0.1,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,58,3,0,4,1,0,1,1,4,1,5,4,1,0,1,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\database\DownloadEntity.java,ceui.lisa.database.DownloadEntity,class,3,10,7,3,11,1,0,0,33,0.76363635,0.2,0.4181818,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,0,40,6,0,0,0,0,7,0,7,2,5,0,0,0,0,19,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\adapters\NovelHeader.java,ceui.lisa.adapters.NovelHeader,class,14,15,1,14,3,3,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,4,4,5,0,9,1,0,0,2,34,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous18,anonymous,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous19,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous16,anonymous,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous17,anonymous,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\adapters\LAdapter.java,ceui.lisa.adapters.LAdapter,class,7,8,1,7,5,2,0,11,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,26,1,0,1,0,0,0,2,5,1,3,2,0,0,1,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\model\ListBookmarkTag.java,ceui.lisa.model.ListBookmarkTag$BookmarkDetailBean,innerclass,1,1,0,1,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,13,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous15,anonymous,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\viewmodel\DynamicIllustModel.java,ceui.lisa.viewmodel.DynamicIllustModel,class,3,4,1,3,2,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,1,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\adapters\SimpleUserAdapter.java,ceui.lisa.adapters.SimpleUserAdapter,class,10,15,5,10,8,2,0,17,13,0.75,0.1,0.1,6,0,5,1,0,0,5,0,0,0,2,0,0,2,0,0,1,0,1,78,1,0,1,0,0,0,2,3,0,4,1,3,0,2,24,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\http\TokenInterceptor.java,ceui.lisa.http.TokenInterceptor,class,12,14,2,12,11,1,0,31,3,0.6666667,NaN,NaN,3,0,1,2,0,0,1,0,0,1,3,3,0,3,0,0,3,0,16,64,8,0,4,0,0,15,2,11,4,11,2,0,0,0,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous13,anonymous,11,11,0,11,10,1,0,41,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,83,2,3,3,0,3,12,7,21,11,20,4,1,0,0,43,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous10,anonymous,5,5,0,5,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,2,0,0,3,0,2,0,1,2,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\utils\PixivOperate.java,ceui.lisa.utils.PixivOperate$Anonymous11,anonymous,10,10,0,10,7,1,0,30,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,67,1,3,3,0,2,15,7,17,12,15,4,1,0,0,26,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\activities\OutWakeActivity.java,ceui.lisa.activities.OutWakeActivity$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\activities\OutWakeActivity.java,ceui.lisa.activities.OutWakeActivity$Anonymous5,anonymous,7,7,0,7,3,1,0,28,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0,0,1,0,1,0,1,1,2,0,0,9,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\fragments\FragmentSearchNovel.java,ceui.lisa.fragments.FragmentSearchNovel,class,16,18,2,16,6,6,0,17,9,0.5,0.2,0.2,6,1,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,35,4,0,0,0,0,0,0,3,0,3,0,1,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Pixiv-Shaft\app\src\main\java\ceui\lisa\model\ListBookmarkTag.java,ceui.lisa.model.ListBookmarkTag,class,3,5,2,3,6,1,0,0,3,0.5,0.26666668,0.26666668,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,45,4,0,0,0,0,0,0,2,0,2,0,0,1,0,13,1,0
