file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewFadeAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewFadeAnimator,class,4,4,0,4,6,1,0,7,11,0.72222227,0.13333334,0.2,6,0,6,0,0,0,6,0,0,0,3,1,0,3,0,0,1,0,0,44,0,0,0,0,0,0,5,3,0,3,0,1,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\PreviewDelegate.java,com.github.rubensousa.previewseekbar.PreviewDelegate,class,12,17,5,12,55,1,0,34,115,0.80072457,0.26839826,0.90909094,23,1,22,1,0,0,22,0,0,0,12,0,0,12,0,0,0,0,0,178,12,6,4,0,3,0,4,33,11,28,2,0,0,0,118,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\sample\src\main\java\com\github\rubensousa\previewseekbar\sample\GlideThumbnailTransformation.java,com.github.rubensousa.previewseekbar.sample.GlideThumbnailTransformation,class,6,8,2,6,12,2,0,8,0,0.51428574,1.0,1.0,7,0,4,2,1,0,5,0,0,0,5,3,0,5,0,0,3,0,1,39,8,0,5,0,0,0,5,12,9,11,1,0,0,0,50,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\PreviewSeekBar.java,com.github.rubensousa.previewseekbar.PreviewSeekBar,class,19,21,2,19,32,2,0,41,39,0.7160494,0.42153847,0.42153847,27,0,25,1,1,0,26,0,0,2,3,0,0,3,0,0,0,0,1,126,3,0,3,0,0,0,5,12,0,9,2,1,0,0,80,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewMorphAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewMorphAnimator$Anonymous5,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar-media3\src\main\java\com\github\rubensousa\previewseekbar\media3\PreviewTimeBar.java,com.github.rubensousa.previewseekbar.media3.PreviewTimeBar$TimeBarDefaultOnScrubListener,innerclass,4,4,0,4,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewMorphAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewMorphAnimator$Anonymous4,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewMorphAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewMorphAnimator$Anonymous3,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\PreviewBar.java,com.github.rubensousa.previewseekbar.PreviewBar,interface,9,19,10,9,20,1,0,0,190,0.0,0.0,0.0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,101,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewMorphAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewMorphAnimator$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\sample\src\main\java\com\github\rubensousa\previewseekbar\sample\MainActivity.java,com.github.rubensousa.previewseekbar.sample.MainActivity$Anonymous1,anonymous,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,1,0,4,0,0,0,0,0,16,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewMorphAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewMorphAnimator$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,13,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewMorphAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewMorphAnimator,class,11,15,4,11,44,1,0,67,238,0.9166667,0.2,0.2,24,0,6,18,0,0,6,0,0,0,16,4,0,16,0,0,4,0,1,293,20,0,10,0,7,0,27,57,26,45,1,5,0,0,134,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\PreviewSeekBar.java,com.github.rubensousa.previewseekbar.PreviewSeekBar$Anonymous1,anonymous,2,2,0,2,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\sample\src\main\java\com\github\rubensousa\previewseekbar\sample\ExoPlayerManager.java,com.github.rubensousa.previewseekbar.sample.ExoPlayerManager,class,14,16,2,14,21,1,0,22,36,0.8131868,0.15555556,0.22222222,13,0,10,3,0,0,10,0,0,0,7,1,0,7,0,0,1,0,0,85,1,0,2,0,0,1,5,10,0,8,1,1,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\PreviewLoader.java,com.github.rubensousa.previewseekbar.PreviewLoader,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\PreviewBar.java,com.github.rubensousa.previewseekbar.PreviewBar$OnScrubListener,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\PreviewBar.java,com.github.rubensousa.previewseekbar.PreviewBar$OnPreviewVisibilityListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\sample\src\main\java\com\github\rubensousa\previewseekbar\sample\ExoPlayerManager.java,com.github.rubensousa.previewseekbar.sample.ExoPlayerManager$Anonymous1,anonymous,1,1,0,1,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar-media3\src\main\java\com\github\rubensousa\previewseekbar\media3\PreviewTimeBar.java,com.github.rubensousa.previewseekbar.media3.PreviewTimeBar,class,20,24,4,20,32,2,0,43,0,0.801282,0.54333335,0.92,26,0,24,1,1,0,25,0,0,0,6,0,0,6,0,0,0,0,3,140,7,0,4,0,3,0,9,18,6,14,2,0,1,0,93,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewAnimator,interface,2,8,6,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\sample\src\main\java\com\github\rubensousa\previewseekbar\sample\MainActivity.java,com.github.rubensousa.previewseekbar.sample.MainActivity,class,15,16,1,15,14,2,0,40,0,0.5833333,0.6666667,0.6666667,8,0,5,2,1,0,6,0,0,0,3,0,0,3,0,0,0,0,1,120,0,0,2,0,0,1,0,11,0,21,3,1,0,6,68,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\PreviewSeekBar\previewseekbar\src\main\java\com\github\rubensousa\previewseekbar\animator\PreviewFadeAnimator.java,com.github.rubensousa.previewseekbar.animator.PreviewFadeAnimator$Anonymous1,anonymous,1,1,0,1,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,-1,0
