file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\app\src\main\java\com\leo\WikiActivity.java,com.leo.WikiActivity$Anonymous2,anonymous,1,1,0,1,6,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,2,0,0,0,1,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\app\src\main\java\com\leo\WikiActivity.java,com.leo.WikiActivity$Anonymous1,anonymous,4,4,0,4,9,1,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,2,1,0,3,0,1,0,1,2,0,0,0,25,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\main\java\com\lihang\GlideRoundUtils.java,com.lihang.GlideRoundUtils$Anonymous10,anonymous,2,2,0,2,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\main\java\com\lihang\help\OkView.java,com.lihang.help.OkView,class,10,11,1,10,9,2,0,17,16,0.796875,0.21428572,0.35714287,8,0,7,0,1,0,8,0,0,0,8,0,0,8,0,0,0,0,0,63,0,0,0,0,0,0,17,7,13,9,1,1,0,0,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\main\java\com\lihang\help\OkView.java,com.lihang.help.OkView$Anonymous1,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,1,1,0,0,0,0,17,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\main\java\com\lihang\SmartLoadingView.java,com.lihang.SmartLoadingView$Anonymous20,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\main\java\com\lihang\SmartLoadingView.java,com.lihang.SmartLoadingView,class,34,46,12,34,115,2,0,127,513,0.9183932,0.05882353,0.11764706,43,0,14,26,3,0,17,0,0,0,55,5,0,55,0,0,0,0,5,831,7,0,31,0,17,9,122,157,83,98,3,19,1,0,225,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\main\java\com\lihang\SmartLoadingView.java,com.lihang.SmartLoadingView$Anonymous21,anonymous,2,2,0,2,5,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,18,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\main\java\com\lihang\SmartLoadingView.java,com.lihang.SmartLoadingView$LoadingListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShadowLayout\shadowLibrary\src\androidTest\java\com\lihang\ExampleInstrumentedTest.java,com.lihang.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
