file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\etcd\shedlock-provider-etcd-jetcd\src\main\java\net\javacrumbs\shedlock\provider\etcd\jetcd\EtcdLockProvider.java,net.javacrumbs.shedlock.provider.etcd.jetcd.EtcdLockProvider,class,11,15,4,11,7,2,0,14,17,0.8,0.33333334,0.5,7,2,3,3,0,1,4,0,0,0,5,3,0,5,0,0,5,0,9,117,5,0,0,0,0,4,1,8,1,9,0,0,2,1,67,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,class,13,17,4,13,10,2,0,23,22,0.75555557,0.46666667,0.6666667,9,3,5,3,0,1,6,0,0,0,5,2,0,5,0,0,5,0,8,100,7,0,0,0,2,4,0,9,0,10,1,0,2,1,83,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\etcd\shedlock-provider-etcd-jetcd\src\test\java\net\javacrumbs\shedlock\provider\etcd\jetcd\EtcdLockProviderIntegrationTest.java,net.javacrumbs.shedlock.provider.etcd.jetcd.EtcdLockProviderIntegrationTest,class,14,15,1,14,15,2,0,30,60,0.7692308,0.083333336,0.11111111,13,2,4,4,3,2,9,0,0,0,3,1,0,3,0,0,1,0,2,58,3,0,0,2,0,0,7,5,0,5,1,0,0,1,68,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\micronaut\test\micronaut4-jdbc-template\src\main\java\net\javacrumbs\micronaut\test\Configuration.java,Configuration,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\zookeeper\shedlock-provider-zookeeper-curator\src\test\java\net\javacrumbs\shedlock\provider\zookeeper\curator\ZookeeperCuratorLockProviderIntegrationTest.java,net.javacrumbs.shedlock.provider.zookeeper.curator.ZookeeperCuratorLockProviderIntegrationTest,class,11,12,1,11,10,2,0,25,0,0.45833334,0.8,1.0,8,0,3,2,3,0,6,0,0,0,3,0,0,3,0,0,0,0,2,49,3,0,0,2,0,1,1,6,0,6,1,0,0,0,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\memcached\shedlock-provider-memcached-spy\src\test\java\net\javacrumbs\shedlock\provider\memcached\spy\MemcachedContainer.java,net.javacrumbs.shedlock.provider.memcached.spy.MemcachedContainer,class,4,6,2,4,1,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,0,8,0,0,0,0,0,1,1,2,0,3,0,0,0,1,19,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\mongo\shedlock-provider-mongo-reactivestreams\src\main\java\net\javacrumbs\shedlock\provider\mongo\reactivestreams\ReactiveStreamsMongoLockProvider.java,net.javacrumbs.shedlock.provider.mongo.reactivestreams.ReactiveStreamsMongoLockProvider$ReactiveMongoLock,innerclass,4,4,0,4,3,2,0,2,0,0.0,1.0,1.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\neo4j\shedlock-provider-neo4j\src\test\java\net\javacrumbs\shedlock\provider\neo4j\AbstractNeo4jLockProviderIntegrationTest.java,net.javacrumbs.shedlock.provider.neo4j.AbstractNeo4jLockProviderIntegrationTest,class,14,18,4,14,17,4,2,36,134,0.91176474,0.0,0.0,17,0,3,5,5,4,12,1,0,0,2,2,0,2,0,0,2,0,9,92,5,0,0,0,0,10,6,13,1,13,0,1,0,0,81,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\redis\shedlock-provider-redis-spring\src\test\java\net\javacrumbs\shedlock\provider\redis\spring\AbstractRedisLockProviderIntegrationTest.java,net.javacrumbs.shedlock.provider.redis.spring.AbstractRedisLockProviderIntegrationTest,class,7,12,5,7,5,3,6,10,0,0.6,0.6666667,1.0,5,0,1,1,3,0,4,0,0,0,4,2,0,4,0,0,4,0,0,22,2,0,0,0,0,2,1,4,0,4,0,0,0,0,33,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\ShedLock\providers\jdbc\shedlock-test-support-jdbc\src\main\java\net\javacrumbs\shedlock\test\support\jdbc\PostgresConfig.java,net.javacrumbs.shedlock.test.support.jdbc.PostgresConfig$MyPostgreSQLContainer,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,8,0
