file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\refresh-layout-kernel\src\main\java\com\scwang\smart\refresh\layout\listener\OnMultiListener.java,com.scwang.smart.refresh.layout.listener.OnMultiListener,interface,4,11,7,4,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\practice\RepastPracticeActivity.java,com.scwang.refresh.layout.activity.practice.RepastPracticeActivity,class,13,15,2,13,4,2,0,20,1,0.5,NaN,NaN,2,0,0,1,1,0,1,0,0,0,2,1,0,2,0,0,0,0,5,116,1,0,0,0,0,0,1,7,0,7,1,8,1,2,46,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\fragment\example\NestedScrollExampleFragmentIntegral.java,com.scwang.refresh.layout.fragment.example.NestedScrollExampleFragmentIntegral$SmartFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\practice\BannerPracticeActivity.java,com.scwang.refresh.layout.activity.practice.BannerPracticeActivity$QuickAdapter,innerclass,4,4,0,4,2,2,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\example\BasicExampleActivity.java,com.scwang.refresh.layout.activity.example.BasicExampleActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\example\BasicExampleActivity.java,com.scwang.refresh.layout.activity.example.BasicExampleActivity$Anonymous2,anonymous,1,1,0,1,5,1,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,3,0,0,18,0,0,3,0,0,3,3,3,0,3,1,0,0,0,27,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\style\FlyRefreshStyleActivity.java,com.scwang.refresh.layout.activity.style.FlyRefreshStyleActivity$ItemViewHolder,innerclass,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\refresh-drawable-paint\src\androidTest\java\com\scwang\smart\drawable\ExampleInstrumentedTest.java,com.scwang.smart.drawable.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\flyrefresh\FlyView.java,com.scwang.smart.refresh.header.flyrefresh.FlyView,class,5,6,1,5,3,3,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,8,1,0,1,1,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\style\PhoenixStyleActivity.java,com.scwang.refresh.layout.activity.style.PhoenixStyleActivity$Item,enum,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,2,0,0,7,0,0,0,0,0,6,0,2,0,2,0,0,0,0,12,2,0
