file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\domain\model\FlowEntryNode.java,cn.surveyking.server.flow.domain.model.FlowEntryNode,class,6,13,7,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,1,0,13,0,0,1,0,0,15,0,0,0,0,0,13,1,1,0,13,0,0,0,0,39,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\uitls\ClassUtils.java,cn.surveyking.server.core.uitls.ClassUtils,class,1,3,2,1,5,1,0,12,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,1,1,0,0,0,1,1,2,1,2,2,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\DatabaseInitProperties.java,cn.surveyking.server.domain.dto.DatabaseInitProperties,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,2,1,3,0,9,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\config\WebSecurityConfig.java,cn.surveyking.server.core.config.WebSecurityConfig$UrlTokenAuthentication,innerclass,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,1,0,0,0,0,9,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\CommDictItemQuery.java,cn.surveyking.server.domain.dto.CommDictItemQuery,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\AnswerUploadView.java,cn.surveyking.server.domain.dto.AnswerUploadView,class,2,5,3,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\mapper\RepoMapper.java,cn.surveyking.server.mapper.RepoMapper,interface,4,5,1,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,2,0,0,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\listener\ProcessSuspendedListener.java,cn.surveyking.server.flow.listener.ProcessSuspendedListener,class,7,7,0,7,4,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,20,3,0,0,0,0,0,0,3,0,3,0,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\domain\model\Answer.java,cn.surveyking.server.domain.model.Answer,class,11,17,6,11,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,13,0,0,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\security\PreAuthorizeAnnotationExtractor.java,cn.surveyking.server.core.security.PreAuthorizeAnnotationExtractor,class,5,7,2,5,14,1,0,23,4,0.5,0.0,0.0,4,4,2,2,0,0,2,0,0,0,1,1,0,1,0,0,0,0,5,61,3,3,5,0,0,5,2,16,1,15,4,0,0,2,35,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\CommDictItemRequest.java,cn.surveyking.server.domain.dto.CommDictItemRequest,class,2,6,4,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\uitls\AnswerScoreEvaluator.java,cn.surveyking.server.core.uitls.AnswerScoreEvaluator$SelectEvaluator,innerclass,3,3,0,3,8,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,3,1,4,0,0,1,2,7,0,5,3,0,0,0,21,0,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\UserView.java,cn.surveyking.server.domain.dto.UserView,class,3,7,4,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\SurveySchema.java,cn.surveyking.server.domain.dto.SurveySchema$ExamMatchRule,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\RoleQuery.java,cn.surveyking.server.domain.dto.RoleQuery,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\ProjectSetting.java,cn.surveyking.server.domain.dto.ProjectSetting$RandomSurveyCondition,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\domain\model\Account.java,cn.surveyking.server.domain.model.Account,class,4,6,2,4,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,7,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\impl\DashboardServiceImpl.java,cn.surveyking.server.impl.DashboardServiceImpl,class,12,12,0,12,3,3,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,1,0,0,0,0,1,0,2,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\domain\mapper\FileViewMapper.java,cn.surveyking.server.domain.mapper.FileViewMapper,interface,4,5,1,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\domain\model\FlowOperation.java,cn.surveyking.server.flow.domain.model.FlowOperation,class,5,9,4,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,19,1,0,19,0,0,1,0,0,21,0,0,0,0,0,18,1,1,0,19,0,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\PositionQuery.java,cn.surveyking.server.domain.dto.PositionQuery,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\constant\AppConsts.java,cn.surveyking.server.core.constant.AppConsts$DashboardType,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,2,0,2,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\domain\dto\PositionView.java,cn.surveyking.server.domain.dto.PositionView,class,1,6,5,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,5,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\domain\mapper\UserBookViewMapper.java,cn.surveyking.server.domain.mapper.UserBookViewMapper,interface,5,6,1,5,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\mapper\UserPositionMapper.java,cn.surveyking.server.mapper.UserPositionMapper,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\service\DictService.java,cn.surveyking.server.service.DictService,interface,7,10,3,7,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\api\FlowApi.java,cn.surveyking.server.flow.api.FlowApi,class,18,18,0,18,10,1,0,9,0,0.1,0.8,0.8,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,0,32,6,0,0,0,0,11,0,0,0,1,0,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\domain\model\File.java,cn.surveyking.server.domain.model.File,class,5,8,3,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,6,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\impl\AnswerServiceImpl.java,cn.surveyking.server.impl.AnswerServiceImpl,class,56,60,4,56,121,2,0,268,417,0.9078341,0.21794872,0.26923078,31,0,13,18,0,0,13,0,0,0,7,0,0,7,0,0,7,0,26,541,38,5,54,8,4,23,51,128,11,137,6,0,0,25,176,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\uitls\SchemaHelper.java,cn.surveyking.server.core.uitls.SchemaHelper,class,23,31,8,23,95,1,0,136,171,0.94736844,0.0,0.0,19,19,16,3,0,0,16,0,0,0,2,2,1,0,1,0,1,0,31,440,41,5,36,0,15,66,20,63,17,95,8,0,2,34,151,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\base\converter\UniqueLimitSettingConverter.java,cn.surveyking.server.core.base.converter.UniqueLimitSettingConverter,class,3,4,1,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,2,0,2,0,2,0,0,0,0,13,1,0
