file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\app\src\main\java\com\getkeepsafe\taptargetviewsample\MainActivity.java,com.getkeepsafe.taptargetviewsample.MainActivity,class,14,14,0,14,1,2,0,37,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,51,0,0,0,0,0,12,12,7,6,7,0,2,0,0,73,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\taptargetview\src\main\java\com\getkeepsafe\taptargetview\FloatValueAnimatorBuilder.java,com.getkeepsafe.taptargetview.FloatValueAnimatorBuilder$UpdateListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\taptargetview\src\main\java\com\getkeepsafe\taptargetview\TapTargetView.java,com.getkeepsafe.taptargetview.TapTargetView$Listener,innerclass,2,2,0,2,5,1,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\taptargetview\src\main\java\com\getkeepsafe\taptargetview\ViewUtil.java,com.getkeepsafe.taptargetview.ViewUtil$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,2,0,1,1,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\app\src\main\java\com\getkeepsafe\taptargetviewsample\MainActivity.java,com.getkeepsafe.taptargetviewsample.MainActivity$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\taptargetview\src\main\java\com\getkeepsafe\taptargetview\TapTargetSequence.java,com.getkeepsafe.taptargetview.TapTargetSequence,class,9,13,4,9,35,1,0,16,0,0.7606838,0.6025641,0.7051282,13,0,12,0,0,1,13,0,0,0,9,0,0,6,0,3,4,0,3,145,11,2,13,1,0,7,1,18,4,12,2,1,1,0,98,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\taptargetview\src\main\java\com\getkeepsafe\taptargetview\UiUtil.java,com.getkeepsafe.taptargetview.UiUtil,class,3,5,2,3,9,1,0,7,10,0.0,0.0,0.0,5,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,2,0,4,1,10,5,3,3,1,0,0,0,38,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\taptargetview\src\main\java\com\getkeepsafe\taptargetview\TapTargetSequence.java,com.getkeepsafe.taptargetview.TapTargetSequence$Listener,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\app\src\main\java\com\getkeepsafe\taptargetviewsample\MainActivity.java,com.getkeepsafe.taptargetviewsample.MainActivity$Anonymous3,anonymous,2,2,0,2,3,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TapTargetView\app\src\main\java\com\getkeepsafe\taptargetviewsample\SampleApplication.java,com.getkeepsafe.taptargetviewsample.SampleApplication,class,1,1,0,1,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
