file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-springboot-longpolling-starter\src\test\java\org\telegram\telegrambots\longpolling\starter\TestTelegramBotStarterConfiguration.java,org.telegram.telegrambots.longpolling.starter.TestTelegramBotStarterConfiguration$MockTelegramBotsLongPollingApplication,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-meta\src\main\java\org\telegram\telegrambots\meta\api\objects\menubutton\MenuButton.java,org.telegram.telegrambots.meta.api.objects.menubutton.MenuButton,class,15,20,5,15,2,1,3,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,1,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,5,0,1,0,1,0,0,0,0,54,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-webhook\src\main\java\org\telegram\telegrambots\webhook\TelegramWebhookBot.java,org.telegram.telegrambots.webhook.TelegramWebhookBot,interface,2,4,2,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-client-jetty-adapter\src\test\java\org\telegram\telegrambots\client\TestData.java,TestData,class,2,2,0,2,0,1,0,13,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,7,0,0,0,0,0,12,4,5,0,5,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-meta\src\main\java\org\telegram\telegrambots\meta\api\methods\groupadministration\DeclineChatJoinRequest.java,org.telegram.telegrambots.meta.api.methods.groupadministration.DeclineChatJoinRequest$DeclineChatJoinRequestBuilder,innerclass,6,6,0,6,1,4,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1033,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-meta\src\main\java\org\telegram\telegrambots\meta\api\methods\groupadministration\PromoteChatMember.java,org.telegram.telegrambots.meta.api.methods.groupadministration.PromoteChatMember$PromoteChatMemberBuilder,innerclass,6,6,0,6,1,4,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1033,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-meta\src\main\java\org\telegram\telegrambots\meta\api\objects\commands\scope\BotCommandScopeAllPrivateChats.java,org.telegram.telegrambots.meta.api.objects.commands.scope.BotCommandScopeAllPrivateChats,class,10,11,1,10,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-meta\src\test\java\org\telegram\telegrambots\meta\test\asserts\ApiAssert.java,org.telegram.telegrambots.meta.test.asserts.ApiAssert,class,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-meta\src\main\java\org\telegram\telegrambots\meta\api\methods\forum\DeleteForumTopic.java,org.telegram.telegrambots.meta.api.methods.forum.DeleteForumTopic$DeleteForumTopicBuilder,innerclass,6,6,0,6,1,4,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1033,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\TelegramBots\telegrambots-abilities\src\main\java\org\telegram\telegrambots\abilitybots\api\objects\ReplyFlow.java,org.telegram.telegrambots.abilitybots.api.objects.ReplyFlow$ReplyFlowBuilder,innerclass,8,8,0,8,12,1,0,16,0,0.62500006,0.6666667,1.0,9,0,6,3,0,0,6,0,0,0,8,2,1,7,0,0,3,0,0,79,8,0,2,0,0,1,3,22,0,29,2,0,0,5,44,9,0
