file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\v\MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,class,9,17,8,9,14,2,0,14,20,0.6875,0.06666667,0.06666667,8,0,5,2,1,0,6,0,0,0,2,0,0,2,0,0,0,0,2,57,2,0,4,0,0,0,3,4,0,4,2,1,1,0,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\navigation\TooltipOverlayView.java,org.thunderdog.challegram.navigation.TooltipOverlayView$TooltipContentView,innerclass,7,7,0,7,7,1,0,0,21,0.85714287,0.0,0.0,7,0,6,0,1,0,7,6,0,0,1,0,0,0,1,0,1,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1034,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\charts\view_data\ChartBottomSignatureData.java,org.thunderdog.challegram.charts.view_data.ChartBottomSignatureData,class,0,1,1,0,1,1,0,0,0,0.4,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,5,0,0,0,3,0,0,12,0,0,0,0,0,0,1,4,0,5,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\unsorted\LocationRetriever.java,org.thunderdog.challegram.unsorted.LocationRetriever$LocationCallback,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\telegram\DateManager.java,org.thunderdog.challegram.telegram.DateManager$Anonymous1,anonymous,4,4,0,4,5,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,1,0,1,2,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\ui\ChatLinkMembersController.java,org.thunderdog.challegram.ui.ChatLinkMembersController$Anonymous1,anonymous,5,5,0,5,2,1,0,8,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,1,0,7,2,1,0,1,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\component\chat\TdlibSingleUnreadReactionsManager.java,org.thunderdog.challegram.component.chat.TdlibSingleUnreadReactionsManager$ChatState$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,1,0,0,2,9,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\google\java\org\thunderdog\challegram\ui\MapControllerFactory.java,org.thunderdog.challegram.ui.MapControllerFactory,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\ui\ChatLinkMembersController.java,org.thunderdog.challegram.ui.ChatLinkMembersController$Anonymous3,anonymous,4,4,0,4,8,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,1,0,2,1,1,1,2,0,0,0,21,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\ui\InstantViewController.java,org.thunderdog.challegram.ui.InstantViewController$Anonymous1,anonymous,10,10,0,10,15,1,0,17,6,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,10,47,4,2,9,0,0,0,10,16,6,12,4,0,0,0,35,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\Telegram-X\app\src\main\java\org\thunderdog\challegram\unsorted\Settings.java,org.thunderdog.challegram.unsorted.Settings$IconPack,innerclass,6,6,0,6,7,2,0,4,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,1,2,0,0,0,0,0,0,0,31,9,0
