file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\ui\dialog\importway\ImportByDing.java,com.fangxuele.tool.push.ui.dialog.importway.ImportByDing,class,30,35,5,30,53,6,0,133,16,0.72115386,0.4,0.6,8,0,4,4,0,0,5,0,0,0,13,6,0,13,0,0,1,0,26,434,10,9,25,4,0,58,127,102,12,96,6,1,0,7,153,1,8
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\ui\dialog\SystemEnvResultDialog.java,com.fangxuele.tool.push.ui.dialog.SystemEnvResultDialog,class,6,9,3,6,9,6,0,26,3,0.5555556,0.2,0.2,6,0,4,2,0,0,5,0,0,0,3,0,0,3,0,0,0,0,5,68,1,0,0,0,0,7,71,9,0,11,1,1,0,2,77,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\TabListener.java,com.fangxuele.tool.push.ui.listener.TabListener$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,2,0,2,1,0,0,0,19,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\bean\account\YunPianAccountConfig.java,com.fangxuele.tool.push.bean.account.YunPianAccountConfig,class,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\bean\VersionSummary.java,com.fangxuele.tool.push.bean.VersionSummary$Version,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\logic\msgsender\WxMpSubscribeMsgSender.java,com.fangxuele.tool.push.logic.msgsender.WxMpSubscribeMsgSender,class,10,11,1,10,5,1,0,14,1,0.4166667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,4,1,0,4,0,0,0,0,2,38,4,0,1,1,0,0,2,8,0,8,2,0,0,0,33,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\MessageEditListener.java,com.fangxuele.tool.push.ui.listener.MessageEditListener,class,13,13,0,13,17,1,0,60,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,1,0,4,153,5,0,8,2,0,24,9,17,4,21,4,1,0,4,55,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\bean\account\BdYunAccountConfig.java,com.fangxuele.tool.push.bean.account.BdYunAccountConfig,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\bean\account\QiniuYunAccountConfig.java,com.fangxuele.tool.push.bean.account.QiniuYunAccountConfig,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\AccountManageListener.java,com.fangxuele.tool.push.ui.listener.AccountManageListener$Anonymous1,anonymous,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,2,0,2,0,0,0,0,9,-1,0
