file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\table\server\master\src\main\java\alluxio\master\table\transform\TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,class,7,14,7,7,12,1,0,19,36,0.77777773,0.22727273,0.8333333,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,4,0,1,55,9,0,0,0,0,7,0,8,0,6,0,0,0,0,54,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\stress\shell\src\main\java\alluxio\stress\cli\AbstractStressBench.java,alluxio.stress.cli.AbstractStressBench,class,6,13,7,6,7,2,0,11,1,0.75,0.0,0.0,2,0,2,0,0,0,2,1,0,0,2,1,0,1,1,0,1,0,0,34,2,2,0,1,0,14,2,6,3,5,5,0,0,0,58,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\core\server\master\src\main\java\alluxio\master\file\meta\MountTable.java,alluxio.master.file.meta.MountTable$Resolution,innerclass,4,4,0,4,7,1,0,2,3,0.6428572,0.2,0.2,7,0,6,1,0,0,6,0,0,0,4,0,0,4,0,0,4,0,0,30,6,0,0,0,0,0,0,4,0,4,0,0,0,0,43,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\job\server\src\main\java\alluxio\job\plan\NoopPlanDefinition.java,alluxio.job.plan.NoopPlanDefinition,class,7,7,0,7,4,2,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\core\common\src\test\java\alluxio\worker\block\io\MockBlockReader.java,alluxio.worker.block.io.MockBlockReader,class,3,3,0,3,8,2,0,4,2,0.5,0.32142857,0.53571427,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,1,0,2,30,6,0,0,0,0,1,0,4,1,3,0,0,0,0,43,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\integration\jnifuse\fs\src\main\java\alluxio\jnifuse\struct\FuseFileInfo.java,alluxio.jnifuse.struct.FuseFileInfo,class,8,18,10,8,4,2,2,5,0,0.6666667,1.0,1.0,2,1,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,1,20,1,0,2,0,0,1,0,4,0,6,1,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\core\common\src\main\java\alluxio\conf\PropertyKey.java,alluxio.conf.PropertyKey,class,40,71,31,40,118,1,0,124,540,0.9976869,0.11260504,0.15966387,40,14,35,5,0,0,35,0,0,0,908,893,884,24,0,0,908,0,997,2394,67,4,15,4,6,2412,247,935,528,927,4,0,6,19,1823,17,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\core\common\src\test\java\alluxio\retry\ExponentialTimeBoundedRetryTest.java,alluxio.retry.ExponentialTimeBoundedRetryTest,class,6,7,1,6,7,1,0,27,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,43,0,3,0,0,0,1,15,14,4,11,3,0,0,1,42,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\core\common\src\main\java\alluxio\exception\JobDoesNotExistException.java,alluxio.exception.JobDoesNotExistException,class,3,3,0,3,2,4,0,2,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\alluxio\underfs\oss\src\main\java\alluxio\underfs\oss\OSSUnderFileSystem.java,alluxio.underfs.oss.OSSUnderFileSystem$OSSObjectListingChunk,innerclass,6,6,0,6,9,1,0,13,0,0.25,1.0,1.0,4,0,3,0,0,1,4,0,0,0,2,0,0,0,0,2,2,0,0,36,4,1,3,0,0,1,2,10,0,9,2,0,0,0,37,18,0
