file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\preview\PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,innerclass,5,5,0,5,17,2,0,20,4,0.5833333,0.0,0.0,4,0,0,1,3,0,3,0,0,0,3,1,0,3,0,0,3,0,0,74,1,1,8,2,0,4,2,15,1,12,3,0,0,0,68,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,class,14,16,2,14,10,6,0,24,0,0.5714286,0.6666667,1.0,7,1,4,3,0,0,4,0,0,0,7,1,0,7,0,0,6,0,1,333,2,0,2,0,0,0,0,15,0,29,2,1,4,8,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,class,114,123,9,114,375,3,1,356,3761,0.959543,0.1785965,0.6210526,106,0,66,30,10,0,76,0,0,0,52,21,12,10,16,14,21,0,26,1497,75,7,140,7,27,54,18,202,21,175,5,2,2,23,566,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\test\java\com\owncloud\android\authentication\AuthenticatorDataUrlTest.java,com.owncloud.android.authentication.AuthenticatorDataUrlTest,class,5,5,0,5,17,1,0,4,0,0.4285714,0.8095238,1.0,7,0,7,0,0,0,7,0,0,0,11,2,0,11,0,0,2,0,14,102,0,9,0,1,0,14,0,28,54,23,2,0,0,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\activity\FileDisplayActivity.java,com.owncloud.android.ui.activity.FileDisplayActivity$Anonymous3,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\activity\FileDisplayActivity.java,com.owncloud.android.ui.activity.FileDisplayActivity$Anonymous2,anonymous,3,3,0,3,5,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,23,1,0,1,0,0,2,1,3,2,2,2,0,0,0,38,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\asynctasks\RichDocumentsLoadUrlTask.java,com.owncloud.android.ui.asynctasks.RichDocumentsLoadUrlTask,class,6,6,0,6,6,2,0,7,0,0.22222222,1.0,1.0,3,0,1,0,2,0,3,0,0,0,3,0,0,3,0,0,1,0,0,28,4,0,2,0,0,2,1,6,0,6,1,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\activity\FileDisplayActivity.java,com.owncloud.android.ui.activity.FileDisplayActivity$Anonymous1,anonymous,1,1,0,1,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,2,0,0,0,1,3,0,2,2,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\activity\ContactsPreferenceActivity.java,com.owncloud.android.ui.activity.ContactsPreferenceActivity$Anonymous1,anonymous,0,0,0,0,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\android\app\src\main\java\com\owncloud\android\ui\activity\OnEnforceableRefreshListener.java,com.owncloud.android.ui.activity.OnEnforceableRefreshListener,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
