file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\benchmarks\ghz\src\main\java\com\linecorp\armeria\grpc\ghz\GreeterServer.java,com.linecorp.armeria.grpc.ghz.GreeterServer$GreeterImpl,innerclass,4,4,0,4,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\client\endpoint\healthcheck\HealthCheckedEndpointGroup.java,com.linecorp.armeria.client.endpoint.healthcheck.HealthCheckedEndpointGroup,class,21,25,4,21,45,4,0,76,40,0.78039205,0.35555556,0.62222224,17,2,6,7,1,3,10,0,0,0,15,1,0,12,0,3,14,0,9,226,19,8,9,8,1,25,4,32,1,38,6,0,0,4,153,17,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\common\stream\StreamWriter.java,com.linecorp.armeria.common.stream.StreamWriter,interface,4,13,9,4,10,1,0,6,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0,0,2,0,1,0,1,1,0,0,0,113,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\server\encoding\DecodingService.java,com.linecorp.armeria.server.encoding.DecodingService,class,10,11,1,10,7,5,0,22,4,0.4,0.5,0.5,5,3,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,5,35,6,0,2,0,0,2,0,8,0,9,1,0,0,1,68,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\client\RpcClient.java,com.linecorp.armeria.client.RpcClient,interface,4,10,6,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\common\stream\DefaultStreamMessageDuplicator.java,com.linecorp.armeria.common.stream.DefaultStreamMessageDuplicator$CloseEvent,innerclass,2,2,0,2,3,1,0,0,0,0.5,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,1,0,1,0,1,2,0,0,15,2,0,1,0,0,2,0,2,1,2,1,0,0,0,15,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\server\RoutingResultType.java,com.linecorp.armeria.server.RoutingResultType,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\server\annotation\NullToNoContentResponseConverterFunction.java,com.linecorp.armeria.server.annotation.NullToNoContentResponseConverterFunction,class,7,7,0,7,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,0,0,0,0,0,1,0,0,0,35,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\common\logging\LoggingDecoratorBuilder.java,com.linecorp.armeria.common.logging.LoggingDecoratorBuilder,class,17,18,1,17,60,1,0,56,607,0.8397436,0.052380953,0.104761906,39,1,24,3,12,0,36,0,11,0,4,0,0,4,0,0,0,0,25,225,52,0,21,0,0,17,0,6,0,12,2,0,0,3,149,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\client\retry\RetryingClient.java,com.linecorp.armeria.client.retry.RetryingClient,class,32,34,2,32,65,2,0,110,268,0.8958334,0.0,0.0,24,18,13,9,1,1,15,0,0,0,2,1,0,2,0,0,2,0,26,284,34,0,22,6,0,4,7,38,2,54,5,0,0,12,173,17,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\common\HttpHeadersJsonSerializer.java,com.linecorp.armeria.common.HttpHeadersJsonSerializer,class,5,6,1,5,5,2,0,11,1,1.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,24,0,2,1,0,0,0,3,2,0,2,3,0,0,0,25,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\server\file\FileSystemHttpVfs.java,com.linecorp.armeria.server.file.FileSystemHttpVfs,class,8,11,3,8,15,3,0,27,1,0.5714286,0.6666667,0.6666667,7,2,1,1,3,2,6,0,0,0,2,1,0,2,0,0,2,0,15,57,8,0,3,1,0,5,0,11,6,8,2,0,0,1,63,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\armeria\core\src\main\java\com\linecorp\armeria\internal\client\ClientPendingThrowableUtil.java,com.linecorp.armeria.internal.client.ClientPendingThrowableUtil,class,5,6,1,5,5,1,0,7,0,0.25,1.0,1.0,4,3,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,5,22,2,0,0,0,0,5,0,2,0,1,1,0,0,0,90,17,0
