file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\util\BootCheck.java,the.bytecode.club.bytecodeviewer.util.BootCheck,class,7,9,2,7,11,1,0,23,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,44,1,2,1,1,0,14,2,6,5,6,5,0,0,0,104,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\translation\components\TranslatedJLabel.java,the.bytecode.club.bytecodeviewer.translation.components.TranslatedJLabel,class,2,7,5,2,4,5,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,1,0,1,3,0,0,1,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\rename\RenameMethods.java,the.bytecode.club.bytecodeviewer.obfuscators.rename.RenameMethods,class,8,10,2,8,18,3,0,12,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28,1,2,9,0,1,6,1,3,7,3,4,0,0,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\gui\contextmenu\resourcelist\New.java,the.bytecode.club.bytecodeviewer.gui.contextmenu.resourcelist.New$FileType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\resources\importing\Importer.java,the.bytecode.club.bytecodeviewer.resources.importing.Importer,interface,0,10,10,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\util\FileDrop.java,the.bytecode.club.bytecodeviewer.util.FileDrop$TransferableObject$Fetcher,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,class,10,18,8,10,25,2,0,40,22,0.80952376,0.19444445,0.41666666,9,0,9,0,0,0,9,0,0,0,7,0,0,7,0,0,5,0,4,109,7,0,7,1,7,1,11,13,1,14,3,2,0,3,73,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\translation\components\TranslatedJTextField.java,the.bytecode.club.bytecodeviewer.translation.components.TranslatedJTextField,class,2,3,1,2,4,6,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,1,0,1,3,0,0,1,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\gui\contextmenu\resourcelist\Delete.java,the.bytecode.club.bytecodeviewer.gui.contextmenu.resourcelist.Delete,class,2,3,1,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,4,0,1,0,1,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\bytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\api\BCV.java,the.bytecode.club.bytecodeviewer.api.BCV,class,19,30,11,19,46,1,0,46,520,0.92424244,0.007575758,0.007575758,33,33,33,0,0,0,33,0,0,0,2,2,0,2,0,0,0,0,28,153,24,1,2,5,0,11,3,13,4,11,4,0,0,1,222,1,0
