file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-core\src\main\java\com\dtstack\chunjun\element\column\ZonedTimestampColumn.java,com.dtstack.chunjun.element.column.ZonedTimestampColumn,class,4,8,4,4,51,2,0,24,30,0.4878049,0.46153846,0.47368422,41,1,39,2,0,0,39,0,0,0,4,1,0,4,0,0,4,0,17,227,23,0,4,0,13,11,73,70,39,11,1,0,0,0,54,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-e2e\src\test\java\com\dtstack\chunjun\connector\test\standalone\mysql\sync\MysqlBaseSyncE2eITCase.java,com.dtstack.chunjun.connector.test.standalone.mysql.sync.MysqlBaseSyncE2eITCase,class,4,6,2,4,1,2,2,15,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,3,13,0,0,0,0,0,31,4,5,1,5,0,0,0,0,52,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-connectors\chunjun-connector-gbase8s\src\main\java\com\dtstack\chunjun\connector\gbase8s\converter\Gbase8sRawTypeConverter.java,com.dtstack.chunjun.connector.gbase8s.converter.Gbase8sRawTypeConverter,class,3,3,0,3,47,1,0,15,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,14,0,0,0,0,46,3,0,0,0,1,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-connectors\chunjun-connector-s3\src\main\java\com\dtstack\chunjun\connector\s3\enums\CompressType.java,com.dtstack.chunjun.connector.s3.enums.CompressType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-core\src\main\java\com\dtstack\chunjun\util\Splitter.java,com.dtstack.chunjun.util.Splitter,class,5,7,2,5,26,1,0,16,22,0.8125,0.0,0.0,8,0,2,6,0,0,2,0,0,0,4,3,0,4,0,0,4,0,0,138,4,2,8,0,0,0,5,20,0,12,3,0,3,0,68,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-connectors\chunjun-connector-stream\src\main\java\com\dtstack\chunjun\connector\stream\util\StreamConfigUtil.java,com.dtstack.chunjun.connector.stream.util.StreamConfigUtil,class,3,5,2,3,2,1,0,13,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,1,0,2,1,3,1,0,0,1,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-core\src\main\java\com\dtstack\chunjun\typeutil\serializer\base\YearMonthColumnSerializer.java,com.dtstack.chunjun.typeutil.serializer.base.YearMonthColumnSerializer,class,11,14,3,11,20,2,0,9,73,0.8571428,0.0989011,0.16483517,14,0,14,0,0,0,14,0,0,0,5,3,0,5,0,0,5,0,0,132,14,0,3,0,0,0,6,9,0,9,1,0,1,0,62,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-connectors\chunjun-connector-elasticsearch-base\src\main\java\com\dtstack\chunjun\connector\elasticsearch\table\IndexGeneratorFactory.java,com.dtstack.chunjun.connector.elasticsearch.table.IndexGeneratorFactory,class,15,17,2,15,13,1,0,29,10,0.0,0.0,0.0,5,4,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,173,14,0,0,0,0,3,4,16,3,24,1,3,2,4,157,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-connectors\chunjun-connector-file\src\main\java\com\dtstack\chunjun\connector\file\table\FileOptions.java,com.dtstack.chunjun.connector.file.table.FileOptions,class,2,2,0,2,0,2,0,5,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,6,1,2,1,2,0,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-connectors\chunjun-connector-stream\src\main\java\com\dtstack\chunjun\connector\stream\util\TablePrintUtil.java,com.dtstack.chunjun.connector.stream.util.TablePrintUtil,class,11,13,2,11,60,1,0,52,86,0.8802083,0.13636364,0.54545456,16,4,12,4,0,0,12,0,0,0,12,4,3,9,0,0,4,0,7,257,13,23,5,1,1,13,48,93,19,67,4,0,1,0,105,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-core\src\test\java\com\dtstack\chunjun\source\format\MockRowConverter.java,com.dtstack.chunjun.source.format.MockRowConverter,class,2,5,3,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-core\src\main\java\com\dtstack\chunjun\classloader\ClassLoaderSupplier.java,com.dtstack.chunjun.classloader.ClassLoaderSupplier,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-core\src\main\java\com\dtstack\chunjun\typeutil\serializer\base\YearMonthColumnSerializer.java,com.dtstack.chunjun.typeutil.serializer.base.YearMonthColumnSerializer$YearMonthColumnSerializerSnapshot,innerclass,9,9,0,9,15,1,0,9,1,0.5714286,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,1,0,1,60,5,0,0,0,1,3,7,8,0,5,1,0,0,0,51,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\chunjun\chunjun-ddl\chunjun-ddl-mysql\src\main\java\com\dtstack\chunjun\ddl\convent\mysql\parse\SqlAlterTableDrop.java,com.dtstack.chunjun.ddl.convent.mysql.parse.SqlAlterTableDrop,class,8,10,2,8,5,3,0,3,0,0.41666666,0.5,0.5,4,0,4,0,0,0,4,0,0,0,3,1,3,0,0,0,1,0,0,23,2,0,1,0,0,2,0,3,0,3,1,0,0,0,29,1,0
