file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\rhino\testing\TypeSubject.java,com.google.javascript.rhino.testing.TypeSubject,class,7,18,11,7,41,2,0,47,565,0.82857144,0.0022988506,0.0022988506,35,4,29,5,1,0,30,0,0,0,1,0,0,1,0,0,1,0,12,155,9,0,5,0,1,42,0,5,2,5,2,0,1,0,102,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\refactoring\Matcher.java,com.google.javascript.refactoring.Matcher,interface,2,11,9,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\test\com\google\javascript\jscomp\CheckTemplateParamsTest.java,com.google.javascript.jscomp.CheckTemplateParamsTest,class,7,7,0,7,10,2,0,8,45,0.0,0.0,0.0,10,0,8,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,19,59,2,0,0,0,0,25,0,1,0,3,1,0,0,1,76,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\jscomp\parsing\parser\trees\VariableStatementTree.java,com.google.javascript.jscomp.parsing.parser.trees.VariableStatementTree,class,3,6,3,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\jscomp\InlineCostEstimator.java,com.google.javascript.jscomp.InlineCostEstimator,class,4,8,4,4,3,2,0,4,3,1.0,0.0,0.0,3,2,0,1,0,2,2,0,0,0,2,2,0,1,0,1,2,0,1,49,2,0,0,0,0,1,0,3,0,3,0,0,1,0,42,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\jscomp\JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,innerclass,9,9,0,9,24,1,0,16,91,0.8582996,0.23391813,1.0,19,0,19,0,0,0,19,0,0,0,13,0,0,13,0,0,3,0,3,107,19,1,2,0,1,7,0,20,0,14,1,0,0,0,145,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\jscomp\ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,class,15,20,5,15,66,1,0,74,42,0.8235294,0.3,0.3,17,1,1,12,0,4,5,0,0,0,11,2,0,10,0,1,10,0,0,501,19,4,13,0,0,7,5,45,2,38,3,0,3,0,361,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\test\com\google\javascript\jscomp\graph\CheckPathsBetweenNodesTest.java,com.google.javascript.jscomp.graph.CheckPathsBetweenNodesTest$PrefixPredicate,innerclass,1,1,0,1,2,1,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\jscomp\serialization\ConvertTypesToColors.java,com.google.javascript.jscomp.serialization.ConvertTypesToColors$RemoveTypesAndApplyColors,innerclass,6,6,0,6,5,3,0,7,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,23,0,0,3,0,0,0,0,5,0,5,2,0,0,0,25,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\closure-compiler\src\com\google\javascript\jscomp\ClosureCodeRemoval.java,com.google.javascript.jscomp.ClosureCodeRemoval$RemovableAssignment,innerclass,4,4,0,4,6,1,0,11,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,4,4,0,1,33,0,2,0,0,0,0,0,9,0,7,2,0,0,0,45,2,0
