file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\core\src\main\java\ch\cyberduck\core\preferences\UserHomeSupportDirectoryFinder.java,ch.cyberduck.core.preferences.UserHomeSupportDirectoryFinder,class,8,9,1,8,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,2,0,3,9,1,0,0,0,0,3,0,3,0,3,0,0,0,0,14,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\googlestorage\src\test\java\ch\cyberduck\core\worker\GoogleStorageSingleTransferWorkerTest.java,ch.cyberduck.core.worker.GoogleStorageSingleTransferWorkerTest,class,34,34,0,34,1,3,0,26,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,35,0,0,0,0,0,1,2,11,0,11,1,2,0,0,62,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\dracoon\src\main\java\ch\cyberduck\core\sds\io\swagger\client\model\ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,class,3,5,2,3,20,1,0,8,18,0.625,0.4857143,1.0,16,0,15,1,0,0,15,0,0,0,4,0,0,4,0,0,0,0,5,75,15,0,4,0,0,22,0,14,0,6,1,0,0,0,62,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\box\src\main\java\ch\cyberduck\core\box\io\swagger\client\ApiClient.java,ch.cyberduck.core.box.io.swagger.client.ApiClient,class,26,47,21,26,128,1,1,109,768,0.91287875,0.091966175,0.43234673,44,0,40,0,4,0,44,0,0,0,12,0,0,1,11,0,0,0,15,454,59,18,25,6,7,51,16,84,6,50,4,0,0,0,286,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\brick\src\main\java\ch\cyberduck\core\brick\io\swagger\client\api\UsageDailySnapshotsApi.java,ch.cyberduck.core.brick.io.swagger.client.api.UsageDailySnapshotsApi,class,5,5,0,5,5,1,0,6,0,0.2,0.6,0.6,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,40,2,0,0,0,0,23,0,13,0,12,0,1,0,0,105,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\brick\src\main\java\ch\cyberduck\core\brick\io\swagger\client\model\PublicKeysBody.java,ch.cyberduck.core.brick.io.swagger.client.model.PublicKeysBody,class,3,5,2,3,17,1,0,8,0,0.53846157,0.59090906,1.0,13,0,12,1,0,0,12,0,0,0,3,0,0,3,0,0,0,0,4,63,13,0,4,0,0,20,0,11,0,5,1,0,0,0,57,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\dracoon\src\main\java\ch\cyberduck\core\sds\io\swagger\client\model\RadiusChallengeResponse.java,ch.cyberduck.core.sds.io.swagger.client.model.RadiusChallengeResponse,class,3,4,1,3,26,1,0,8,81,0.72727275,0.35714287,1.0,22,0,21,1,0,0,21,0,0,0,6,0,0,6,0,0,0,0,7,99,19,0,4,0,0,30,0,20,0,8,1,0,0,0,75,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\s3\src\main\java\ch\cyberduck\core\s3\S3SingleUploadService.java,ch.cyberduck.core.s3.S3SingleUploadService,class,16,21,5,16,14,2,0,23,3,0.5555556,0.4,0.46666667,6,0,3,0,3,0,6,0,0,0,3,1,0,3,0,0,2,0,1,61,7,0,2,2,0,4,0,7,0,5,2,0,0,0,51,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\udt\src\main\java\ch\cyberduck\core\udt\qloudsonic\QloudsonicProxyProvider.java,ch.cyberduck.core.udt.qloudsonic.QloudsonicProxyProvider,class,15,18,3,15,9,1,0,12,0,0.5,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,2,43,2,1,0,0,0,3,0,7,0,5,2,0,1,0,32,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\cyberduck\brick\src\main\java\ch\cyberduck\core\brick\io\swagger\client\api\InboxRegistrationsApi.java,ch.cyberduck.core.brick.io.swagger.client.api.InboxRegistrationsApi$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
