file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\core\core-backend\src\main\java\io\dataease\font\dao\auto\mapper\CoreFontMapper.java,io.dataease.font.dao.auto.mapper.CoreFontMapper,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\sdk\api\api-permissions\src\main\java\io\dataease\api\permissions\variable\dto\SysVariableDto.java,io.dataease.api.permissions.variable.dto.SysVariableDto,class,3,5,2,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,9,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\sdk\extensions\extensions-datasource\src\main\java\io\dataease\extensions\datasource\dto\TableField.java,io.dataease.extensions.datasource.dto.TableField,class,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,19,0,0,18,0,1,0,0,0,21,0,0,0,0,0,1,0,3,0,19,0,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\sdk\api\api-permissions\src\main\java\io\dataease\api\permissions\auth\dto\BusiResourceEditor.java,io.dataease.api.permissions.auth.dto.BusiResourceEditor,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,5,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous9,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\core\core-backend\src\main\java\io\dataease\engine\utils\Utils.java,io.dataease.engine.utils.Utils,class,9,33,24,9,139,1,0,94,276,0.0,0.0,0.0,24,24,23,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,32,534,75,19,14,18,4,219,38,107,46,71,5,0,0,0,137,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous8,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous7,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\dataset\DatasetTableSqlLogApi.java,io.dataease.api.dataset.DatasetTableSqlLogApi,interface,7,8,1,7,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,1,0,0,0,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous6,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
