file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\elasticsearch\elasticsearch6\src\main\java\io\github\dunwu\javadb\elasticsearch\mapper\BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,class,18,24,6,18,82,1,0,56,39,0.75213677,0.4777328,0.4777328,39,0,35,0,4,0,39,0,0,1,3,0,0,0,3,0,2,0,0,399,61,0,6,25,0,34,7,55,0,55,2,1,0,0,109,1025,29
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\h2\src\test\java\io\github\dunwu\javadb\h2\H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,class,3,3,0,3,6,1,0,13,0,0.625,1.0,1.0,3,2,3,0,0,0,3,0,0,0,8,8,0,8,0,0,6,0,7,44,0,1,0,2,0,27,0,11,6,9,1,0,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\hbase\src\main\java\io\github\dunwu\javadb\hbase\mapper\BaseHbaseUkMapper.java,io.github.dunwu.javadb.hbase.mapper.BaseHbaseUkMapper,class,5,5,0,5,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\elasticsearch\elasticsearch7\src\main\java\io\github\dunwu\javadb\elasticsearch\springboot\entities\Operation.java,io.github.dunwu.javadb.elasticsearch.springboot.entities.Operation,class,8,8,0,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,5,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\elasticsearch\elasticsearch6\src\test\java\io\github\dunwu\javadb\elasticsearch\TestApplication.java,io.github.dunwu.javadb.elasticsearch.TestApplication,class,4,5,1,4,2,2,0,2,1,0.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\elasticsearch\elasticsearch7\src\main\java\io\github\dunwu\javadb\elasticsearch\springboot\entities\Car.java,io.github.dunwu.javadb.elasticsearch.springboot.entities.Car,class,2,5,3,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\elasticsearch\elasticsearch7\src\main\java\io\github\dunwu\javadb\elasticsearch\springboot\repositories\ProductRepository.java,io.github.dunwu.javadb.elasticsearch.springboot.repositories.ProductRepository,interface,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\mysql\src\test\java\io\github\dunwu\javadb\mysql\springboot\MysqlDemoTest.java,io.github.dunwu.javadb.mysql.springboot.MysqlDemoTest,class,5,6,1,5,8,1,0,11,0,0.5833333,0.6666667,1.0,3,2,3,0,0,0,3,0,0,0,8,8,0,8,0,0,5,0,2,47,0,1,1,3,0,13,0,16,0,16,2,0,0,0,52,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\elasticsearch\elasticsearch7\src\test\java\io\github\dunwu\javadb\elasticsearch\springboot\RestHighLevelClientDocumentSearchApiTest.java,io.github.dunwu.javadb.elasticsearch.springboot.RestHighLevelClientDocumentSearchApiTest,class,15,15,0,15,5,1,0,17,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,1,0,0,46,0,2,0,0,0,11,5,18,2,19,1,0,0,0,47,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\db-tutorial\codes\javadb\mongodb\src\main\java\io\github\dunwu\javadb\mongodb\springboot\SpringBootDataMongodbApplication.java,io.github.dunwu.javadb.mongodb.springboot.SpringBootDataMongodbApplication,class,6,7,1,6,2,1,0,1,1,1.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1,0
