file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\domain\shared\experimental\ValueObjectSupportTest.java,se.citerus.dddsample.domain.shared.experimental.ValueObjectSupportTest$AValueObject,innerclass,2,2,0,2,2,2,0,0,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,class,7,7,0,7,15,1,0,11,0,0.2,0.62222224,0.62222224,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,28,75,0,2,0,3,0,11,0,14,2,14,2,0,0,0,79,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\infrastructure\persistence\jpa\LocationRepositoryTest.java,se.citerus.dddsample.infrastructure.persistence.jpa.LocationRepositoryTest,class,12,12,0,12,2,1,0,8,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,0,0,0,2,1,3,0,4,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\handling\HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,enum,2,2,0,2,4,1,0,2,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,14,3,0,0,0,0,0,0,1,0,1,0,0,0,0,46,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\voyage\CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,class,12,20,8,12,13,1,0,7,6,0.7037037,0.41666666,0.5833333,9,0,8,0,0,1,9,0,0,0,6,1,1,5,0,0,1,0,2,41,9,0,4,0,0,6,2,6,0,7,1,0,0,0,47,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\interfaces\booking\facade\internal\assembler\LocationDTOAssemblerTest.java,se.citerus.dddsample.interfaces.booking.facade.internal.assembler.LocationDTOAssemblerTest,class,4,4,0,4,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,4,3,5,0,4,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\interfaces\booking\facade\internal\assembler\ItineraryCandidateDTOAssemblerTest.java,se.citerus.dddsample.interfaces.booking.facade.internal.assembler.ItineraryCandidateDTOAssemblerTest,class,11,11,0,11,2,1,0,22,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,41,0,0,0,0,0,15,6,14,0,13,0,0,0,0,49,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\location\LocationRepository.java,se.citerus.dddsample.domain.model.location.LocationRepository,interface,2,23,21,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\cargo\LegTest.java,se.citerus.dddsample.domain.model.cargo.LegTest,class,2,2,0,2,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\domain\shared\OrSpecification.java,se.citerus.dddsample.domain.shared.OrSpecification,class,3,5,2,3,2,2,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\application\HandlingEventServiceTest.java,se.citerus.dddsample.application.HandlingEventServiceTest,class,15,15,0,15,2,1,0,16,0,0.071428575,1.0,1.0,2,0,2,0,0,0,2,0,0,0,7,0,0,7,0,0,1,0,2,26,0,0,0,0,0,1,2,8,0,8,0,0,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\domain\shared\NotSpecification.java,se.citerus.dddsample.domain.shared.NotSpecification,class,3,5,2,3,2,2,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\application\BookingService.java,se.citerus.dddsample.application.BookingService,interface,3,8,5,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\cargo\TransportStatus.java,se.citerus.dddsample.domain.model.cargo.TransportStatus,enum,2,4,2,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\test\java\se\citerus\dddsample\interfaces\handling\HandlingReportParserTest.java,se.citerus.dddsample.interfaces.handling.HandlingReportParserTest,class,9,9,0,9,20,1,0,23,190,0.0,0.0,0.0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,71,0,0,0,0,0,28,0,8,0,8,0,0,0,12,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\interfaces\handling\file\UploadDirectoryScanner.java,se.citerus.dddsample.interfaces.handling.file.UploadDirectoryScanner,class,11,15,4,11,24,2,0,35,15,0.675,1.0,1.0,10,0,3,7,0,0,3,0,0,0,4,1,0,4,0,0,4,0,12,95,3,3,2,3,1,13,16,16,2,16,2,0,0,0,117,1,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\handling\UnknownCargoException.java,se.citerus.dddsample.domain.model.handling.UnknownCargoException,class,2,3,1,2,2,4,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,2,0,1,1,1,0,0,0,0,26,17,0
