file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-common\src\main\java\org\dinky\classloader\DinkyClassLoader.java,org.dinky.classloader.DinkyClassLoader$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\mybatis\service\ISuperService.java,org.dinky.mybatis.service.ISuperService,interface,4,49,45,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\utils\FragmentVariableUtils.java,org.dinky.utils.FragmentVariableUtils,class,0,3,3,0,5,1,0,3,0,0.5,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,0,16,3,1,1,0,0,5,0,3,0,3,2,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\controller\DataSourceController.java,org.dinky.controller.DataSourceController,class,29,29,0,29,25,1,0,34,0,0.05882353,0.88235295,0.88235295,17,0,17,0,0,0,17,0,0,0,1,0,0,1,0,0,1,0,25,98,25,0,0,0,0,146,0,7,0,8,1,0,0,0,92,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-alert\dinky-alert-email\src\main\java\org\dinky\alert\email\EmailSender.java,org.dinky.alert.email.EmailSender,class,7,10,3,7,11,1,0,37,0,0.25,1.0,1.0,4,0,2,2,0,0,2,0,0,0,2,1,0,2,0,0,2,0,7,64,4,0,2,1,0,13,0,9,8,8,2,0,0,0,68,17,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\service\FlinkService.java,org.dinky.service.FlinkService,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-common\src\main\java\org\dinky\data\result\SqlExplainResult.java,org.dinky.data.result.SqlExplainResult$Builder,innerclass,2,2,0,2,13,1,0,0,78,0.9230769,0.0,0.0,13,1,12,1,0,0,12,0,0,0,10,0,0,10,0,0,0,0,0,60,12,0,0,0,0,0,0,11,0,10,0,0,0,0,23,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-metadata\dinky-metadata-base\src\main\java\org\dinky\metadata\rules\IColumnType.java,org.dinky.metadata.rules.IColumnType,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-core\src\main\java\org\dinky\job\runner\JobPipelineRunner.java,org.dinky.job.runner.JobPipelineRunner,class,34,36,2,34,26,2,0,108,0,0.44444445,1.0,1.0,9,0,7,2,0,0,7,0,0,0,2,0,0,2,0,0,0,0,16,155,12,0,5,1,0,6,6,29,6,22,2,1,0,1,55,1,6
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-client\dinky-client-base\src\main\java\org\dinky\trans\AbstractOperation.java,org.dinky.trans.AbstractOperation,class,4,15,11,4,7,1,10,2,15,0.78571427,0.14285715,0.14285715,7,0,7,0,0,0,7,0,0,0,2,1,0,0,2,0,1,0,0,24,4,0,0,0,0,1,0,3,0,2,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-client\dinky-client-1.14\src\main\java\org\dinky\executor\ClusterDescriptorAdapterImpl.java,org.dinky.executor.ClusterDescriptorAdapterImpl,class,5,5,0,5,4,2,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-gateway\src\main\java\org\dinky\gateway\yarn\YarnApplicationGateway.java,org.dinky.gateway.yarn.YarnApplicationGateway,class,14,15,1,14,8,3,0,46,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,49,4,0,0,1,0,3,1,12,0,12,2,0,0,0,58,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\ws\GlobalWebSocket.java,org.dinky.ws.GlobalWebSocket,class,20,21,1,20,24,1,0,38,23,0.6363636,0.21428572,0.21428572,11,0,8,3,0,0,8,0,0,0,2,1,0,2,0,0,2,0,0,115,4,0,3,3,1,6,1,13,0,30,2,0,1,10,63,1,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\utils\Safes.java,org.dinky.utils.Safes,class,3,4,1,3,2,1,0,6,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\ws\handler\TaskRunInstance.java,org.dinky.ws.handler.TaskRunInstance,class,4,4,0,4,5,2,0,5,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,2,1,3,0,3,1,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-metadata\dinky-metadata-clickhouse\src\main\java\org\dinky\metadata\parser\Clickhouse20Lexer.java,org.dinky.metadata.parser.Clickhouse20Lexer,class,4,5,1,4,4,2,0,4,0,0.0,0.33333334,0.33333334,2,0,2,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,30,0,1,0,0,0,10,0,5,0,2,1,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\utils\GitProjectStepSseFactory.java,org.dinky.utils.GitProjectStepSseFactory,class,16,17,1,16,13,1,0,38,2,0.5,0.33333334,0.33333334,4,4,3,1,0,0,3,0,0,0,2,2,0,2,0,0,1,0,6,81,3,0,3,2,0,3,16,22,3,23,2,0,0,1,66,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-catalog\dinky-catalog-mysql\dinky-catalog-mysql-1.20\src\main\java\org\dinky\flink\catalog\factory\DinkyMysqlCatalogFactoryOptions.java,DinkyMysqlCatalogFactoryOptions,class,3,3,0,3,1,1,0,3,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,8,0,0,0,0,0,4,0,4,0,4,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\data\dto\RoleMenuDTO.java,org.dinky.data.dto.RoleMenuDTO,class,7,8,1,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,3,0,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-common\src\main\java\org\dinky\data\model\ProxyConfig.java,org.dinky.data.model.ProxyConfig,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-admin\src\main\java\org\dinky\data\dto\AlertRuleDTO.java,org.dinky.data.dto.AlertRuleDTO,class,3,5,2,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,12,0,0,0,0,0,42,0,0,0,10,0,0,0,0,37,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dinky\dinky-client\dinky-client-base\src\main\java\org\dinky\trans\ddl\CustomSetOperation.java,org.dinky.trans.ddl.CustomSetOperation,class,9,15,6,9,22,2,0,31,26,0.5,0.25,0.2777778,12,0,9,3,0,0,9,0,0,0,2,0,0,2,0,0,0,0,10,75,10,0,2,1,0,9,1,9,2,9,3,0,0,0,53,1,1
