file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\hook\DownloadMD5Hook.java,com.raincat.dolby_beta.hook.DownloadMD5Hook$Anonymous2,anonymous,1,1,0,1,3,1,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,0,2,2,0,2,2,0,0,0,9,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\hook\SettingHook.java,com.raincat.dolby_beta.hook.SettingHook$Anonymous2,anonymous,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\hook\DownloadMD5Hook.java,com.raincat.dolby_beta.hook.DownloadMD5Hook$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,4,0,2,0,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\hook\SettingHook.java,com.raincat.dolby_beta.hook.SettingHook$Anonymous1,anonymous,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\view\setting\FixCommentView.java,com.raincat.dolby_beta.view.setting.FixCommentView,class,4,5,1,4,4,3,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,3,0,1,1,0,0,1,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\hook\NightModeHook.java,com.raincat.dolby_beta.hook.NightModeHook$Anonymous1,anonymous,3,3,0,3,6,1,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0,2,2,11,0,11,2,0,0,0,24,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\hook\SettingHook.java,com.raincat.dolby_beta.hook.SettingHook$Anonymous3,anonymous,5,5,0,5,14,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,2,0,4,0,3,3,0,3,5,0,0,0,18,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\Hook.java,com.raincat.dolby_beta.Hook$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\model\PlaylistDetailBean.java,com.raincat.dolby_beta.model.PlaylistDetailBean$PlaylistBean,innerclass,1,1,0,1,5,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,26,2,0,1,0,0,0,1,4,0,2,1,0,1,0,12,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\utils\Tools.java,com.raincat.dolby_beta.utils.Tools,class,6,16,10,6,10,1,0,18,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,44,4,1,2,2,1,1,4,5,2,5,3,0,0,1,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\model\NeteaseSongListBean.java,com.raincat.dolby_beta.model.NeteaseSongListBean$DataBean,innerclass,1,1,0,1,38,1,0,0,665,0.9473685,0.027027028,0.027027028,38,0,38,0,0,0,38,0,0,0,19,0,0,19,0,0,0,0,0,151,19,0,0,0,0,0,0,19,0,19,0,0,1,0,47,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\Hook.java,com.raincat.dolby_beta.Hook$Anonymous1,anonymous,32,32,0,32,9,1,0,14,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,78,1,0,0,0,0,1,1,6,1,5,3,2,0,1,75,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\view\proxy\ProxyHttpView.java,com.raincat.dolby_beta.view.proxy.ProxyHttpView,class,5,6,1,5,4,3,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,2,0,1,1,1,1,1,0,1,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\view\sign\SignStartView.java,com.raincat.dolby_beta.view.sign.SignStartView,class,6,7,1,6,4,3,0,13,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,4,1,1,3,1,1,1,0,1,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\hook\InternalDialogHook.java,com.raincat.dolby_beta.hook.InternalDialogHook,class,2,4,2,2,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,2,1,1,0,1,1,1,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\view\beauty\BeautyBannerHideView.java,com.raincat.dolby_beta.view.beauty.BeautyBannerHideView,class,4,5,1,4,4,3,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,2,0,1,1,0,0,1,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\view\sign\SignStartView.java,com.raincat.dolby_beta.view.sign.SignStartView$Anonymous1,anonymous,2,2,0,2,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\net\HTTPSTrustManager.java,com.raincat.dolby_beta.net.HTTPSTrustManager,class,1,4,3,1,6,1,0,6,6,0.75,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,2,0,2,0,0,1,0,3,26,1,0,1,1,0,1,0,4,0,5,1,0,0,1,34,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\db\SignDao.java,com.raincat.dolby_beta.db.SignDao,class,6,8,2,6,11,1,0,13,0,0.48000002,0.5,0.5,5,1,4,1,0,0,4,0,0,1,5,4,0,2,0,3,3,0,1,48,2,2,1,0,0,9,1,11,2,11,2,0,0,0,52,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\model\PlaylistDetailBean.java,com.raincat.dolby_beta.model.PlaylistDetailBean,class,1,3,2,1,3,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,36,1,0,1,0,0,0,0,2,0,1,1,0,1,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\model\PlaylistDetailBean.java,com.raincat.dolby_beta.model.PlaylistDetailBean$PlaylistBean$TrackIdsBean,innerclass,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,1,2,0,1,0,0,0,0,9,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\view\setting\DexView.java,com.raincat.dolby_beta.view.setting.DexView,class,4,5,1,4,4,3,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,3,0,1,1,0,0,1,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dolby_beta\app\src\main\java\com\raincat\dolby_beta\view\proxy\ProxyGrayView.java,com.raincat.dolby_beta.view.proxy.ProxyGrayView,class,4,5,1,4,4,3,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,3,0,1,1,0,0,1,33,1,0
