file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\bvt\pool\xa\H2XATest.java,com.alibaba.druid.bvt.pool.xa.H2XATest,class,2,2,0,2,3,2,0,9,0,0.0,1.0,1.0,3,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,0,0,0,3,1,2,0,2,0,0,0,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\main\java\com\alibaba\druid\pool\DruidPooledCallableStatement.java,com.alibaba.druid.pool.DruidPooledCallableStatement,class,9,11,2,9,232,4,0,118,0,0.008547009,1.0,1.0,117,0,116,1,0,0,116,0,0,0,1,0,0,1,0,0,0,0,0,926,67,0,2,111,0,1,0,8,0,7,2,0,0,0,88,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\kylin\KylinDriverSupportTest.java,com.alibaba.druid.kylin.KylinDriverSupportTest,class,2,2,0,2,2,1,0,12,0,0.375,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,4,0,4,0,0,4,0,0,27,0,0,0,1,0,6,0,10,0,9,1,0,0,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSource.java,com.alibaba.druid.pool.DruidDataSource$DestroyTask,innerclass,2,2,0,2,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\main\java\com\alibaba\druid\sql\dialect\supersql\parser\SuperSqlExprParser.java,com.alibaba.druid.sql.dialect.supersql.parser.SuperSqlExprParser,class,4,7,3,4,2,4,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\test\OdpsSelectTest6.java,com.alibaba.druid.test.OdpsSelectTest6,class,5,5,0,5,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,2,6,0,6,0,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\main\java\com\alibaba\druid\sql\dialect\postgresql\ast\stmt\PGSQLStatement.java,com.alibaba.druid.sql.dialect.postgresql.ast.stmt.PGSQLStatement,interface,2,19,17,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\bvt\pool\DruidConnectionHolderTest3.java,com.alibaba.druid.bvt.pool.DruidConnectionHolderTest3$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\main\java\com\alibaba\druid\support\ibatis\SpringIbatisBeanTypeAutoProxyCreator.java,com.alibaba.druid.support.ibatis.SpringIbatisBeanTypeAutoProxyCreator,class,9,10,1,9,12,2,0,12,6,0.75,0.2,0.2,5,0,2,0,3,0,5,0,0,0,4,2,0,4,0,0,3,0,0,47,9,1,0,1,0,3,1,6,0,5,3,0,0,0,82,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\bvt\sql\oceanbase\OceanbaseHintTest_Index.java,com.alibaba.druid.bvt.sql.oceanbase.OceanbaseHintTest_Index,class,4,4,0,4,1,2,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,11,5,7,6,7,1,0,0,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\bvt\sql\bigquery\BigQueryDirTest.java,com.alibaba.druid.bvt.sql.bigquery.BigQueryDirTest,class,3,3,0,3,3,2,0,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\bvt\sql\mysql\SQLSelectTest.java,com.alibaba.druid.bvt.sql.mysql.SQLSelectTest,class,6,7,1,6,10,2,0,4,36,0.0,0.0,0.0,9,0,8,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,57,1,1,0,0,0,8,0,25,0,25,1,0,0,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\bvt\sql\mysql\update\MySqlUpdateTest_11_using.java,com.alibaba.druid.bvt.sql.mysql.update.MySqlUpdateTest_11_using,class,5,5,0,5,1,2,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,19,4,7,4,7,1,0,0,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\test\java\com\alibaba\druid\bvt\filter\wall\WallConfigTest.java,com.alibaba.druid.bvt.filter.wall.WallConfigTest,class,2,2,0,2,8,2,0,8,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,16,0,16,0,16,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\main\java\com\alibaba\druid\proxy\jdbc\PreparedStatementProxy.java,com.alibaba.druid.proxy.jdbc.PreparedStatementProxy,interface,2,13,11,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\druid\core\src\main\java\com\alibaba\druid\sql\ast\statement\SQLAlterOutlineStatement.java,com.alibaba.druid.sql.ast.statement.SQLAlterOutlineStatement,class,7,7,0,7,15,3,0,5,48,0.7916667,0.13636364,0.13636364,12,0,11,0,1,0,12,0,0,0,4,0,0,4,0,0,0,0,0,51,5,0,2,0,0,0,0,5,0,5,1,0,0,0,33,1,0
