file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-test\src\main\java\org\apache\dubbo\admin\ConsumerBootstrap.java,org.apache.dubbo.admin.ConsumerBootstrap,class,6,6,0,6,2,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,1,0,8,1,7,0,5,1,0,1,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\controller\UserController.java,org.apache.dubbo.admin.controller.UserController,class,12,12,0,12,10,1,0,10,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,1,35,4,1,1,0,1,5,0,8,0,9,2,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\test\java\org\apache\dubbo\admin\registry\metadata\impl\ConsulMetaDataCollectorTest.java,org.apache.dubbo.admin.registry.metadata.impl.ConsulMetaDataCollectorTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\registry\mapping\ServiceMapping.java,org.apache.dubbo.admin.registry.mapping.ServiceMapping,interface,3,7,4,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-test\src\test\java\org\apache\dubbo\admin\pages\LoginPage.java,org.apache.dubbo.admin.pages.LoginPage,class,5,8,3,5,2,3,0,8,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,0,18,2,0,0,0,0,7,0,0,0,4,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\service\impl\GenericServiceImpl.java,org.apache.dubbo.admin.service.impl.GenericServiceImpl,class,12,14,2,12,9,1,0,38,5,0.61111116,0.5,0.5,6,0,4,2,0,0,4,0,0,0,3,0,0,3,0,0,2,0,4,58,3,1,0,1,0,4,3,16,1,15,2,0,0,1,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\controller\MeshRouteController.java,org.apache.dubbo.admin.controller.MeshRouteController,class,14,14,0,14,12,1,0,12,0,0.33333334,1.0,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,49,5,0,3,0,0,10,0,9,1,6,1,0,0,0,45,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\model\store\mesh\virtualservice\match\DoubleRangeMatch.java,org.apache.dubbo.admin.model.store.mesh.virtualservice.match.DoubleRangeMatch,class,1,3,2,1,9,1,0,3,6,0.6,0.2,0.2,5,1,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,30,6,0,4,0,0,0,4,2,0,2,1,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\registry\config\GovernanceConfiguration.java,org.apache.dubbo.admin.registry.config.GovernanceConfiguration,interface,2,10,8,2,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dubbo-admin\dubbo-admin-server\src\main\java\org\apache\dubbo\admin\controller\beans\DubboApiDocsParamInfoBean.java,org.apache.dubbo.admin.controller.beans.DubboApiDocsParamInfoBean,class,0,0,0,0,12,1,0,0,18,0.68333334,0.36363637,1.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,46,6,0,0,0,0,6,0,9,2,5,0,0,0,0,23,1,0
