file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring-boot3-starter\src\test\java\com\baomidou\dynamic\datasource\fixture\v3\service\spel\UserService.java,com.baomidou.dynamic.datasource.fixture.v3.service.spel.UserService,class,4,6,2,4,9,1,0,8,4,0.4,0.3,0.3,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,2,38,4,2,0,2,0,11,8,9,0,9,2,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring-boot3-starter\src\test\java\com\baomidou\dynamic\datasource\fixture\v3\service\tx\OrderService.java,com.baomidou.dynamic.datasource.fixture.v3.service.tx.OrderService$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring-boot3-starter\src\test\java\com\baomidou\dynamic\datasource\fixture\v3\service\tx\OrderService.java,com.baomidou.dynamic.datasource.fixture.v3.service.tx.OrderService$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring\src\main\java\com\baomidou\dynamic\datasource\destroyer\Dhcp2DataSourceActiveDetector.java,com.baomidou.dynamic.datasource.destroyer.Dhcp2DataSourceActiveDetector,class,2,3,1,2,3,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,2,1,1,0,1,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring-boot3-starter\src\test\java\com\baomidou\dynamic\datasource\fixture\v3\service\tx\OrderService.java,com.baomidou.dynamic.datasource.fixture.v3.service.tx.OrderService$Anonymous1,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring-boot3-starter\src\test\java\com\baomidou\dynamic\datasource\fixture\v3\service\nest\StudentService.java,com.baomidou.dynamic.datasource.fixture.v3.service.nest.StudentService,class,4,6,2,4,8,1,0,11,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,39,3,1,0,3,0,6,7,9,0,9,2,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring\src\main\java\com\baomidou\dynamic\datasource\processor\DsProcessor.java,com.baomidou.dynamic.datasource.processor.DsProcessor,class,2,11,9,2,8,1,5,3,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,2,0,0,1,0,0,1,0,0,0,0,0,21,4,0,3,0,0,0,0,2,0,2,2,0,0,0,20,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring-boot-starter\src\test\java\com\baomidou\dynamic\datasource\fixture\v1\LoadDatasourceFromJDBCTest.java,com.baomidou.dynamic.datasource.fixture.v1.LoadDatasourceFromJDBCApplication$Anonymous1,anonymous,2,2,0,2,2,1,0,11,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,18,0,3,1,3,1,0,0,0,34,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-creator\src\main\java\com\baomidou\dynamic\datasource\creator\druid\DruidFilterCallBack.java,com.baomidou.dynamic.datasource.creator.druid.DruidFilterCallBack,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\dynamic-datasource\dynamic-datasource-spring\src\main\java\com\baomidou\dynamic\datasource\tx\DsTxListenerMethodAdapter.java,com.baomidou.dynamic.datasource.tx.DsTxListenerMethodAdapter,class,7,9,2,7,5,2,0,6,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,3,54,1,0,1,0,0,1,0,3,1,3,1,0,1,0,22,1,0
