file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-generator\src\main\java\me\zhengjie\repository\ColumnInfoRepository.java,me.zhengjie.repository.ColumnInfoRepository,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-common\src\main\java\me\zhengjie\config\properties\FileProperties.java,me.zhengjie.config.properties.FileProperties,class,4,7,3,4,3,1,0,3,0,0.4,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,1,21,3,0,0,0,0,2,0,1,0,6,1,0,1,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\security\security\JwtAccessDeniedHandler.java,me.zhengjie.modules.security.security.JwtAccessDeniedHandler,class,7,8,1,7,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,2,0,2,0,2,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\sysrunner\SystemRunner.java,me.zhengjie.sysrunner.SystemRunner,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\security\rest\AuthController.java,me.zhengjie.modules.security.rest.AuthController$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-common\src\main\java\me\zhengjie\config\RedisConfiguration.java,me.zhengjie.config.RedisConfiguration$Anonymous1,anonymous,1,1,0,1,4,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,-1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-common\src\main\java\me\zhengjie\base\BaseDTO.java,me.zhengjie.base.BaseDTO,class,5,17,12,5,3,1,12,7,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,20,1,1,0,1,0,8,0,2,0,6,2,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\system\service\dto\MenuDto.java,me.zhengjie.modules.system.service.dto.MenuDto,class,5,11,6,5,10,2,0,3,6,0.93333334,0.2,0.2,5,0,5,0,0,0,5,0,0,0,15,0,0,15,0,0,0,0,2,39,7,0,3,0,0,18,2,1,0,16,1,0,0,0,45,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\maint\websocket\SocketMsg.java,me.zhengjie.modules.maint.websocket.SocketMsg,class,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\system\service\dto\UserQueryCriteria.java,me.zhengjie.modules.system.service.dto.UserQueryCriteria,class,3,6,3,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,9,0,1,0,6,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\security\config\LoginProperties.java,me.zhengjie.modules.security.config.LoginProperties,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\system\domain\vo\UserPassVo.java,me.zhengjie.modules.system.domain.vo.UserPassVo,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\AppService.java,me.zhengjie.modules.maint.service.AppService,interface,6,8,2,6,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\maint\websocket\MsgType.java,me.zhengjie.modules.maint.websocket.MsgType,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\security\service\dto\JwtUserDto.java,me.zhengjie.modules.security.service.dto.JwtUserDto,class,7,12,5,7,7,1,0,7,15,0.8095238,0.14285715,0.14285715,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,1,26,7,0,0,0,0,3,0,0,0,3,0,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\system\service\mapstruct\DictSmallMapper.java,me.zhengjie.modules.system.service.mapstruct.DictSmallMapper,interface,4,5,1,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\security\rest\AuthController.java,me.zhengjie.modules.security.rest.AuthController$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\system\service\dto\MenuQueryCriteria.java,me.zhengjie.modules.system.service.dto.MenuQueryCriteria,class,3,6,3,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,4,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-system\src\main\java\me\zhengjie\modules\system\service\impl\MonitorServiceImpl.java,me.zhengjie.modules.system.service.impl.MonitorServiceImpl,class,15,16,1,15,14,1,0,44,3,0.33333334,NaN,NaN,6,0,1,5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,8,113,6,2,2,1,1,37,18,40,29,34,2,0,0,0,66,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-tools\src\main\java\me\zhengjie\domain\vo\EmailVo.java,me.zhengjie.domain.vo.EmailVo,class,6,13,7,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\eladmin\eladmin-logging\src\main\java\me\zhengjie\service\mapstruct\LogSmallMapper.java,me.zhengjie.service.mapstruct.LogSmallMapper,interface,4,5,1,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
