file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\search\aggregations\metrics\ParsedHDRPercentileRanks.java,org.elasticsearch.search.aggregations.metrics.ParsedHDRPercentileRanks,class,6,7,1,6,3,5,0,4,0,0.0,0.0,0.0,2,1,2,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,1,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,class,12,14,2,12,21,3,0,27,28,0.0,0.0,0.0,8,0,1,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,78,6,5,4,0,3,4,0,15,1,12,4,0,0,0,65,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\search\aggregations\bucket\geogrid\ParsedGeoGrid.java,org.elasticsearch.search.aggregations.bucket.geogrid.ParsedGeoGrid,class,6,10,4,6,3,4,2,3,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\join\aggregations\ChildrenAggregationBuilder.java,org.elasticsearch.join.aggregations.ChildrenAggregationBuilder,class,19,22,3,19,25,2,0,14,49,0.84,0.2,0.2,15,1,8,0,7,0,15,0,0,0,5,2,1,4,0,0,3,0,2,87,12,1,9,0,1,14,0,13,4,9,3,0,0,0,99,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\plugin\nlpcn\UnionExecutor.java,org.elasticsearch.plugin.nlpcn.UnionExecutor,class,9,11,2,9,13,1,0,36,4,0.65,0.6666667,1.0,5,0,3,2,0,0,3,0,0,0,4,0,0,4,0,0,0,0,4,68,1,2,2,0,0,2,4,22,2,18,4,0,0,0,58,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\maker\QueryMaker.java,org.nlpcn.es4sql.query.maker.QueryMaker,class,10,19,9,10,24,2,0,31,10,0.0,0.0,0.0,5,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,78,5,2,9,1,2,2,1,11,1,7,4,0,0,0,37,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\search\aggregations\ParsedMultiBucketAggregation.java,org.elasticsearch.search.aggregations.ParsedMultiBucketAggregation,class,11,23,12,11,9,3,0,12,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,1,0,1,127,1,3,4,0,0,0,0,5,0,6,3,0,1,1,28,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\search\aggregations\metrics\ParsedScriptedMetric.java,org.elasticsearch.search.aggregations.metrics.ParsedScriptedMetric,class,9,10,1,9,15,3,0,19,4,0.5,0.1,0.1,5,2,4,1,0,0,5,0,0,0,2,1,0,2,0,0,1,0,1,51,5,0,8,0,0,0,2,12,0,7,2,0,0,1,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\search\aggregations\bucket\terms\ParsedSignificantTerms.java,org.elasticsearch.search.aggregations.bucket.terms.ParsedSignificantTerms$ParsedBucket,innerclass,9,9,0,9,18,2,0,24,30,0.82222223,0.0,0.0,9,1,7,0,1,1,9,1,1,0,5,0,0,0,5,0,0,0,0,70,8,1,3,0,1,0,0,8,0,9,3,0,0,0,40,1033,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\elasticsearch-sql\src\main\java\org\elasticsearch\search\aggregations\bucket\terms\ParsedSignificantStringTerms.java,org.elasticsearch.search.aggregations.bucket.terms.ParsedSignificantStringTerms,class,5,6,1,5,3,7,0,4,0,0.0,0.0,0.0,2,1,2,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,40,2,0,0,0,0,0,0,1,0,1,0,0,1,1,22,1,0
