file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,class,6,7,1,6,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\encrypt\EncryptDataTest.java,cn.idev.excel.test.core.encrypt.EncryptDataTest,class,14,15,1,14,10,1,0,21,28,0.7777778,0.26666668,0.6666667,9,1,6,3,0,0,6,0,0,0,4,4,0,4,0,0,0,0,4,50,1,1,0,0,0,11,2,11,1,11,1,0,0,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\metadata\ConfigurationHolder.java,cn.idev.excel.metadata.ConfigurationHolder,interface,4,18,14,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\context\xls\DefaultXlsReadContext.java,cn.idev.excel.context.xls.DefaultXlsReadContext,class,6,7,1,6,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\metadata\data\ImageData.java,cn.idev.excel.metadata.data.ImageData,class,6,8,2,6,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,1,0,40,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\metadata\FieldCache.java,cn.idev.excel.metadata.FieldCache,class,5,9,4,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-core\src\main\java\cn\idev\excel\exception\ExcelWriteDataConvertException.java,cn.idev.excel.exception.ExcelWriteDataConvertException,class,5,6,1,5,2,6,0,4,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,1,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\temp\large\NoModelLargeDataListener.java,cn.idev.excel.test.temp.large.NoModelLargeDataListener,class,4,6,2,4,4,2,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,16,0,0,2,0,0,3,4,2,1,2,1,0,0,0,24,1,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\core\simple\SimpleDataSheetNameListener.java,cn.idev.excel.test.core.simple.SimpleDataSheetNameListener,class,5,6,1,5,2,2,0,8,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,1,0,1,1,0,0,12,0,0,0,0,0,2,3,2,0,2,0,0,0,0,23,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastexcel\fastexcel-test\src\test\java\cn\idev\excel\test\demo\read\ReadTest.java,cn.idev.excel.test.demo.read.ReadTest$Anonymous1,anonymous,3,3,0,3,4,1,0,5,1,0.5,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,1,1,1,0,0,1,0,0,18,0,0,0,0,0,2,1,3,0,2,1,0,0,0,23,-1,2
