file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2\read\ParserTest_2.java,com.alibaba.fastjson2.read.ParserTest_2,class,4,5,1,4,6,1,0,12,0,0.16666667,0.6666667,0.6666667,6,0,5,0,0,1,6,0,0,0,1,0,0,0,0,1,0,0,0,37,0,0,0,0,0,6,3,7,0,7,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2\read\ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,class,4,5,1,4,7,1,0,14,0,0.14285715,0.71428573,0.71428573,7,0,6,0,0,1,7,0,0,0,1,0,0,0,0,1,0,0,0,44,0,0,0,0,0,8,4,9,0,9,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2\read\ParserTest_4.java,com.alibaba.fastjson2.read.ParserTest_4,class,4,5,1,4,6,1,0,14,0,0.16666667,0.6666667,0.6666667,6,0,5,0,0,1,6,0,0,0,1,0,0,0,0,1,0,0,0,39,0,0,0,0,0,8,3,7,0,7,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2\read\ParserTest_3.java,com.alibaba.fastjson2.read.ParserTest_3,class,4,5,1,4,9,1,0,14,0,0.11111111,0.7777778,0.7777778,9,0,8,0,0,1,9,0,0,0,1,0,0,0,0,1,0,0,0,53,0,0,0,1,0,8,4,11,0,11,1,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2\issues\Issue764.java,com.alibaba.fastjson2.issues.Issue764$Service,innerclass,3,3,0,3,9,1,0,5,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,2,0,3,0,0,3,0,0,0,0,0,26,3,0,1,0,0,2,0,3,1,3,1,0,0,0,15,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2\v1issues\issue_1200\Issue1233.java,com.alibaba.fastjson2.v1issues.issue_1200.Issue1233$FloorV2MixIn,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\fastjson1-compatible\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,class,12,20,8,12,21,1,0,13,0,0.11764706,0.8666667,0.8666667,17,13,15,2,0,0,15,0,0,0,1,0,0,1,0,0,1,0,5,88,16,0,2,0,0,1,0,22,0,20,1,0,0,0,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\fastjson1-compatible\src\test\java\com\alibaba\fastjson\issue_1600\Issue1660.java,com.alibaba.fastjson.issue_1600.Issue1660,class,3,3,0,3,2,1,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,2,1,4,0,2,0,0,1,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2\issues_1900\Issue1993.java,com.alibaba.fastjson2.issues_1900.Issue1993$OrderDTO,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fastjson2\core\src\test\java\com\alibaba\fastjson2_vo\Int20.java,com.alibaba.fastjson2_vo.Int20,class,0,0,0,0,40,1,0,0,740,0.95,0.025641026,0.025641026,40,0,40,0,0,0,40,0,0,0,20,0,0,20,0,0,0,0,0,142,20,0,0,0,0,0,0,20,0,20,0,0,0,0,43,1,0
