file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,class,12,14,2,12,49,1,0,50,15,0.0,NaN,NaN,6,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,142,13,15,15,0,2,0,10,34,0,29,4,0,0,1,72,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,class,23,63,40,23,87,2,0,61,418,0.8760684,0.09803922,0.16755792,36,1,33,2,1,0,34,0,0,0,13,0,2,11,0,0,11,0,19,263,39,11,22,0,0,4,7,60,2,53,6,0,0,0,121,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\testData\src\pkg\TestFinally.java,pkg.TestFinally$A,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\testData\src\pkg\TestAnonymousClass.java,pkg.TestAnonymousClass,class,2,2,0,2,4,1,0,2,3,0.6666667,0.0,0.0,3,0,0,0,0,3,3,0,0,0,5,3,3,2,0,0,5,0,0,93,0,0,0,0,0,0,4,9,0,9,1,8,3,0,21,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\testData\src\typeAnnotations\V.java,typeAnnotations.V$U,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\testData\classes\pkg\PrivateClasses.java,pkg.PrivateClasses$Callable,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,class,4,7,3,4,21,2,0,5,0,0.40909094,0.8545455,1.0,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,1,0,1,67,0,0,0,0,0,8,1,2,5,2,1,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,class,12,19,7,12,49,1,0,42,36,0.8888889,0.0,0.0,9,9,7,2,0,0,7,0,0,0,1,1,0,1,0,0,1,0,26,190,23,7,22,3,1,17,16,51,7,41,3,0,0,4,79,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\src\org\jetbrains\java\decompiler\main\ClassWriter.java,org.jetbrains.java.decompiler.main.ClassWriter$MType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\sforms\DirectNode.java,org.jetbrains.java.decompiler.modules.decompiler.sforms.DirectNode,class,7,19,12,7,3,1,0,1,0,0.5714286,1.0,1.0,3,0,3,0,0,0,3,0,0,0,7,0,7,0,0,0,6,0,1,25,1,0,0,0,0,0,0,11,0,7,0,0,1,0,20,1,0
