file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\fbcore\src\main\java\com\facebook\common\internal\AndroidPredicates.java,com.facebook.common.internal.AndroidPredicates$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\fbcore\src\main\java\com\facebook\common\internal\AndroidPredicates.java,com.facebook.common.internal.AndroidPredicates$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\samples\zoomable\src\main\java\com\facebook\samples\zoomable\AnimatedZoomableController.java,com.facebook.samples.zoomable.AnimatedZoomableController$Anonymous2,anonymous,6,6,0,6,4,1,0,7,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,2,0,0,0,0,1,0,0,0,16,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\drawee\src\test\java\com\facebook\drawee\drawable\RoundedCornersDrawableTest.java,com.facebook.drawee.drawable.RoundedCornersDrawableTest,class,9,9,0,9,11,1,0,26,0,0.33333334,1.0,1.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,0,0,0,68,0,0,0,0,0,0,42,8,0,8,0,0,0,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\samples\zoomable\src\main\java\com\facebook\samples\zoomable\AnimatedZoomableController.java,com.facebook.samples.zoomable.AnimatedZoomableController$Anonymous1,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\fbcore\src\test\java\com\facebook\datasource\DataSourceTestUtils.java,com.facebook.datasource.DataSourceTestUtils$AbstractDataSourceSupplier$Anonymous1,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,1,1,0,1,0,0,0,0,9,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\BitmapAnimationDebugFragment.java,com.facebook.samples.animation2.bitmap.BitmapAnimationDebugFragment,class,26,28,2,26,6,2,0,21,2,0.7111111,0.0,0.0,5,0,2,3,0,0,2,0,0,0,9,0,0,9,0,0,4,0,2,156,2,1,0,0,0,0,4,16,0,15,1,4,1,0,69,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\pjpeg\ImageFormatProgressiveJpegFragment.java,com.facebook.fresco.samples.showcase.imageformat.pjpeg.ImageFormatProgressiveJpegFragment$SimpleUriListAdapter,innerclass,6,6,0,6,5,2,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,1,0,0,0,0,3,0,3,0,0,0,0,22,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\fbcore\src\main\java\com\facebook\common\references\FinalizerCloseableReference.java,com.facebook.common.references.FinalizerCloseableReference,class,9,11,2,9,6,2,0,7,6,0.75,0.0,0.0,4,0,2,0,1,1,4,0,0,0,1,1,0,1,0,0,1,0,3,26,2,0,1,1,0,2,0,2,0,2,3,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\PriorityStarvingThrottlingProducer.java,com.facebook.imagepipeline.producers.PriorityStarvingThrottlingProducer$ThrottlerConsumer$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
