file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-client\src\main\java\org\apache\hadoop\hbase\security\HBaseSaslRpcClient.java,org.apache.hadoop.hbase.security.HBaseSaslRpcClient$WrappedInputStream,innerclass,2,2,0,2,8,3,0,12,8,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,1,1,0,0,1,0,0,0,0,3,34,3,0,2,0,1,2,10,9,1,7,1,0,0,0,30,0,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-common\src\main\java\org\apache\hadoop\hbase\io\compress\ByteBuffDecompressor.java,org.apache.hadoop.hbase.io.compress.ByteBuffDecompressor,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-hadoop-compat\src\main\java\org\apache\hadoop\hbase\replication\regionserver\MetricsReplicationGlobalSourceSource.java,org.apache.hadoop.hbase.replication.regionserver.MetricsReplicationGlobalSourceSource,interface,2,7,5,2,2,1,0,0,1,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-server\src\main\java\org\apache\hadoop\hbase\mob\DefaultMobStoreCompactor.java,org.apache.hadoop.hbase.mob.DefaultMobStoreCompactor$Anonymous5,anonymous,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-it\src\test\java\org\apache\hadoop\hbase\test\IntegrationTestBigLinkedList.java,org.apache.hadoop.hbase.test.IntegrationTestBigLinkedList$CINode,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-server\src\main\java\org\apache\hadoop\hbase\mob\DefaultMobStoreCompactor.java,org.apache.hadoop.hbase.mob.DefaultMobStoreCompactor$Anonymous3,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-server\src\test\java\org\apache\hadoop\hbase\coprocessor\SimpleRegionObserver.java,org.apache.hadoop.hbase.coprocessor.SimpleRegionObserver,class,43,57,14,43,191,1,12,40,9227,0.98316973,0.012129669,0.016316015,138,0,137,1,0,0,137,0,0,0,62,2,0,0,0,62,61,0,2,634,103,1,0,0,1,6,127,98,4,87,3,0,0,0,180,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-server\src\main\java\org\apache\hadoop\hbase\fs\HFileSystem.java,org.apache.hadoop.hbase.fs.HFileSystem,class,19,23,4,19,40,2,0,50,92,0.8125,0.13636364,0.16666667,16,5,11,4,0,1,12,0,0,0,4,2,1,3,0,0,3,0,5,237,22,1,9,5,2,29,1,32,9,22,6,1,2,0,245,1,11
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-server\src\main\java\org\apache\hadoop\hbase\mob\DefaultMobStoreCompactor.java,org.apache.hadoop.hbase.mob.DefaultMobStoreCompactor$Anonymous4,anonymous,7,7,0,7,3,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-thrift\src\main\java\org\apache\hadoop\hbase\thrift2\generated\THBaseService.java,org.apache.hadoop.hbase.thrift2.generated.THBaseService$getScannerResults_result$_Fields,enum,2,2,0,2,11,1,0,5,5,0.6111111,0.0952381,0.14285715,6,3,5,0,0,1,7,0,0,0,3,1,0,3,0,0,3,0,2,37,7,1,1,0,0,4,4,4,1,4,1,0,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-procedure\src\main\java\org\apache\hadoop\hbase\procedure2\TimeoutExecutorThread.java,org.apache.hadoop.hbase.procedure2.TimeoutExecutorThread,class,17,19,2,17,21,3,0,33,1,0.56666666,0.61904764,1.0,10,0,6,3,1,0,7,0,0,0,3,1,0,3,0,0,3,0,1,85,2,1,2,1,0,5,2,7,0,7,2,0,0,0,59,0,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-rest\src\test\java\org\apache\hadoop\hbase\rest\TestSecureRESTServer.java,org.apache.hadoop.hbase.rest.TestSecureRESTServer$Anonymous5,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,1,0,3,1,3,1,0,0,0,14,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-thrift\src\main\java\org\apache\hadoop\hbase\thrift2\generated\THBaseService.java,org.apache.hadoop.hbase.thrift2.generated.THBaseService$mutateRow_args$mutateRow_argsStandardScheme,innerclass,4,4,0,4,10,1,0,17,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,5,0,0,0,2,3,0,1,3,0,0,0,32,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-server\src\main\java\org\apache\hadoop\hbase\master\replication\AddPeerProcedure.java,org.apache.hadoop.hbase.master.replication.AddPeerProcedure,class,15,17,2,15,28,5,0,36,0,0.60714287,0.6593407,0.72527474,14,0,3,0,11,0,14,0,0,0,4,1,0,4,0,0,1,0,0,87,5,0,3,0,0,7,2,10,3,9,2,0,0,2,85,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-rest\src\test\java\org\apache\hadoop\hbase\rest\TestSecureRESTServer.java,org.apache.hadoop.hbase.rest.TestSecureRESTServer$Anonymous3,anonymous,3,3,0,3,3,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,2,0,4,1,4,0,4,2,0,0,0,15,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\hbase\hbase-rest\src\test\java\org\apache\hadoop\hbase\rest\TestSecureRESTServer.java,org.apache.hadoop.hbase.rest.TestSecureRESTServer$Anonymous4,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,3,0,3,1,0,0,0,12,-1,0
