file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\config\config-mp\src\test\java\io\helidon\config\mp\MpConfigSourcesTest.java,io.helidon.config.mp.MpConfigSourcesTest$LazyImpl,innerclass,4,4,0,4,6,1,0,6,9,0.74999994,0.0,0.0,6,0,4,2,0,0,4,0,0,0,4,1,0,4,0,0,4,0,1,25,3,0,0,0,0,1,0,4,0,4,0,0,0,0,30,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\integrations\oci\sdk\codegen\src\main\java\io\helidon\integrations\oci\sdk\codegen\OciInjectCodegenObserverProvider.java,io.helidon.integrations.oci.sdk.codegen.OciInjectCodegenObserverProvider$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\integrations\oci\sdk\codegen\src\main\java\io\helidon\integrations\oci\sdk\codegen\OciInjectCodegenObserverProvider.java,io.helidon.integrations.oci.sdk.codegen.OciInjectCodegenObserverProvider$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\http\http2\src\main\java\io\helidon\http\http2\Http2Flag.java,io.helidon.http.http2.Http2Flag$DataFlags,innerclass,4,4,0,4,5,2,0,4,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,0,3,0,1,0,1,1,0,0,0,20,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\metrics\providers\micrometer\src\main\java\io\helidon\metrics\providers\micrometer\MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,innerclass,9,9,0,9,7,2,0,6,21,0.0,0.0,0.0,7,0,1,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\http\http\src\main\java\io\helidon\http\CookieParser.java,io.helidon.http.CookieParser,class,4,7,3,4,18,1,0,18,4,0.7,1.0,1.0,4,3,0,2,0,2,2,0,0,0,5,5,0,5,0,0,5,0,4,51,4,3,1,0,1,6,9,13,2,12,4,0,0,1,78,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\microprofile\fault-tolerance\src\test\java\io\helidon\microprofile\faulttolerance\CircuitBreakerTest.java,io.helidon.microprofile.faulttolerance.CircuitBreakerTest,class,12,13,1,12,18,2,0,21,0,0.23076923,0.33333334,0.33333334,13,0,0,3,0,10,10,0,0,0,1,0,0,1,0,0,0,0,2,90,1,4,0,1,0,3,18,14,2,15,1,0,0,10,52,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\docs\src\main\java\io\helidon\docs\se\inject\InterceptorDelegateExample.java,io.helidon.docs.se.inject.InterceptorDelegateExample,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\http\media\jsonb\src\main\java\io\helidon\http\media\jsonb\JsonbMediaSupportProvider.java,io.helidon.http.media.jsonb.JsonbMediaSupportProvider,class,5,5,0,5,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,0,0,1,1,0,0,0,0,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\helidon\common\processor\class-model\src\main\java\io\helidon\common\processor\classmodel\Throws.java,io.helidon.common.processor.classmodel.Throws$Builder,innerclass,4,4,0,4,7,3,0,4,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0
