file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\flink\v1.20\flink\src\main\java\org\apache\iceberg\flink\source\RowDataFileScanTaskReader.java,org.apache.iceberg.flink.source.RowDataFileScanTaskReader,class,18,28,10,18,18,2,0,44,0,0.5666667,1.0,1.0,6,0,2,4,0,0,2,0,0,0,5,0,0,5,0,0,5,0,1,98,6,0,5,0,0,2,0,20,1,19,2,0,1,3,62,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\spark\v3.5\spark\src\test\java\org\apache\iceberg\spark\source\TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,class,14,21,1,20,11,4,0,39,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,106,0,0,0,0,0,166,43,27,0,26,0,0,0,5,115,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\parquet\src\main\java\org\apache\iceberg\parquet\ParquetValueReaders.java,org.apache.iceberg.parquet.ParquetValueReaders$FloatAsDoubleReader,innerclass,3,3,0,3,3,3,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\core\src\main\java\org\apache\iceberg\V2Metadata.java,org.apache.iceberg.V2Metadata,class,7,12,5,7,4,1,0,5,6,0.75,0.0,0.0,4,3,0,1,0,3,3,0,0,0,1,1,0,0,0,1,1,0,2,352,3,0,0,0,0,1,0,1,0,1,0,0,3,0,112,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\flink\v1.20\flink\src\test\java\org\apache\iceberg\flink\sink\shuffle\TestMapRangePartitioner.java,TestMapRangePartitioner,class,15,15,0,15,10,1,0,37,0,0.5142857,0.0,0.0,7,2,4,3,0,0,4,0,0,0,5,4,0,5,0,0,5,0,0,106,2,3,0,0,2,6,365,52,10,59,2,0,0,5,88,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\parquet\src\test\java\org\apache\iceberg\parquet\TestVariantWriters.java,org.apache.iceberg.parquet.TestVariantWriters$ParquetSchemaProducer,innerclass,10,10,0,10,30,2,0,27,36,0.0,0.0,0.0,9,6,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,88,22,2,1,0,0,9,8,9,1,8,1,0,0,0,42,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\core\src\test\java\org\apache\iceberg\data\avro\TestDecoderResolver.java,org.apache.iceberg.data.avro.TestDecoderResolver,class,7,8,1,7,8,1,0,25,21,0.0,0.0,0.0,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,89,3,0,1,0,0,14,22,24,0,18,1,0,0,1,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\spark\v3.5\spark\src\test\java\org\apache\iceberg\spark\CatalogTestBase.java,org.apache.iceberg.spark.CatalogTestBase,class,4,13,8,5,1,4,8,8,0,0.0,NaN,NaN,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\api\src\main\java\org\apache\iceberg\actions\DeleteReachableFiles.java,org.apache.iceberg.actions.DeleteReachableFiles,interface,4,7,3,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\iceberg\flink\v1.20\flink\src\main\java\org\apache\iceberg\flink\source\reader\ListBatchRecords.java,org.apache.iceberg.flink.source.reader.ListBatchRecords,class,5,7,2,5,6,1,0,6,0,0.52,0.6,1.0,5,1,4,0,0,1,5,0,0,0,5,0,0,5,0,0,3,0,1,36,5,0,0,0,0,1,1,7,0,6,1,0,0,0,25,0,0
