file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-version-resolver\src\main\java\io\spring\initializr\versionresolver\MavenVersionResolver.java,io.spring.initializr.versionresolver.MavenVersionResolver,interface,2,5,3,2,3,1,0,0,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator-spring\src\main\java\io\spring\initializr\generator\spring\code\kotlin\KotlinProjectGenerationDefaultContributorsConfiguration.java,io.spring.initializr.generator.spring.code.kotlin.KotlinProjectGenerationDefaultContributorsConfiguration$SpringBoot2AndLaterKotlinProjectGenerationConfiguration,innerclass,10,10,0,10,2,1,0,7,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,6,0,0,0,1,0,0,0,1,25,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator-spring\src\main\java\io\spring\initializr\generator\spring\code\kotlin\SimpleKotlinProjectSettings.java,io.spring.initializr.generator.spring.code.kotlin.SimpleKotlinProjectSettings,class,1,6,5,1,4,1,4,0,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,2,0,0,0,0,0,0,2,0,2,0,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\test\java\io\spring\initializr\generator\version\VersionParserTests.java,io.spring.initializr.generator.version.VersionParserTests,class,4,4,0,4,15,1,0,13,0,0.0,1.0,1.0,15,0,0,0,0,15,15,0,0,0,1,0,0,1,0,0,0,0,7,65,0,0,0,0,0,39,0,18,0,12,0,0,0,2,31,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\main\java\io\spring\initializr\generator\language\groovy\GroovyLanguageFactory.java,io.spring.initializr.generator.language.groovy.GroovyLanguageFactory,class,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator-spring\src\main\java\io\spring\initializr\generator\spring\build\gradle\OnGradleVersionCondition.java,io.spring.initializr.generator.spring.build.gradle.OnGradleVersionCondition,class,7,8,1,7,4,2,0,7,1,0.0,NaN,NaN,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,4,0,2,0,0,2,0,2,0,2,1,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\test\java\io\spring\initializr\generator\buildsystem\MavenRepositoryTests.java,io.spring.initializr.generator.buildsystem.MavenRepositoryTests,class,3,3,0,3,5,1,0,16,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,14,0,5,0,5,0,0,0,0,19,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator-spring\src\main\java\io\spring\initializr\generator\spring\code\MainSourceCodeProjectContributor.java,io.spring.initializr.generator.spring.code.MainSourceCodeProjectContributor,class,16,20,4,16,5,1,0,24,2,0.59999996,1.0,1.0,5,0,2,3,0,0,2,0,0,0,6,0,0,6,0,0,6,0,6,38,0,0,0,0,0,3,0,13,0,16,0,0,0,3,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator-test\src\main\java\io\spring\initializr\generator\test\project\AbstractJvmModuleAssert.java,io.spring.initializr.generator.test.project.AbstractJvmModuleAssert,class,7,10,3,7,14,3,0,17,53,0.7142857,0.5714286,1.0,14,1,7,6,1,0,8,0,0,0,3,0,0,3,0,0,3,0,2,59,13,0,0,0,0,9,0,7,1,7,0,0,0,0,73,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-web\src\test\java\io\spring\initializr\web\project\DefaultProjectRequestPlatformVersionTransformerTests.java,io.spring.initializr.web.project.DefaultProjectRequestPlatformVersionTransformerTests,class,5,5,0,5,6,1,0,8,0,0.0,1.0,1.0,6,0,0,0,0,6,6,0,0,0,1,0,0,1,0,0,1,0,6,31,0,0,0,0,0,16,0,11,0,11,0,0,0,0,26,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-metadata\src\test\java\io\spring\initializr\metadata\SingleSelectCapabilityTests.java,io.spring.initializr.metadata.SingleSelectCapabilityTests,class,4,4,0,4,4,1,0,11,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,13,1,9,0,9,0,0,0,0,24,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-web\src\test\java\io\spring\initializr\web\AbstractInitializrControllerIntegrationTests.java,io.spring.initializr.web.AbstractInitializrControllerIntegrationTests$RestTemplateConfig,innerclass,5,5,0,5,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\main\java\io\spring\initializr\generator\container\docker\compose\ComposeFileWriter.java,io.spring.initializr.generator.container.docker.compose.ComposeFileWriter,class,5,8,3,5,13,1,0,26,15,0.0,NaN,NaN,6,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,62,4,3,0,0,0,10,0,0,1,1,2,0,0,6,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-metadata\src\main\java\io\spring\initializr\metadata\TypeCapability.java,io.spring.initializr.metadata.TypeCapability,class,5,15,10,5,6,2,0,9,0,0.2,0.6,0.6,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,23,3,0,1,0,0,3,0,1,0,3,2,0,0,2,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-metadata\src\main\java\io\spring\initializr\metadata\InitializrConfiguration.java,io.spring.initializr.metadata.InitializrConfiguration$Env$Kotlin$Mapping,innerclass,2,2,0,2,4,1,0,0,2,0.6666667,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,2,0,0,0,0,0,0,2,0,3,0,0,0,0,19,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-web\src\test\java\io\spring\initializr\web\controller\custom\CustomProjectGenerationController.java,io.spring.initializr.web.controller.custom.CustomProjectGenerationController,class,5,6,1,5,2,2,0,4,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,22,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\test\java\io\spring\initializr\generator\buildsystem\gradle\GradleConfigurationContainerTests.java,io.spring.initializr.generator.buildsystem.gradle.GradleConfigurationContainerTests,class,3,3,0,3,9,1,0,9,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,21,0,9,0,14,0,0,0,5,21,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator-spring\src\test\java\io\spring\initializr\generator\spring\documentation\HelpDocumentProjectContributorTests.java,io.spring.initializr.generator.spring.documentation.HelpDocumentProjectContributorTests,class,11,12,1,11,8,1,0,17,0,0.375,1.0,1.0,8,0,0,1,0,7,7,0,0,0,2,0,0,2,0,0,0,0,2,46,1,0,0,0,0,52,0,11,0,13,0,0,0,2,61,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\main\java\io\spring\initializr\generator\io\IndentingWriter.java,io.spring.initializr.generator.io.IndentingWriter,class,3,30,27,3,15,2,0,13,18,0.71666664,0.44444445,0.5833333,12,0,9,3,0,0,9,0,0,0,5,0,0,5,0,0,2,0,1,65,0,0,0,2,0,2,5,9,0,6,2,0,0,0,67,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-web\src\main\java\io\spring\initializr\web\project\ProjectGeneratedEvent.java,io.spring.initializr.web.project.ProjectGeneratedEvent,class,3,5,2,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\main\java\io\spring\initializr\generator\language\kotlin\KotlinSourceCodeWriter.java,io.spring.initializr.generator.language.kotlin.KotlinSourceCodeWriter$KotlinFormattingOptions,innerclass,3,3,0,3,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,11,3,0,0,0,0,4,0,0,0,0,0,0,0,0,14,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\initializr\initializr-generator\src\test\java\io\spring\initializr\generator\buildsystem\gradle\GradleDependencyTests.java,io.spring.initializr.generator.buildsystem.gradle.GradleDependencyTests,class,6,6,0,6,2,1,0,23,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,18,0,4,0,4,0,0,0,0,13,0,0
