file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\deser\jdk\MapKeyDeserializationTest.java,com.fasterxml.jackson.databind.deser.jdk.MapKeyDeserializationTest$Anonymous5,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\deser\jdk\MapKeyDeserializationTest.java,com.fasterxml.jackson.databind.deser.jdk.MapKeyDeserializationTest$Anonymous4,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\jsontype\ext\ExternalTypeCustomResolverTest.java,com.fasterxml.jackson.databind.jsontype.ext.ExternalTypeCustomResolverTest$ClassesWithBuilder$PaymentDetailsTypeIdResolver,innerclass,7,7,0,7,6,2,0,8,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,20,6,0,0,0,1,2,0,0,0,0,1,0,0,0,24,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\deser\jdk\MapKeyDeserializationTest.java,com.fasterxml.jackson.databind.deser.jdk.MapKeyDeserializationTest$Anonymous7,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\deser\jdk\MapKeyDeserializationTest.java,com.fasterxml.jackson.databind.deser.jdk.MapKeyDeserializationTest$Anonymous6,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\deser\jdk\MapKeyDeserializationTest.java,com.fasterxml.jackson.databind.deser.jdk.MapKeyDeserializationTest$Anonymous9,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\main\java\com\fasterxml\jackson\databind\jsonFormatVisitors\JsonBooleanFormatVisitor.java,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonBooleanFormatVisitor,interface,3,7,4,3,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\deser\jdk\MapKeyDeserializationTest.java,com.fasterxml.jackson.databind.deser.jdk.MapKeyDeserializationTest$Anonymous8,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\main\java\com\fasterxml\jackson\databind\MappingIterator.java,com.fasterxml.jackson.databind.MappingIterator,class,15,19,4,15,55,1,0,23,97,0.8504274,0.18300654,0.18300654,18,1,13,0,5,0,18,0,0,0,13,5,0,0,13,0,12,0,0,194,24,3,18,3,6,3,4,31,0,20,4,0,0,0,210,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\main\java\com\fasterxml\jackson\databind\deser\BeanDeserializerModifier.java,com.fasterxml.jackson.databind.deser.BeanDeserializerModifier,class,13,31,18,13,11,1,18,0,55,1.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,1,1,0,1,0,0,1,0,0,36,11,0,0,0,0,0,1,1,0,1,0,0,0,0,230,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\jsontype\TestTypeNames.java,com.fasterxml.jackson.databind.jsontype.Cat,class,6,10,4,6,5,2,2,2,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,15,2,0,1,0,1,2,0,2,1,1,0,0,0,0,11,1024,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\deser\jdk\UntypedDeserializationTest.java,com.fasterxml.jackson.databind.deser.jdk.UntypedDeserializationTest$ListDeserializer,innerclass,7,7,0,7,4,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,1,0,0,1,0,1,1,1,1,0,0,0,18,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jackson-databind\src\test\java\com\fasterxml\jackson\databind\jsontype\jdk\TypeRefinementForMapTest.java,com.fasterxml.jackson.databind.jsontype.jdk.TypeRefinementForMapTest,class,10,10,0,10,2,7,0,15,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,78,0,0,0,0,0,7,2,11,1,11,0,0,8,0,49,1,0
