file,class,method,variable,usage
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\data-bus\src\main\java\com\iluwatar\databus\data\StoppingData.java,com.iluwatar.databus.data.StoppingData,of/1[java.time.LocalDateTime],when,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\servant\src\main\java\com\iluwatar\servant\Servant.java,com.iluwatar.servant.Servant,feed/1[com.iluwatar.servant.Royalty],r,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\servant\src\main\java\com\iluwatar\servant\Servant.java,com.iluwatar.servant.Servant,giveWine/1[com.iluwatar.servant.Royalty],r,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\servant\src\main\java\com\iluwatar\servant\Servant.java,com.iluwatar.servant.Servant,giveCompliments/1[com.iluwatar.servant.Royalty],r,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\servant\src\main\java\com\iluwatar\servant\Servant.java,com.iluwatar.servant.Servant,checkIfYouWillBeHanged/1[java.util.List<com.iluwatar.servant.Royalty>],tableGuests,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\servant\src\main\java\com\iluwatar\servant\Servant.java,com.iluwatar.servant.Servant,Servant/1[java.lang.String],name,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\notification\src\main\java\com\iluwatar\RegisterWorkerForm.java,com.iluwatar.RegisterWorkerForm,indicateErrors/0,error,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\notification\src\main\java\com\iluwatar\RegisterWorkerForm.java,com.iluwatar.RegisterWorkerForm,"RegisterWorkerForm/3[java.lang.String,java.lang.String,java.time.LocalDate]",occupation,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\notification\src\main\java\com\iluwatar\RegisterWorkerForm.java,com.iluwatar.RegisterWorkerForm,"RegisterWorkerForm/3[java.lang.String,java.lang.String,java.time.LocalDate]",name,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\notification\src\main\java\com\iluwatar\RegisterWorkerForm.java,com.iluwatar.RegisterWorkerForm,"RegisterWorkerForm/3[java.lang.String,java.lang.String,java.time.LocalDate]",dateOfBirth,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"RingMessageManager/1[java.util.Map<java.lang.Integer,com.iluwatar.leaderelection.Instance>]",instanceMap,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatMessage/1[int],leaderInstance,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatMessage/1[int],leaderId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendElectionMessage/2[int,java.lang.String]",currentId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendElectionMessage/2[int,java.lang.String]",nextInstance,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendElectionMessage/2[int,java.lang.String]",electionMessage,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendElectionMessage/2[int,java.lang.String]",content,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendLeaderMessage/2[int,int]",leaderMessage,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendLeaderMessage/2[int,int]",currentId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendLeaderMessage/2[int,int]",nextInstance,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,"sendLeaderMessage/2[int,int]",leaderId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatInvokeMessage/1[int],currentId,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatInvokeMessage/1[int],nextInstance,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\leader-election\src\main\java\com\iluwatar\leaderelection\ring\RingMessageManager.java,com.iluwatar.leaderelection.ring.RingMessageManager,sendHeartbeatInvokeMessage/1[int],heartbeatInvokeMessage,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\type-object\src\main\java\com\iluwatar\typeobject\Candy.java,com.iluwatar.typeobject.Candy,"Candy/4[java.lang.String,java.lang.String,com.iluwatar.typeobject.Candy.Type,int]",parentName,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\type-object\src\main\java\com\iluwatar\typeobject\Candy.java,com.iluwatar.typeobject.Candy,"Candy/4[java.lang.String,java.lang.String,com.iluwatar.typeobject.Candy.Type,int]",name,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\java-design-patterns\type-object\src\main\java\com\iluwatar\typeobject\Candy.java,com.iluwatar.typeobject.Candy,"Candy/4[java.lang.String,java.lang.String,com.iluwatar.typeobject.Candy.Type,int]",type,2
