file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test\javassist\convert\ArrayAccessReplaceTest.java,test.javassist.convert.ArrayAccessReplaceTest$ComplexInterface,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test\javassist\tools\DummyClass.java,test.javassist.tools.DummyClass,class,0,1,1,0,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test3\SubValue.java,test3.SuperValue,class,0,1,1,0,0,1,1,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test4\JIRA195.java,test4.JIRA195,class,6,7,1,6,5,1,0,8,6,0.0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,1,0,3,2,4,1,3,1,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test5\NestHost.java,test5.NestHost$Bar,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\Jassist150.java,Jassist150,class,8,9,1,8,12,1,0,17,13,0.75000006,0.06666667,0.06666667,6,5,6,0,0,0,6,0,0,0,4,4,4,0,0,0,4,0,8,72,0,5,0,1,1,37,10,23,10,23,3,1,1,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\bytecode\StackMap.java,javassist.bytecode.StackMap$Shifter,innerclass,3,3,0,3,5,2,0,2,0,0.11111111,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,17,1,0,0,0,0,0,2,3,4,3,1,0,0,0,12,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\convert\TransformBefore.java,javassist.convert.TransformBefore,class,13,16,3,13,11,3,1,24,0,0.4571429,0.8,1.0,7,0,3,1,3,0,6,0,0,0,4,0,0,0,4,0,0,0,2,64,3,0,3,0,1,0,14,25,6,14,1,0,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\tools\reflect\CannotInvokeException.java,javassist.tools.reflect.CannotInvokeException,class,0,2,2,0,5,4,0,2,0,0.6,0.6,0.6,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,0,22,1,0,0,0,0,3,1,5,3,2,0,0,0,0,46,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\testproxy\Target.java,testproxy.Target,class,2,4,2,2,13,1,0,0,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\sample\Test.java,sample.Test,class,4,4,0,4,3,1,0,7,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,1,0,6,1,4,1,4,1,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test3\Constructor2.java,test3.Constructor2,class,1,1,0,1,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,1,2,0,2,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test3\Mods.java,test3.Mods2,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\javassist\bytecode\StackMapTest.java,javassist.bytecode.StackMapTest$T9$Parent,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test4\Lvtt.java,test4.Lvtt,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test4\DeclMethodsList.java,test4.DeclMethodsList,class,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\CodeConverter.java,javassist.CodeConverter,class,23,33,10,23,32,1,0,28,0,0.0,1.0,1.0,12,0,11,0,1,0,12,0,0,0,1,0,0,0,1,0,0,0,4,153,1,5,8,4,1,2,4,34,4,12,3,0,2,0,272,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\bytecode\CodeIterator.java,javassist.bytecode.CodeIterator$Jump16,innerclass,3,3,0,3,6,3,0,1,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,2,0,3,0,4,1,1,0,0,0,0,0,20,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\bytecode\StackMap.java,javassist.bytecode.StackMap,class,13,32,19,13,9,11,0,7,34,0.87777776,0.027777778,0.027777778,9,0,5,0,0,4,9,0,0,0,10,10,10,0,0,0,10,0,1,301,2,0,0,0,0,1,10,13,0,13,0,0,9,0,144,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\util\proxy\SecurityActions.java,javassist.util.proxy.SecurityActions,class,2,11,9,2,31,2,0,20,45,1.0,0.0,0.0,10,9,1,0,0,9,10,0,0,0,1,1,1,0,0,0,1,0,15,171,12,0,6,6,0,6,1,3,0,3,4,8,1,0,109,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\sample\hotswap\logging\HelloWorld.java,HelloWorld,class,0,1,1,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test3\InvokeIntf.java,test3.InvokedIntf3,class,1,2,1,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\test\test3\InvokeIntf.java,test3.InvokedIntf2,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\javassist\src\main\javassist\bytecode\analysis\ControlFlow.java,javassist.bytecode.analysis.ControlFlow$Block,innerclass,5,5,0,5,14,2,0,7,53,0.90909094,0.018181818,0.018181818,11,0,8,0,1,2,11,0,0,0,4,0,1,0,0,3,0,0,0,49,9,2,2,0,0,2,2,6,0,7,1,0,0,0,101,9,0
