file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-components\jeepay-components-oss\src\main\java\com\jeequan\jeepay\components\oss\service\AliyunOssService.java,com.jeequan.jeepay.components.oss.service.AliyunOssService,class,12,12,0,12,8,1,0,10,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,31,5,0,3,2,0,7,0,3,1,3,2,0,0,0,38,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-payment\src\main\java\com\jeequan\jeepay\pay\channel\pppay\PppayPaymentService.java,com.jeequan.jeepay.pay.channel.pppay.PppayPaymentService,class,8,9,1,8,4,2,1,4,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,1,0,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-payment\src\main\java\com\jeequan\jeepay\pay\util\CodeImgUtil.java,com.jeequan.jeepay.pay.util.CodeImgUtil,class,15,16,1,15,48,1,0,55,32,0.79365075,0.04761905,0.04761905,9,9,6,3,0,0,7,0,0,0,7,7,0,7,0,0,5,0,10,173,6,6,1,2,10,25,39,64,57,54,3,0,0,0,117,1,8
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-manager\src\main\java\com\jeequan\jeepay\mgr\ctrl\sysuser\SysUserController.java,com.jeequan.jeepay.mgr.ctrl.sysuser.SysUserController,class,21,21,0,21,20,3,0,34,0,0.5,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,10,71,6,0,8,0,0,93,0,11,0,14,1,0,0,0,52,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-payment\src\main\java\com\jeequan\jeepay\pay\channel\plspay\payway\WxNative.java,com.jeequan.jeepay.pay.channel.plspay.payway.WxNative,class,15,15,0,15,5,3,0,22,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,37,2,0,0,1,0,2,0,6,1,6,3,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-components\jeepay-components-mq\src\main\java\com\jeequan\jeepay\components\mq\model\ResetAppConfigMQ.java,com.jeequan.jeepay.components.mq.model.ResetAppConfigMQ$IMQReceiver,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-components\jeepay-components-mq\src\main\java\com\jeequan\jeepay\components\mq\model\ResetIsvMchAppInfoConfigMQ.java,com.jeequan.jeepay.components.mq.model.ResetIsvMchAppInfoConfigMQ$MsgPayload,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-components\jeepay-components-mq\src\main\java\com\jeequan\jeepay\components\mq\vender\rabbitmq\receive\ResetIsvMchAppInfoRabbitMQReceiver.java,com.jeequan.jeepay.components.mq.vender.rabbitmq.receive.ResetIsvMchAppInfoRabbitMQReceiver,class,11,11,0,11,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-manager\src\main\java\com\jeequan\jeepay\mgr\web\WebmvcConfig.java,com.jeequan.jeepay.mgr.web.WebmvcConfig,class,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jeepay\jeepay-core\src\main\java\com\jeequan\jeepay\core\constants\CS.java,com.jeequan.jeepay.core.constants.CS$CODE_SYS_NAME_SET,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,3,0,3,0,0,0,0,16,1,0
