file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\api\src\main\java\io\jsonwebtoken\io\Decoder.java,io.jsonwebtoken.io.Decoder,interface,2,15,13,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\impl\src\main\java\io\jsonwebtoken\impl\TextCodec.java,io.jsonwebtoken.impl.TextCodec,interface,4,6,2,4,4,1,0,0,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\api\src\main\java\io\jsonwebtoken\lang\UnknownClassException.java,io.jsonwebtoken.lang.UnknownClassException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\impl\src\main\java\io\jsonwebtoken\impl\security\JwkDeserializer.java,io.jsonwebtoken.impl.security.JwkDeserializer,class,3,4,1,3,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,1,1,1,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\impl\src\main\java\io\jsonwebtoken\impl\security\JcaTemplate.java,io.jsonwebtoken.impl.security.JcaTemplate$SignatureFactory,innerclass,1,1,0,1,3,2,0,2,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\impl\src\main\java\io\jsonwebtoken\impl\DefaultJweHeaderMutator.java,io.jsonwebtoken.impl.DefaultJweHeaderMutator,class,14,20,6,14,24,3,0,21,246,0.75,0.05928854,0.05928854,24,0,23,1,0,0,23,0,0,0,1,0,0,0,1,0,0,0,4,88,21,0,0,0,0,0,0,2,0,1,0,1,0,0,56,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\impl\src\main\java\io\jsonwebtoken\impl\lang\Function.java,io.jsonwebtoken.impl.lang.Function,interface,2,30,28,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\impl\src\main\java\io\jsonwebtoken\impl\io\BaseNCodec.java,io.jsonwebtoken.impl.io.BaseNCodec$Context,innerclass,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,8,0,0,0,0,8,0,0,2,13,1,0,0,0,0,2,0,0,1,8,0,0,0,0,104,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\impl\src\main\java\io\jsonwebtoken\impl\DefaultMutableJweHeader.java,io.jsonwebtoken.impl.DefaultMutableJweHeader,class,8,10,2,8,22,4,0,8,231,0.0,0.0,0.0,22,0,21,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,68,21,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jjwt\extensions\orgjson\src\main\java\io\jsonwebtoken\orgjson\io\OrgJsonDeserializer.java,io.jsonwebtoken.orgjson.io.OrgJsonDeserializer$JSONTokenerFactory,innerclass,4,4,0,4,9,1,0,7,4,0.75,0.0,0.0,4,1,0,2,1,1,2,0,0,0,3,2,0,3,0,0,3,0,1,42,3,1,1,2,0,3,5,11,1,9,2,0,0,0,66,8,0
