file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\ffdec_lib\src\com\jpexs\decompiler\flash\tags\DefineFontInfo2Tag.java,com.jpexs.decompiler.flash.tags.DefineFontInfo2Tag,class,11,14,3,11,30,3,0,16,39,0.788889,0.31428573,0.8666667,15,0,15,0,0,0,15,0,1,0,12,2,12,0,0,0,2,0,0,94,6,2,6,0,0,13,39,21,1,14,1,0,0,0,79,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\ffdec_lib\src\com\jpexs\decompiler\flash\action\model\FSCommand2ActionItem.java,com.jpexs.decompiler.flash.action.model.FSCommand2ActionItem,class,13,16,3,13,22,3,0,16,0,0.2,0.62222224,0.62222224,10,0,10,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,2,83,16,3,6,0,0,4,4,10,2,9,2,0,0,0,68,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\src\com\jpexs\decompiler\flash\console\ConsoleAbortRetryIgnoreHandler.java,com.jpexs.decompiler.flash.console.ConsoleAbortRetryIgnoreHandler,class,2,5,3,2,12,1,0,8,0,0.22222222,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,1,45,6,1,3,0,0,6,1,7,1,6,2,0,0,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\ffdec_lib\src\com\jpexs\decompiler\flash\importers\svg\SvgTransparentFill.java,com.jpexs.decompiler.flash.importers.svg.SvgTransparentFill,class,2,5,3,2,2,2,0,0,1,0.75,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,2,1,1,0,0,1,0,0,9,1,0,0,0,0,0,1,2,0,2,0,0,0,0,20,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\src\com\sun\jna\platform\win32\WinUser.java,com.sun.jna.platform.win32.WinUser$HARDWAREINPUT,innerclass,6,6,0,6,3,4,0,2,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,3,0,0,0,0,0,1,21,1,0,0,0,0,3,0,0,0,3,0,0,1,0,38,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\ffdec_lib\src\com\jpexs\decompiler\flash\AbortRetryIgnoreHandler.java,com.jpexs.decompiler.flash.AbortRetryIgnoreHandler,interface,1,5,4,1,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,5,5,0,0,0,0,0,0,9,0,0,0,0,0,0,5,5,0,5,0,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\jsyntaxpane\jsyntaxpane\src\main\java\jsyntaxpane\actions\gui\ShowAbbsDialog.java,jsyntaxpane.actions.gui.ShowAbbsDialog,class,4,7,3,4,6,6,0,45,6,0.75,0.0,0.0,4,0,2,2,0,0,2,0,0,0,6,0,0,5,0,1,0,0,4,66,0,0,2,0,0,4,11,10,0,10,2,1,0,0,78,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\jsyntaxpane\jsyntaxpane\src\main\java\jsyntaxpane\actions\ActionUtils.java,jsyntaxpane.actions.ActionUtils,class,5,38,33,5,89,1,0,81,376,0.95714295,0.0028490028,0.0028490028,28,27,27,1,0,0,27,0,0,1,5,5,2,1,0,2,4,0,24,350,38,9,25,5,3,20,45,99,23,79,3,0,0,0,319,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\LZMA\src\SevenZip\LzmaBench.java,SevenZip.LzmaBench$MyOutputStream,innerclass,1,1,0,1,5,2,0,0,0,0.41666666,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,19,1,0,0,0,0,1,1,4,0,3,1,0,0,0,14,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\libsrc\ffdec_lib\src\com\jpexs\decompiler\flash\action\model\IncrementActionItem.java,com.jpexs.decompiler.flash.action.model.IncrementActionItem,class,11,14,3,11,22,3,0,17,0,0.16666667,0.6818182,0.6818182,12,1,12,0,0,0,12,0,0,0,1,0,1,0,0,0,0,0,3,82,19,0,6,0,0,3,3,6,3,5,1,0,0,0,66,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\jpexs-decompiler\src\com\jpexs\process\win32\Win32Process.java,com.jpexs.process.win32.Win32Process,class,7,9,2,7,11,1,0,7,6,0.63888896,0.41666666,0.7777778,9,0,9,0,0,0,9,0,0,0,4,0,4,0,0,0,0,0,1,44,9,0,1,0,1,2,2,7,2,6,1,0,0,0,35,1,0
