file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,class,12,15,3,12,11,2,0,40,21,1.0,0.0,0.0,7,1,5,2,0,0,6,0,0,0,2,1,0,2,0,0,2,0,6,44,1,0,2,0,0,1,0,11,0,16,1,0,0,6,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\test\java\com\provectus\kafka\ui\smokesuite\ksqldb\KsqlDbTest.java,com.provectus.kafka.ui.smokesuite.ksqldb.KsqlDbTest,class,10,11,1,10,10,2,0,38,23,0.675,0.30555555,0.41666666,10,0,9,1,0,0,9,0,0,0,4,4,0,4,0,0,4,0,5,72,0,0,0,0,0,21,18,9,4,10,0,0,0,1,63,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\analyze\TopicAnalysisStats.java,com.provectus.kafka.ui.service.analyze.TopicAnalysisStats$SizeStats,innerclass,3,3,0,3,2,1,0,16,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,4,0,0,0,0,4,1,0,2,15,1,0,0,0,2,0,6,5,1,4,0,0,0,0,20,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\pages\topics\TopicSettingsTab.java,com.provectus.kafka.ui.pages.topics.TopicSettingsTab,class,5,7,2,5,4,5,0,16,6,0.75,0.0,0.0,4,0,2,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,34,4,0,0,0,0,1,1,2,0,4,0,0,1,2,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\model\schemaregistry\ErrorResponse.java,com.provectus.kafka.ui.model.schemaregistry.ErrorResponse,class,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\test\java\com\provectus\kafka\ui\service\MessagesServiceTest.java,com.provectus.kafka.ui.service.MessagesServiceTest,class,15,15,0,15,9,2,0,42,8,0.59375,0.35714287,0.35714287,8,0,0,0,0,8,8,0,0,0,4,2,0,2,0,2,2,0,14,47,0,0,1,1,0,17,6,9,1,13,1,0,0,3,79,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\exception\TopicMetadataException.java,com.provectus.kafka.ui.exception.TopicMetadataException,class,2,2,0,2,3,5,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\pages\BasePage.java,com.provectus.kafka.ui.pages.BasePage,class,9,38,29,9,20,2,36,29,169,0.9578949,0.0058479533,0.0058479533,19,0,0,0,19,0,19,0,0,0,20,0,0,0,20,0,0,0,12,109,10,0,0,0,0,33,2,24,0,24,1,0,1,0,111,1025,11
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\integration\odd\schema\ProtoExtractor.java,com.provectus.kafka.ui.service.integration.odd.schema.ProtoExtractor,class,11,13,2,11,22,1,0,37,45,0.9,NaN,NaN,10,9,0,9,0,1,1,0,0,0,1,1,0,1,0,0,1,0,18,80,12,0,4,0,1,8,0,9,4,11,1,0,0,2,68,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\exception\TopicRecreationException.java,com.provectus.kafka.ui.exception.TopicRecreationException,class,2,2,0,2,2,5,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,0,0,1,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\audit\AuditService.java,com.provectus.kafka.ui.service.audit.AuditService,class,22,30,8,22,32,1,0,70,38,0.84375,0.4,0.4,12,4,4,6,0,2,6,0,0,0,8,7,0,8,0,0,8,0,25,138,16,1,5,4,0,20,3,25,0,30,3,0,0,8,113,1,10
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\controller\ConsumerGroupsController.java,com.provectus.kafka.ui.controller.ConsumerGroupsController,class,21,21,0,21,14,2,0,62,3,0.6666667,0.6,0.6,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,2,0,8,55,14,0,1,0,0,9,3,9,1,21,4,0,0,10,75,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\rbac\AbstractProviderCondition.java,com.provectus.kafka.ui.service.rbac.AbstractProviderCondition,class,3,4,1,3,1,1,1,13,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3,7,1,0,0,0,0,2,0,2,0,3,0,0,0,1,22,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\test\java\com\provectus\kafka\ui\serdes\builtin\UuidBinarySerdeTest.java,com.provectus.kafka.ui.serdes.builtin.UuidBinarySerdeTest$MsbLast,innerclass,10,10,0,10,3,1,0,22,0,0.0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,6,25,0,0,0,0,0,4,1,8,0,8,0,0,0,0,26,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\ksql\KsqlGrammar.java,com.provectus.kafka.ui.service.ksql.KsqlGrammar,class,12,14,2,12,6,1,0,14,6,0.0,0.0,0.0,4,3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,53,4,0,1,1,0,1,0,4,1,5,1,1,2,1,28,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\analyze\TopicIdentity.java,com.provectus.kafka.ui.service.analyze.TopicIdentity,class,3,6,3,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-serde-api\src\main\java\com\provectus\kafka\ui\serde\api\Serde.java,com.provectus.kafka.ui.serde.api.Serde$Deserializer,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\test\java\com\provectus\kafka\ui\service\LogDirsTest.java,com.provectus.kafka.ui.service.LogDirsTest$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\model\rbac\Subject.java,com.provectus.kafka.ui.model.rbac.Subject,class,2,3,1,2,3,1,0,2,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,1,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\test\java\com\provectus\kafka\ui\service\LogDirsTest.java,com.provectus.kafka.ui.service.LogDirsTest$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\test\java\com\provectus\kafka\ui\service\LogDirsTest.java,com.provectus.kafka.ui.service.LogDirsTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\config\ClustersProperties.java,com.provectus.kafka.ui.config.ClustersProperties$ConnectCluster,innerclass,5,5,0,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,8,0,0,0,0,0,2,0,0,0,6,0,0,0,0,13,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\utilities\FileUtils.java,com.provectus.kafka.ui.utilities.FileUtils,class,0,1,1,0,4,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,2,0,1,0,0,1,0,1,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\ksql\response\DynamicParser.java,com.provectus.kafka.ui.service.ksql.response.DynamicParser,class,3,5,2,3,8,1,0,26,15,0.0,0.0,0.0,6,5,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,10,29,6,0,0,0,0,1,0,1,0,4,2,0,0,3,21,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\pages\panels\TopPanel.java,com.provectus.kafka.ui.pages.panels.TopPanel,class,2,3,1,2,2,3,0,2,0,0.3,1.0,1.0,2,0,2,0,0,0,2,0,0,0,5,0,0,0,5,0,0,0,2,13,2,0,0,0,0,5,0,5,0,5,0,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\pages\topics\enums\CustomParameterType.java,com.provectus.kafka.ui.pages.topics.enums.CustomParameterType,enum,0,2,2,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,22,0,1,0,1,0,0,0,0,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\exception\TopicOrPartitionNotFoundException.java,com.provectus.kafka.ui.exception.TopicOrPartitionNotFoundException,class,2,3,1,2,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\test\java\com\provectus\kafka\ui\service\masking\policies\FieldsSelectorTest.java,com.provectus.kafka.ui.service.masking.policies.FieldsSelectorTest,class,4,4,0,4,4,1,0,11,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,5,29,0,0,0,0,0,13,0,7,0,7,0,0,0,1,26,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-e2e-checks\src\test\java\com\provectus\kafka\ui\smokesuite\schemas\SchemasTest.java,com.provectus.kafka.ui.smokesuite.schemas.SchemasTest,class,7,7,0,7,10,2,0,48,0,0.525,0.7777778,1.0,10,0,10,0,0,0,10,0,0,0,4,4,0,4,0,0,4,0,2,102,0,0,0,0,0,22,18,13,1,15,0,0,0,2,69,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka-ui\kafka-ui-api\src\main\java\com\provectus\kafka\ui\service\ApplicationInfoService.java,com.provectus.kafka.ui.service.ApplicationInfoService,class,13,15,2,13,9,1,0,28,9,0.6666667,0.33333334,0.33333334,6,0,3,3,0,0,3,0,0,0,4,0,0,4,0,0,4,0,2,31,4,0,2,0,0,1,0,6,0,6,1,0,0,0,34,1,0
