file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\consumer\ShareConsumerTest.java,org.apache.kafka.clients.consumer.ShareConsumerTest$ClientState,innerclass,0,0,0,0,2,1,0,0,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,10,2,0,0,0,0,0,1,2,0,2,0,0,0,0,21,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\streams\src\main\java\org\apache\kafka\streams\state\internals\TimestampedKeyValueStoreBuilder.java,org.apache.kafka.streams.state.internals.TimestampedKeyValueStoreBuilder$InMemoryTimestampedKeyValueStoreMarker,innerclass,15,15,0,15,17,2,0,18,91,0.0,0.0,0.0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,53,11,0,0,0,1,4,1,3,2,3,1,0,0,0,56,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ShareConsumeRequestManager.java,org.apache.kafka.clients.consumer.internals.ShareConsumeRequestManager$AcknowledgeRequestType,enum,0,0,0,0,2,1,0,2,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,3,1,0,1,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\group-coordinator\src\test\java\org\apache\kafka\coordinator\group\modern\share\ShareGroupBuilder.java,org.apache.kafka.coordinator.group.modern.share.ShareGroupBuilder,class,10,13,3,10,9,1,0,22,3,0.63888896,0.4,1.0,6,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,4,0,6,51,5,0,2,0,0,0,1,10,0,17,3,0,0,5,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\clients\src\test\java\org\apache\kafka\common\utils\AbstractIteratorTest.java,org.apache.kafka.common.utils.AbstractIteratorTest$ListIterator,innerclass,2,2,0,2,3,2,0,3,0,0.25,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,1,0,0,11,2,0,0,0,0,0,1,2,0,2,1,0,0,0,10,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\isolation\PluginUtils.java,org.apache.kafka.connect.runtime.isolation.PluginUtils,class,11,21,10,11,62,1,0,96,131,0.88888896,0.07692308,0.07692308,18,18,13,5,0,0,13,0,0,0,5,5,0,5,0,0,5,0,40,267,25,10,9,6,2,110,9,49,4,46,5,0,1,4,193,1,8
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\clients\src\main\java\org\apache\kafka\common\security\scram\internals\ScramCredentialUtils.java,org.apache.kafka.common.security.scram.internals.ScramCredentialUtils,class,5,7,2,5,14,1,0,22,8,0.6,0.33333334,0.33333334,5,4,3,2,0,0,3,0,0,0,4,4,0,4,0,0,4,0,10,37,3,2,1,0,0,8,4,12,3,12,2,0,0,0,66,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\group-coordinator\src\main\java\org\apache\kafka\coordinator\group\modern\TopicIds.java,org.apache.kafka.coordinator.group.modern.TopicIds,class,7,14,7,7,26,1,0,13,81,0.5555556,0.23529412,0.23529412,18,0,18,0,0,0,18,0,0,0,2,0,0,2,0,0,2,0,5,170,14,1,4,0,0,2,1,8,3,5,2,0,4,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\streams\src\main\java\org\apache\kafka\streams\TopologyConfig.java,org.apache.kafka.streams.TopologyConfig$TaskConfig,innerclass,3,3,0,3,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,7,0,7,0,0,0,7,0,0,18,0,0,0,0,0,0,0,7,0,7,0,0,0,0,20,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kafka\clients\src\test\java\org\apache\kafka\clients\consumer\internals\ShareFetchBufferTest.java,org.apache.kafka.clients.consumer.internals.ShareFetchBufferTest,class,18,19,1,18,8,1,0,38,0,0.6530613,1.0,1.0,7,1,5,2,0,0,5,0,0,0,7,0,0,7,0,0,5,0,12,84,2,0,1,4,0,4,9,20,0,20,2,0,0,2,111,1,0
