file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,class,7,10,3,7,21,1,2,28,15,0.68,0.33333334,0.62222224,10,0,4,0,6,0,10,2,0,0,5,0,0,4,1,0,3,0,6,77,4,0,2,2,2,12,3,9,5,9,3,0,0,1,106,1025,7
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,class,7,9,2,7,21,1,0,15,24,0.75,0.33333334,0.33333334,8,0,3,5,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,80,10,2,1,1,0,8,0,6,2,6,2,0,1,0,55,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\jdbc\src\test\java\io\kestra\jdbc\repository\AbstractJdbcFlowTopologyRepositoryTest.java,io.kestra.jdbc.repository.AbstractJdbcFlowTopologyRepositoryTest,class,8,8,0,8,2,2,0,20,1,0.5,0.0,0.0,2,0,0,0,1,1,2,0,0,0,2,0,0,1,0,1,0,0,3,21,0,0,0,0,0,16,4,4,0,4,0,0,0,0,20,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\test\java\io\kestra\core\runners\FlowListenersTest.java,io.kestra.core.runners.FlowListenersTest$Ref,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\test\java\io\kestra\plugin\core\storage\DeleteTest.java,io.kestra.plugin.core.storage.DeleteTest,class,9,10,1,9,1,1,0,18,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,19,0,0,0,0,0,2,0,7,0,8,1,0,0,1,27,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\webserver\src\main\java\io\kestra\webserver\controllers\api\ExecutionController.java,io.kestra.webserver.controllers.api.ExecutionController,class,95,97,2,95,184,2,0,216,302,0.88791203,0.44041136,0.47186932,65,0,54,7,3,1,58,0,0,0,21,1,0,17,4,0,1,0,23,778,98,18,15,8,5,686,6,139,22,180,3,0,3,30,325,1,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\jdbc\src\main\java\io\kestra\jdbc\runner\AbstractJdbcExecutionQueuedStorage.java,io.kestra.jdbc.runner.AbstractJdbcExecutionQueuedStorage,class,7,8,1,7,5,2,0,26,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,28,2,0,0,0,0,5,1,5,0,7,2,0,0,2,39,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\jdbc-postgres\src\main\java\io\kestra\repository\postgres\PostgresDashboardRepository.java,io.kestra.repository.postgres.PostgresDashboardRepository,class,12,12,0,12,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\core\services\ConcurrencyLimitService.java,io.kestra.core.services.ConcurrencyLimitService,class,2,3,1,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,1,0,0,0,0,1,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\plugin\core\condition\ExecutionNamespace.java,io.kestra.plugin.core.condition.ExecutionNamespace,class,15,15,0,15,3,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,1,19,1,0,1,0,0,9,0,1,0,3,1,0,1,0,64,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\core\models\triggers\TriggerContext.java,io.kestra.core.models.triggers.TriggerContext,class,13,21,8,13,6,1,1,6,8,0.77777785,0.1,0.1,5,2,4,0,1,0,5,0,0,0,9,0,0,9,0,0,0,0,1,36,4,0,1,0,0,1,0,10,0,9,0,0,1,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\cli\src\main\java\io\kestra\cli\listeners\DeleteConfigurationApplicationListeners.java,io.kestra.cli.listeners.DeleteConfigurationApplicationListeners,class,8,8,0,8,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,1,0,2,0,4,2,0,0,1,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\test\java\io\kestra\core\runners\pebble\filters\StringFilterTest.java,io.kestra.core.runners.pebble.filters.StringFilterTest,class,6,6,0,6,2,1,0,7,1,0.5,0.0,0.0,2,1,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,2,10,1,0,0,0,0,3,0,1,0,2,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\SlugifyFilter.java,io.kestra.core.runners.pebble.filters.SlugifyFilter,class,5,6,1,5,2,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\webserver\src\main\java\io\kestra\webserver\models\events\OssAuthEvent.java,io.kestra.webserver.models.events.OssAuthEvent,class,6,8,2,6,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,1,1,0,1,0,0,1,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\plugin\core\storage\Write.java,io.kestra.plugin.core.storage.Write,class,16,17,1,16,1,2,0,17,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,13,1,0,0,0,0,5,0,3,0,7,0,0,1,3,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\test\java\io\kestra\core\schedulers\AbstractSchedulerTest.java,io.kestra.core.schedulers.AbstractSchedulerTest,class,18,26,8,18,7,2,7,32,10,0.93333334,0.0,0.0,5,5,2,0,3,0,5,0,0,0,3,1,0,0,3,0,0,0,12,41,5,0,2,0,0,15,3,4,0,6,1,0,1,0,35,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\test\java\io\kestra\core\services\StartExecutorServiceTest.java,io.kestra.core.services.StartExecutorServiceTest,class,5,5,0,5,1,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,8,15,0,0,0,0,0,13,0,0,0,1,0,0,0,1,11,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\test\java\io\kestra\core\runners\WorkingDirFactoryTest.java,io.kestra.core.runners.WorkingDirFactoryTest,class,6,6,0,6,1,1,0,7,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,3,0,2,0,3,0,0,0,0,20,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\kestra\core\src\main\java\io\kestra\core\utils\Rethrow.java,io.kestra.core.utils.Rethrow$CallableChecked,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
