file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-core\src\main\java\org\languagetool\rules\patterns\ConsistencyPatternRuleTransformer.java,org.languagetool.rules.patterns.ConsistencyPatternRuleTransformer$ConsistencyPatternRule,innerclass,8,8,0,8,17,3,0,38,0,0.42857146,0.5714286,0.71428573,7,0,6,0,0,1,7,0,0,0,2,0,0,1,1,0,2,0,3,77,7,6,1,0,0,0,8,18,3,17,2,0,0,1,66,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-core\src\test\java\org\languagetool\ResourceBundleToolsTest.java,org.languagetool.ResourceBundleToolsTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-wikipedia\src\main\java\org\languagetool\dev\dumpcheck\WikipediaSentenceSource.java,org.languagetool.dev.dumpcheck.WikipediaSentenceSource$WikipediaSentence,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,class,9,21,12,9,21,1,2,21,43,0.78787875,0.054545455,0.054545455,11,4,3,0,8,0,11,1,0,0,6,1,0,1,5,0,1,0,10,117,7,0,4,0,2,75,11,13,5,18,1,0,0,1,289,1024,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,class,4,6,2,4,8,2,0,8,28,0.875,0.0,0.0,8,0,8,0,0,0,8,0,1,0,3,3,1,2,0,0,3,0,1,33,7,0,0,0,0,13,0,3,1,3,0,0,0,0,84,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-core\src\test\java\org\languagetool\tools\ToolsTest.java,org.languagetool.tools.ToolsTest$FakeRule,innerclass,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-dev\src\main\java\org\languagetool\dev\FuzzerForAnalysis.java,org.languagetool.dev.FuzzerForAnalysis,class,4,5,1,4,5,2,0,11,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,0,2,1,0,0,5,4,9,5,9,3,0,0,0,47,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-core\src\main\java\org\languagetool\grpc\SynthesizeServerGrpc.java,org.languagetool.grpc.SynthesizeServerGrpc$MethodHandlers,innerclass,3,3,0,3,4,1,0,1,0,0.16666667,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,23,0,0,0,0,0,2,0,2,0,2,1,0,0,0,14,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-core\src\main\java\org\languagetool\languagemodel\bert\grpc\BertLmProto.java,org.languagetool.languagemodel.bert.grpc.BertLmProto$BertLmResponseOrBuilder,interface,3,3,0,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-language-modules\pt\src\test\java\org\languagetool\tokenizers\pt\PortugueseSRXSentenceTokenizerTest.java,org.languagetool.tokenizers.pt.PortugueseSRXSentenceTokenizerTest,class,4,5,1,4,2,1,0,3,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,3,0,1,0,1,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-language-modules\ga\src\main\java\org\languagetool\rules\ga\IrishReplaceRule.java,org.languagetool.rules.ga.IrishReplaceRule,class,2,3,1,2,8,2,0,9,28,0.875,0.0,0.0,8,0,8,0,0,0,8,0,1,0,2,2,0,2,0,0,2,0,1,32,7,0,0,0,0,10,0,2,1,2,0,0,0,0,67,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\languagetool\languagetool-core\src\test\java\org\languagetool\languagemodel\BaseLanguageModelTest.java,org.languagetool.languagemodel.BaseLanguageModelTest,class,3,3,0,3,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,2,0,9,7,6,0,6,1,0,0,0,21,1,0
