file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,class,48,64,16,48,124,1,0,135,262,0.9335664,0.3226891,0.7815126,44,0,34,9,0,1,35,0,0,0,39,10,7,32,0,0,29,0,17,489,27,7,10,0,39,14,96,150,87,140,3,0,0,8,374,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\tests\tapl\com\android\launcher3\tapl\HomeAppIcon.java,com.android.launcher3.tapl.HomeAppIcon,class,16,30,14,16,14,3,2,28,53,0.8181818,0.018181818,0.018181818,11,0,8,0,1,2,11,0,0,0,1,0,0,1,0,0,1,0,7,71,13,1,1,5,0,7,0,18,0,18,2,0,0,4,101,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\quickstep\util\TabletHomeToSplitTimings.java,com.android.quickstep.util.TabletHomeToSplitTimings,class,4,6,2,4,7,3,0,3,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,2,0,2,0,0,0,0,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\src\com\android\wm\shell\splitscreen\SplitScreenController.java,com.android.wm.shell.splitscreen.SplitScreenController$ISplitScreenImpl$Anonymous3,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\quickstep\inputconsumers\AssistantInputConsumer.java,com.android.quickstep.inputconsumers.AssistantInputConsumer$AssistantGestureListener,innerclass,3,3,0,3,5,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,0,0,1,1,3,0,1,0,0,0,38,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\src\com\android\wm\shell\splitscreen\SplitScreenController.java,com.android.wm.shell.splitscreen.SplitScreenController$ISplitScreenImpl$Anonymous4,anonymous,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,2,0,0,0,1,13,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\systemUI\plugin\src\com\android\systemui\plugins\ViewProvider.java,com.android.systemui.plugins.ViewProvider,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\hidden-api\src\main\java\android\app\IActivityTaskManagerHidden.java,android.app.IActivityTaskManagerHidden,interface,4,5,1,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\tests\multivalentTests\src\com\android\launcher3\util\ActivityContextWrapper.java,com.android.launcher3.util.ActivityContextWrapper,class,9,23,14,9,4,6,1,3,2,0.5833333,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,27,3,0,0,0,0,0,0,3,0,3,0,0,1,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\systemUI\plugin\src\com\android\systemui\plugins\NavigationEdgeBackPlugin.java,com.android.systemui.plugins.NavigationEdgeBackPlugin,interface,7,7,0,7,7,1,0,0,21,1.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,2,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,1,2,0,2,0,0,1,0,73,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\KeyboardQuickSwitchView.java,com.android.launcher3.taskbar.KeyboardQuickSwitchView$Anonymous3$Anonymous4,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,8,0,2,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\quickstep\inputconsumers\AssistantInputConsumer.java,com.android.quickstep.inputconsumers.AssistantInputConsumer,class,24,27,3,24,34,3,0,47,7,0.77272725,0.16666667,0.16666667,7,0,3,3,1,0,4,0,0,0,22,4,0,22,0,0,14,0,9,178,3,0,8,0,3,3,21,44,18,37,4,1,1,2,122,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\StashedHandleViewController.java,com.android.launcher3.taskbar.StashedHandleViewController,class,28,35,7,28,39,1,0,46,174,0.9170369,0.14210527,0.4105263,25,0,17,5,3,0,20,0,0,0,27,8,4,23,0,0,15,0,0,207,9,0,4,0,2,5,19,49,13,51,1,3,0,1,202,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\tests\tapl\com\android\launcher3\tapl\Widgets.java,com.android.launcher3.tapl.Widgets,class,13,19,6,13,28,2,0,36,62,0.8333333,0.027777778,0.027777778,12,0,7,3,1,1,9,0,0,0,2,2,0,2,0,0,2,0,8,127,10,4,8,5,1,29,13,48,6,46,5,0,0,0,128,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\quickstep\fallback\FallbackRecentsStateController.java,com.android.quickstep.fallback.FallbackRecentsStateController,class,15,17,2,15,17,1,0,35,3,0.6111111,1.0,1.0,6,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,59,3,0,1,0,0,0,15,10,0,11,2,0,0,2,68,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\tests\unittest\src\com\android\wm\shell\bubbles\animation\PhysicsAnimationLayoutTestCase.java,com.android.wm.shell.bubbles.animation.PhysicsAnimationLayoutTestCase,class,18,24,6,18,9,6,3,31,3,0.75000006,0.4,0.6,6,0,2,1,0,3,5,0,0,0,10,0,0,2,1,7,0,0,1,179,0,2,0,1,0,0,17,13,1,15,1,0,1,2,113,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\TaskbarHoverToolTipController.java,com.android.launcher3.taskbar.TaskbarHoverToolTipController,class,18,21,3,18,17,1,0,36,0,0.68333334,1.0,1.0,6,0,2,4,0,0,2,0,0,0,10,2,0,10,0,0,10,0,11,94,5,0,5,0,5,0,21,26,2,33,1,0,0,1,82,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\src\com\android\wm\shell\startingsurface\SplashscreenContentDrawer.java,com.android.wm.shell.startingsurface.SplashscreenContentDrawer$ColorCache$Cache,innerclass,0,0,0,0,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,18,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\tests\unittest\src\com\android\wm\shell\bubbles\animation\PhysicsAnimationLayoutTestCase.java,com.android.wm.shell.bubbles.animation.PhysicsAnimationLayoutTestCase$TestablePhysicsAnimationLayout$TestablePhysicsPropertyAnimator,innerclass,5,5,0,5,4,2,0,3,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,1,0,0,0,1,0,0,1,22,4,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\quickstep\OrientationRectF.java,com.android.quickstep.OrientationRectF,class,7,10,3,7,19,2,0,12,0,0.71428573,0.71428573,0.71428573,7,0,6,0,0,1,7,0,0,0,7,2,0,7,0,0,7,0,3,64,8,0,0,0,0,14,9,11,4,8,2,0,0,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\anim\AnimatorListeners.java,com.android.launcher3.anim.AnimatorListeners$EndStateCallbackWrapper,innerclass,4,4,0,4,6,2,0,2,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,1,0,0,19,0,0,0,0,1,0,0,4,0,2,1,0,0,0,31,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\model\ModelWriter.java,com.android.launcher3.model.ModelWriter$UpdateItemRunnable,innerclass,7,7,0,7,2,3,0,6,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,3,0,0,3,0,0,3,0,1,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,15,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\TaskbarNavButtonController.java,com.android.launcher3.taskbar.TaskbarNavButtonController,class,23,29,6,23,54,1,0,36,80,0.8426501,0.1388889,0.1388889,21,0,9,12,0,0,9,0,0,0,23,12,0,13,0,10,18,0,5,213,23,0,6,0,3,6,16,29,12,25,1,0,1,0,169,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\util\IntArray.java,com.android.launcher3.util.IntArray,class,5,33,28,5,49,1,0,21,79,0.6944444,0.32971016,0.32971016,27,3,24,3,0,0,24,0,0,0,4,2,0,2,0,2,2,0,10,170,17,5,8,0,2,6,28,31,10,22,4,0,1,0,135,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\allapps\AllAppsTransitionController.java,com.android.launcher3.allapps.AllAppsTransitionController$Anonymous3,anonymous,4,4,0,4,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,1,0,0,0,24,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\uioverrides\QuickstepWidgetHolder.java,com.android.launcher3.uioverrides.QuickstepWidgetHolder$UpdateHandler,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\allapps\AllAppsTransitionController.java,com.android.launcher3.allapps.AllAppsTransitionController$Anonymous1,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\allapps\AllAppsTransitionController.java,com.android.launcher3.allapps.AllAppsTransitionController$Anonymous2,anonymous,4,4,0,4,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,1,0,0,0,27,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\systemUI\shared\src\com\android\systemui\shared\condition\Monitor.java,com.android.systemui.shared.condition.Monitor$SubscriptionState,innerclass,8,8,0,8,18,1,0,9,7,0.71428573,0.1,0.1,7,0,4,2,0,1,5,0,0,0,4,0,0,4,0,0,1,0,0,56,6,0,9,0,0,0,0,9,0,8,2,0,0,0,52,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\tests\unittest\src\com\android\wm\shell\transition\ShellTransitionTests.java,com.android.wm.shell.transition.ShellTransitionTests$TestTransitionHandler,innerclass,12,12,0,12,16,1,0,11,6,0.6888889,0.41666666,0.7777778,9,0,3,0,0,6,9,0,0,0,5,0,0,0,0,5,2,0,0,51,6,2,2,0,1,0,4,11,1,9,3,0,0,0,50,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\util\TranslateEdgeEffect.java,com.android.launcher3.util.TranslateEdgeEffect,class,4,4,0,4,3,2,0,3,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,17,2,0,0,0,0,0,2,5,0,2,0,0,0,1,34,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\util\MultiPropertyFactory.java,com.android.launcher3.util.MultiPropertyFactory,class,5,11,6,5,9,1,0,5,1,0.8333334,0.26666668,0.4,6,0,5,0,1,0,6,0,0,0,9,3,1,7,1,0,7,0,0,92,2,2,0,0,0,6,5,13,4,12,2,1,2,0,129,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\src\com\android\wm\shell\taskview\TaskViewTransitions.java,com.android.wm.shell.taskview.TaskViewTransitions,class,24,32,8,24,88,1,0,49,0,0.73913044,0.4853801,0.8947368,23,0,9,4,0,10,19,0,0,0,5,1,0,4,0,1,5,0,11,277,33,6,40,0,0,13,15,42,8,34,5,0,2,0,156,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\widget\WidgetItemComparator.java,com.android.launcher3.widget.WidgetItemComparator,class,5,6,1,5,5,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,3,18,3,0,2,0,0,0,3,7,2,7,1,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\util\PluginManagerWrapper.java,com.android.launcher3.util.PluginManagerWrapper,class,7,11,4,7,5,1,0,2,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,1,0,1,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\tests\src\com\android\launcher3\util\Wait.java,com.android.launcher3.util.Wait,class,6,11,5,6,8,1,0,8,1,0.33333334,0.33333334,0.33333334,3,3,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,8,39,2,1,0,2,0,5,1,3,3,3,3,0,1,1,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\views\ListenerView.java,com.android.launcher3.views.ListenerView,class,6,8,2,6,13,2,0,8,26,0.75,0.035714287,0.035714287,8,0,4,0,4,0,8,0,0,0,1,0,0,1,0,0,0,0,0,43,3,0,3,0,2,0,1,4,0,1,3,0,0,0,65,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\quickstep\fallback\RecentsDragLayer.java,com.android.quickstep.fallback.RecentsDragLayer,class,6,7,1,6,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\src\com\android\launcher3\views\OptionsPopupView.java,com.android.launcher3.views.OptionsPopupView,class,28,30,2,28,41,2,0,62,243,0.9275363,0.01904762,0.01904762,23,11,11,8,3,1,15,0,0,0,6,3,1,5,0,0,4,0,11,177,24,1,9,0,1,7,6,26,0,22,2,0,1,0,145,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\secondarydisplay\SecondaryDisplayPredictionsImpl.java,com.android.launcher3.secondarydisplay.SecondaryDisplayPredictionsImpl,class,6,6,0,6,3,2,0,8,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,15,0,0,0,0,0,1,0,2,0,2,0,0,0,0,17,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\src\com\android\wm\shell\sysui\ShellController.java,com.android.wm.shell.sysui.ShellController$ShellInterfaceImpl,innerclass,15,15,0,15,14,1,0,13,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,60,1,0,0,3,0,5,3,2,0,1,2,0,0,8,55,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\NavbarButtonsViewController.java,com.android.launcher3.taskbar.NavbarButtonsViewController,class,66,80,14,66,131,1,0,134,639,0.9337791,0.10752688,0.4516129,46,2,29,15,2,0,31,0,0,0,65,24,3,62,0,0,49,0,7,672,27,5,51,0,57,29,128,163,47,168,3,2,3,23,374,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\systemUI\plugin\src\com\android\systemui\plugins\OverlayPlugin.java,com.android.systemui.plugins.OverlayPlugin,interface,6,8,2,6,4,1,0,1,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,0,0,2,0,0,0,16,1,0,0,0,0,1,1,2,0,2,0,0,1,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\androidx-lib\src\androidx\dynamicanimation\animation\SpringAnimation.java,androidx.dynamicanimation.animation.SpringAnimation,class,10,21,11,10,31,2,0,18,0,0.703125,0.43809524,0.52380955,16,0,11,1,0,4,15,0,0,0,4,1,0,4,0,0,1,0,2,123,8,0,6,0,0,10,5,29,7,7,2,0,0,0,241,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\TaskbarControllers.java,com.android.launcher3.taskbar.TaskbarControllers$BackgroundRendererController,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\tests\unittest\src\com\android\wm\shell\bubbles\BubblesTransitionObserverTest.java,com.android.wm.shell.bubbles.BubblesTransitionObserverTest,class,19,20,1,19,12,1,0,20,0,0.21428572,1.0,1.0,12,0,10,2,0,0,10,0,0,0,7,0,0,7,0,0,0,0,0,110,2,0,0,0,0,0,19,15,0,18,0,0,0,0,72,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\wmshell\src\com\android\wm\shell\windowdecor\DragPositioningCallback.java,com.android.wm.shell.windowdecor.DragPositioningCallback,interface,3,12,9,3,3,1,0,0,3,1.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,5,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,5,5,0,5,0,0,0,0,73,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\bubbles\BubbleBarView.java,com.android.launcher3.taskbar.bubbles.BubbleBarView$Anonymous2,anonymous,4,4,0,4,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lawnchair\quickstep\src\com\android\launcher3\taskbar\bubbles\BubbleBarView.java,com.android.launcher3.taskbar.bubbles.BubbleBarView$Anonymous1,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
