file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\learning\algorithm\basic\dynamic\CoinChange2.java,com.learning.algorithm.basic.dynamic.CoinChange2,class,1,1,0,1,8,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,31,2,4,0,0,0,0,20,14,16,10,3,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\learning\concurrent\tool\ReaderWriterList.java,com.learning.concurrent.tool.ReaderWriterListTest$Reader,innerclass,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,2,0,1,0,0,2,1,0,1,3,0,0,0,11,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\learning\concurrent\performance\SynchronizationComparisons.java,com.learning.concurrent.performance.Accumulator$Modifier,innerclass,1,1,0,1,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,1,1,0,1,1,0,0,0,9,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\learning\algorithm\trie\TST.java,com.learning.algorithm.trie.TST$Node,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\learning\concurrent\cooperation\producer2consumer\EasyResource.java,com.learning.concurrent.cooperation.producer2consumer.EasyResource,class,1,2,1,1,12,1,0,13,1,0.44444445,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,2,3,1,1,0,0,2,0,0,9,69,3,4,0,2,0,3,2,11,3,7,2,0,0,2,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\learning\jvm\memory\JavaVMStackOOM.java,com.learning.jvm.memory.JavaVMStackOOM$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\learning\jvm\memory\JavaVMStackSOF.java,com.learning.jvm.memory.JavaVMStackSOF,class,1,2,1,1,3,1,0,2,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,17,0,0,0,1,0,1,1,2,1,2,1,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\test\Solution.java,com.test.Solution,class,1,2,1,1,15,1,0,6,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,45,4,4,0,0,0,0,15,10,1,7,3,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\four\filterinterceptor\filter\FilterApplication.java,com.four.filterinterceptor.filter.FilterApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\learning-note\src\main\java\com\other\middleware\ZookeeperDemo.java,com.other.middleware.ZookeeperDemo,class,4,4,0,4,4,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,3,3,0,3,0,0,3,0,0,29,0,0,0,2,0,4,3,7,0,7,2,0,0,0,23,1,0
